순서,라운드,코퍼스(불릿수),실루엣,K,M,비고
-4,v4 종료(기준),1781,0.163,12,8,lda_v4_diagnostics.json
-3,v5,2359,0.233,8,5,lda_v5_diagnostics.json
-2,v6(1~2차),2674,,,,
-1.5,v6.3,2836,,,,
-1,v6.4,3154,,,,
1,r1,3416,,,,
2,r2,3651,,,,
3,r3,3955,,,,
4,r4,4097,,,,
5,r5,4232,,,,
6,r6,4426,,,,
7,r7,4523,,,,
8,r8,4604,,,,
9,r9,4747,,,,
10,r10,4878,,,,
11,r11,5021,,,,
12,r12,5041,,,,
13,r13,5099,,,,
14,r14,5108,,,,
15,r15,5123,,,,
16,r16,5429,,,,
17,r17,5454,,,,
18,r18,5476,,,,
19,r19,5557,,,,
20,r20,5566,,,,
21,r21,5605,,,,
22,r22,5613,,,,
23,r23,5794,,,,
24,r24,5998,,,,
27,r27,6040,0.11,8,5,
28,r28,6631,0.145,8,5,
29,r29(로스터 교체),6687,0.058,8,5,
30,r30,6787,,,,
31,r31,6843,,,,
32,r32,6913,,,,
34,r34(로스터 교체),6911,0.075,8,5,
35,r35,6955,0.085,8,5,
36,r36,7019,,,,
37,r37,7103,,,,
38,r38,7103,,,,
39,r39,7350,0.267,10,5,v7 40 스냅샷(현재도 3~7장 production 기준선)
40,r40(코퍼스 불변),7350,0.267,10,5,v7 40 스냅샷(현재도 3~7장 production 기준선)
41,r41,7513,,,,
42,r42,7548,,,,
43,r43,7664,,,,
44,r44,7692,,,,
45,r45,8122,,,,
46,r46,8228,0.108,12,8,
48,r48,8311,0.09,8,5,
49,r49,8530,0.148,8,5,
50,r50,8642,0.066,8,5,
51,r51,8717,0.112,8,6,
51.5,r51_p2,8773,0.058,8,5,
53,r53,8865,0.105,10,5,
54,r54,8966,0.091,8,6,
55,r55,8981,0.069,8,5,
56,r56,9029,0.11,8,5,
57,r57,9048,0.095,10,6,
58,r58,9015,0.135,10,5,
59,r59,9042,0.092,8,6,
60,r60(코퍼스 불변),9042,,,,
61,r61(코퍼스 불변),9042,0.092,8,6,
45,"r45(1차, 신규리서치 직후 재적합)",8122,0.136,12,2,3.9.6절 — 같은 코퍼스에 현행 토크나이저로 측정
45.3,"r45(3차, 롤백진단)",7692,0.08,10,5,구토크나이저+코퍼스 일부 롤백 상태(3.9.6-3절) — 다른 행과 방법론 다름
-2,v6(1~2차) [추정·선형보간],2674,0.2289,,,실측 아님 -- v5~r27 구간(구토크나이저 일관) 선형보간
-1.5,v6.3 [추정·선형보간],2836,0.2269,,,실측 아님 -- v5~r27 구간(구토크나이저 일관) 선형보간
-1,v6.4 [추정·선형보간],3154,0.2248,,,실측 아님 -- v5~r27 구간(구토크나이저 일관) 선형보간
1,r1 [추정·선형보간],3416,0.2166,,,실측 아님 -- v5~r27 구간(구토크나이저 일관) 선형보간
2,r2 [추정·선형보간],3651,0.2125,,,실측 아님 -- v5~r27 구간(구토크나이저 일관) 선형보간
3,r3 [추정·선형보간],3955,0.2084,,,실측 아님 -- v5~r27 구간(구토크나이저 일관) 선형보간
4,r4 [추정·선형보간],4097,0.2043,,,실측 아님 -- v5~r27 구간(구토크나이저 일관) 선형보간
5,r5 [추정·선형보간],4232,0.2002,,,실측 아님 -- v5~r27 구간(구토크나이저 일관) 선형보간
6,r6 [추정·선형보간],4426,0.1961,,,실측 아님 -- v5~r27 구간(구토크나이저 일관) 선형보간
7,r7 [추정·선형보간],4523,0.192,,,실측 아님 -- v5~r27 구간(구토크나이저 일관) 선형보간
8,r8 [추정·선형보간],4604,0.1879,,,실측 아님 -- v5~r27 구간(구토크나이저 일관) 선형보간
9,r9 [추정·선형보간],4747,0.1838,,,실측 아님 -- v5~r27 구간(구토크나이저 일관) 선형보간
10,r10 [추정·선형보간],4878,0.1797,,,실측 아님 -- v5~r27 구간(구토크나이저 일관) 선형보간
11,r11 [추정·선형보간],5021,0.1756,,,실측 아님 -- v5~r27 구간(구토크나이저 일관) 선형보간
12,r12 [추정·선형보간],5041,0.1715,,,실측 아님 -- v5~r27 구간(구토크나이저 일관) 선형보간
13,r13 [추정·선형보간],5099,0.1674,,,실측 아님 -- v5~r27 구간(구토크나이저 일관) 선형보간
14,r14 [추정·선형보간],5108,0.1633,,,실측 아님 -- v5~r27 구간(구토크나이저 일관) 선형보간
15,r15 [추정·선형보간],5123,0.1592,,,실측 아님 -- v5~r27 구간(구토크나이저 일관) 선형보간
16,r16 [추정·선형보간],5429,0.1551,,,실측 아님 -- v5~r27 구간(구토크나이저 일관) 선형보간
17,r17 [추정·선형보간],5454,0.151,,,실측 아님 -- v5~r27 구간(구토크나이저 일관) 선형보간
18,r18 [추정·선형보간],5476,0.1469,,,실측 아님 -- v5~r27 구간(구토크나이저 일관) 선형보간
19,r19 [추정·선형보간],5557,0.1428,,,실측 아님 -- v5~r27 구간(구토크나이저 일관) 선형보간
20,r20 [추정·선형보간],5566,0.1387,,,실측 아님 -- v5~r27 구간(구토크나이저 일관) 선형보간
21,r21 [추정·선형보간],5605,0.1346,,,실측 아님 -- v5~r27 구간(구토크나이저 일관) 선형보간
22,r22 [추정·선형보간],5613,0.1305,,,실측 아님 -- v5~r27 구간(구토크나이저 일관) 선형보간
23,r23 [추정·선형보간],5794,0.1264,,,실측 아님 -- v5~r27 구간(구토크나이저 일관) 선형보간
24,r24 [추정·선형보간],5998,0.1223,,,실측 아님 -- v5~r27 구간(구토크나이저 일관) 선형보간
25,r25 [추정·선형보간],,0.1182,,,실측 아님 -- v5~r27 구간(구토크나이저 일관) 선형보간
26,r26 [추정·선형보간],,0.1141,,,실측 아님 -- v5~r27 구간(구토크나이저 일관) 선형보간
30,r30 [추정·선형보간],6787,0.0614,,,실측 아님 -- r29~r34 구간(구토크나이저 일관) 선형보간
31,r31 [추정·선형보간],6843,0.0648,,,실측 아님 -- r29~r34 구간(구토크나이저 일관) 선형보간
32,r32 [추정·선형보간],6913,0.0682,,,실측 아님 -- r29~r34 구간(구토크나이저 일관) 선형보간
33,"r33(연구중단,코퍼스불변) [추정·선형보간]",6913,0.0716,,,실측 아님 -- r29~r34 구간(구토크나이저 일관) 선형보간
41,r41 [추정·선형보간],7513,0.2408,,,실측 아님 -- v7 40~r45(1차) 구간(신토크나이저 일관) 선형보간
42,r42 [추정·선형보간],7548,0.2146,,,실측 아님 -- v7 40~r45(1차) 구간(신토크나이저 일관) 선형보간
43,r43 [추정·선형보간],7664,0.1884,,,실측 아님 -- v7 40~r45(1차) 구간(신토크나이저 일관) 선형보간
44,r44 [추정·선형보간],7692,0.1622,,,실측 아님 -- v7 40~r45(1차) 구간(신토크나이저 일관) 선형보간
62,r62(한로로→몬스타엑스 교체),9464,0.076,8,5,
63,r63(pH-1→투어스 교체),9477,0.096,8,6,
64,r64(영문 지역 다변화),9609,0.141,8,5,
65,r65(광고·상업성 "기타" 재분류),9619,0.141,12,7,
66,r66(최신 2주간 트렌드),9665,0.102,8,6,
66.5,r66(2차)(미시도 47개 팬덤),9680,0.097,8,5,
