fandom,member,mention_count,impact_share_pilot
BTS,RM,11,0.208
BTS,진,18,0.34
BTS,슈가,2,0.038
BTS,제이홉,1,0.019
BTS,지민,7,0.132
BTS,뷔,10,0.189
BTS,정국,4,0.075
빅뱅,지드래곤,4,0.308
빅뱅,태양,5,0.385
빅뱅,대성,4,0.308
빅뱅,탑,0,0.0
BLACKPINK,지수,3,0.111
BLACKPINK,제니,3,0.111
BLACKPINK,로제,5,0.185
BLACKPINK,리사,16,0.593
EXO,디오,7,0.219
EXO,백현,2,0.062
EXO,카이,7,0.219
EXO,수호,2,0.062
EXO,찬열,1,0.031
EXO,세훈,2,0.062
EXO,시우민,4,0.125
EXO,첸,1,0.031
EXO,레이,6,0.188
슈퍼주니어,규현,0,0.0
슈퍼주니어,희철,1,0.143
슈퍼주니어,이특,0,0.0
슈퍼주니어,신동,0,0.0
슈퍼주니어,은혁,4,0.571
슈퍼주니어,동해,2,0.286
슈퍼주니어,시원,0,0.0
슈퍼주니어,예성,0,0.0
샤이니,태민,4,0.267
샤이니,키,2,0.133
샤이니,민호,4,0.267
샤이니,온유,5,0.333
소녀시대,태연,3,0.188
소녀시대,윤아,3,0.188
소녀시대,수영,1,0.062
소녀시대,유리,2,0.125
소녀시대,서현,2,0.125
소녀시대,티파니,1,0.062
소녀시대,효연,2,0.125
소녀시대,써니,1,0.062
소녀시대,제시카,1,0.062
(여자)아이들,전소연,0,0.0
(여자)아이들,미연,2,0.105
(여자)아이들,민니,7,0.368
(여자)아이들,우기,8,0.421
(여자)아이들,슈화,2,0.105
마마무,화사,3,0.3
마마무,솔라,2,0.2
마마무,문별,3,0.3
마마무,휘인,2,0.2
IVE,장원영,4,0.444
IVE,안유진,2,0.222
IVE,레이,1,0.111
IVE,리즈,2,0.222
IVE,가을,0,0.0
IVE,이서,0,0.0
TWICE,나연,2,0.065
TWICE,정연,1,0.032
TWICE,모모,7,0.226
TWICE,사나,5,0.161
TWICE,지효,2,0.065
TWICE,미나,4,0.129
TWICE,다현,3,0.097
TWICE,채영,0,0.0
TWICE,쯔위,7,0.226
NCT,태용,2,0.069
NCT,재현,2,0.069
NCT,도영,1,0.034
NCT,정우,1,0.034
NCT,제노,2,0.069
NCT,해찬,1,0.034
NCT,지성,1,0.034
NCT,텐,6,0.207
NCT,윈윈,7,0.241
NCT,런쥔,2,0.069
NCT,마크,4,0.138
aespa,카리나,4,0.182
aespa,윈터,3,0.136
aespa,닝닝,7,0.318
aespa,지젤,8,0.364
Stray Kids,방찬,9,0.346
Stray Kids,리노,1,0.038
Stray Kids,창빈,0,0.0
Stray Kids,현진,3,0.115
Stray Kids,한,0,0.0
Stray Kids,필릭스,12,0.462
Stray Kids,승민,1,0.038
Stray Kids,아이엔,0,0.0
SEVENTEEN,에스쿱스,0,0.0
SEVENTEEN,정한,2,0.041
SEVENTEEN,조슈아,8,0.163
SEVENTEEN,준,9,0.184
SEVENTEEN,호시,0,0.0
SEVENTEEN,원우,0,0.0
SEVENTEEN,우지,0,0.0
SEVENTEEN,도겸,1,0.02
SEVENTEEN,민규,3,0.061
SEVENTEEN,디에잇,8,0.163
SEVENTEEN,승관,7,0.143
SEVENTEEN,버논,9,0.184
SEVENTEEN,디노,2,0.041
BABYMONSTER,아현,3,0.107
BABYMONSTER,라미,0,0.0
BABYMONSTER,로라,1,0.036
BABYMONSTER,루카,5,0.179
BABYMONSTER,아사,6,0.214
BABYMONSTER,파리타,6,0.214
BABYMONSTER,치키타,7,0.25
LE SSERAFIM,김채원,0,0.0
LE SSERAFIM,사쿠라,5,0.5
LE SSERAFIM,허윤진,0,0.0
LE SSERAFIM,카즈하,5,0.5
LE SSERAFIM,홍은채,0,0.0
RIIZE,쇼타로,8,0.8
RIIZE,은석,0,0.0
RIIZE,소희,0,0.0
RIIZE,성찬,0,0.0
RIIZE,원빈,2,0.2
RIIZE,앤톤,0,0.0
아일릿,유나,0,0.0
아일릿,민주,2,0.1
아일릿,모카,5,0.25
아일릿,원희,4,0.2
아일릿,이로하,9,0.45
NewJeans,민지,1,0.053
NewJeans,하니,9,0.474
NewJeans,다니엘,9,0.474
NewJeans,해린,0,0.0
NewJeans,혜인,0,0.0
엔믹스,설윤,2,0.25
엔믹스,배이,1,0.125
엔믹스,릴리,5,0.625
엔믹스,지우,0,0.0
엔믹스,규진,0,0.0
엔믹스,지니,0,0.0
Hearts2Hearts,카르멘,8,1.0
CORTIS,제임스,7,1.0
