fandom,bullet_type,idx,text_sha1,added_bin,bin_lower_round,bin_upper_round,bin_source
이영지,loyalty,0,848f530e91c4,≤r13,1,13,r13 스냅샷
이영지,loyalty,1,0efdc2fdc783,≤r13,1,13,r13 스냅샷
이영지,loyalty,2,d7510b64d8dc,≤r13,1,13,r13 스냅샷
이영지,loyalty,3,0aa795a3d5ba,≤r13,1,13,r13 스냅샷
이영지,loyalty,4,87db2c8dfac9,≤r13,1,13,r13 스냅샷
이영지,loyalty,5,1cf93185796c,≤r13,1,13,r13 스냅샷
이영지,loyalty,6,ba6448c89cfe,≤r13,1,13,r13 스냅샷
이영지,loyalty,7,0d47460c171a,≤r13,1,13,r13 스냅샷
이영지,loyalty,8,da58592598f3,≤r13,1,13,r13 스냅샷
이영지,loyalty,9,1da83385c7df,≤r13,1,13,r13 스냅샷
이영지,loyalty,10,f0d1af8f5636,≤r13,1,13,r13 스냅샷
이영지,loyalty,11,0485fef4c739,≤r13,1,13,r13 스냅샷
이영지,loyalty,12,7c58ef3d71f4,≤r13,1,13,r13 스냅샷
이영지,loyalty,13,a2107fc1024d,≤r13,1,13,r13 스냅샷
이영지,loyalty,14,f6584e1dd4f8,≤r13,1,13,r13 스냅샷
이영지,loyalty,15,9af9132b859a,≤r13,1,13,r13 스냅샷
이영지,loyalty,16,56df26c42510,≤r13,1,13,r13 스냅샷
이영지,loyalty,17,37c889329f48,≤r13,1,13,r13 스냅샷
이영지,loyalty,18,29801bdb20df,≤r13,1,13,r13 스냅샷
이영지,loyalty,19,5ad53e2ce897,≤r13,1,13,r13 스냅샷
이영지,loyalty,20,afbf084bee47,≤r13,1,13,r13 스냅샷
이영지,loyalty,21,7bb4f10b1e13,≤r13,1,13,r13 스냅샷
이영지,loyalty,22,fbbed8ff72b9,≤r13,1,13,r13 스냅샷
이영지,loyalty,23,d01175bbdafb,r14∼r22,14,22,r22 백업
이영지,loyalty,24,003302a506a2,r14∼r22,14,22,r22 백업
이영지,loyalty,25,3043a19f970c,r14∼r22,14,22,r22 백업
이영지,loyalty,26,8f5519b2b86f,r14∼r22,14,22,r22 백업
이영지,loyalty,27,41f9b56ded5c,r14∼r22,14,22,r22 백업
이영지,loyalty,28,3a4cd86766ef,r14∼r22,14,22,r22 백업
이영지,loyalty,29,1fcebb52d5f5,r14∼r22,14,22,r22 백업
이영지,loyalty,30,b61fe37a579d,r14∼r22,14,22,r22 백업
이영지,loyalty,31,1a5710712bff,r23∼r39,23,39,동결 근사 복원본
이영지,loyalty,32,0054610bb462,r23∼r39,23,39,동결 근사 복원본
이영지,loyalty,33,a23b1a7b72be,r23∼r39,23,39,동결 근사 복원본
이영지,loyalty,34,4c05eb8da64c,r41∼r72,41,72,라이브 코퍼스(스냅샷 이후)
이영지,loyalty,35,5add8fe0c2cc,r41∼r72,41,72,라이브 코퍼스(스냅샷 이후)
이영지,loyalty,36,a17f28a15af8,r41∼r72,41,72,라이브 코퍼스(스냅샷 이후)
이영지,loyalty,37,6cb1774cca17,r41∼r72,41,72,라이브 코퍼스(스냅샷 이후)
이영지,loyalty,38,6f8b5b41e3a5,r41∼r72,41,72,라이브 코퍼스(스냅샷 이후)
이영지,spillover,0,0eded99531b0,≤r13,1,13,r13 스냅샷
이영지,spillover,1,9b066274399c,≤r13,1,13,r13 스냅샷
이영지,spillover,2,19a9c8825b26,≤r13,1,13,r13 스냅샷
이영지,spillover,3,00584926fcd8,≤r13,1,13,r13 스냅샷
이영지,spillover,4,9b81e8afbe64,≤r13,1,13,r13 스냅샷
이영지,spillover,5,1855f548f7d7,≤r13,1,13,r13 스냅샷
이영지,spillover,6,1231c59c9270,≤r13,1,13,r13 스냅샷
이영지,spillover,7,01da77238929,≤r13,1,13,r13 스냅샷
이영지,spillover,8,cc37b90da88b,≤r13,1,13,r13 스냅샷
이영지,spillover,9,98ad547086c9,≤r13,1,13,r13 스냅샷
이영지,spillover,10,96a21f03f236,≤r13,1,13,r13 스냅샷
이영지,spillover,11,82bd04eb106b,≤r13,1,13,r13 스냅샷
이영지,spillover,12,94df6b24ecb1,≤r13,1,13,r13 스냅샷
이영지,spillover,13,a502395231b8,≤r13,1,13,r13 스냅샷
이영지,spillover,14,970918e7a124,≤r13,1,13,r13 스냅샷
이영지,spillover,15,3331d965329e,≤r13,1,13,r13 스냅샷
이영지,spillover,16,071d2d969ddd,≤r13,1,13,r13 스냅샷
이영지,spillover,17,8a65598095a9,≤r13,1,13,r13 스냅샷
이영지,spillover,18,9d05bb9bfb99,≤r13,1,13,r13 스냅샷
이영지,spillover,19,364dc7c63edb,≤r13,1,13,r13 스냅샷
이영지,spillover,20,c1e9f9cab71a,≤r13,1,13,r13 스냅샷
이영지,spillover,21,e11141e7fb99,≤r13,1,13,r13 스냅샷
이영지,spillover,22,ab8b3135f6a7,≤r13,1,13,r13 스냅샷
이영지,spillover,23,6691ccfcc2b1,≤r13,1,13,r13 스냅샷
이영지,spillover,24,7c9d2a946565,≤r13,1,13,r13 스냅샷
이영지,spillover,25,d5ae6259745d,≤r13,1,13,r13 스냅샷
이영지,spillover,26,b032e99fca42,≤r13,1,13,r13 스냅샷
이영지,spillover,27,b1049bfe76e9,≤r13,1,13,r13 스냅샷
이영지,spillover,28,91cefdafcc2b,≤r13,1,13,r13 스냅샷
이영지,spillover,29,61a8ef5c8f94,≤r13,1,13,r13 스냅샷
이영지,spillover,30,eedee015683a,≤r13,1,13,r13 스냅샷
이영지,spillover,31,cdbcdce1fd63,≤r13,1,13,r13 스냅샷
이영지,spillover,32,8e25efff1792,≤r13,1,13,r13 스냅샷
이영지,spillover,33,b867e025bcbc,≤r13,1,13,r13 스냅샷
이영지,spillover,34,19d015bb46e5,≤r13,1,13,r13 스냅샷
이영지,spillover,35,a479c07394f1,≤r13,1,13,r13 스냅샷
이영지,spillover,36,94762bdead81,≤r13,1,13,r13 스냅샷
이영지,spillover,37,60e01832b334,≤r13,1,13,r13 스냅샷
이영지,spillover,38,cdfdec3a8412,≤r13,1,13,r13 스냅샷
이영지,spillover,39,794a3b6d0599,≤r13,1,13,r13 스냅샷
이영지,spillover,40,ba12ebb464ee,≤r13,1,13,r13 스냅샷
이영지,spillover,41,d18cb153f807,r14∼r22,14,22,r22 백업
이영지,spillover,42,ba9e10a7ede8,r14∼r22,14,22,r22 백업
이영지,spillover,43,e3df4c19b563,r14∼r22,14,22,r22 백업
이영지,spillover,44,735d5fc0f1c2,r14∼r22,14,22,r22 백업
이영지,spillover,45,4dc010e4142e,r14∼r22,14,22,r22 백업
이영지,spillover,46,032fa712aa3e,r14∼r22,14,22,r22 백업
이영지,spillover,47,1795316cd025,r14∼r22,14,22,r22 백업
이영지,spillover,48,9bd93d940545,r23∼r39,23,39,동결 근사 복원본
이영지,spillover,49,4f16e25bb0e7,r23∼r39,23,39,동결 근사 복원본
이영지,spillover,50,f452a6c3cd3d,r23∼r39,23,39,동결 근사 복원본
