stage,kind,before_total,after_total,net_new_bullets,n_touched_fandoms,roster_change,chain_gap,note
v6_round1,merge,2403,2598,195,69,,,v6 1차 병합
v6_round2,merge,2598,2674,76,,,,v6 2차 병합(같은 로그 파일)
v6.3_market_research,merge,2674,2836,162,80,,,v6.3_market_research
v6.4_language_research,merge,2836,3154,318,70,,,v6.4_language_research
v7_r1,merge,3154,3416,262,93,,,v7_r1
v7_r2,merge,3416,3651,235,80,,,v7_r2
v7_r3,merge,3651,3955,304,96,,,v7_r3
v7_r4,merge,3955,4097,142,41,,,v7_r4
v7_r5,merge,4097,4232,135,,,,v7_r5_member_pilot
v7_r6,merge,4232,4426,194,61,,,v7_r6_reinforcement_and_member_pilot_expansion
v7_r7,merge,4426,4523,97,47,,,v7_r7_domestic_regional_research
v7_r8,merge,4523,4604,81,44,,,v7_r8_event_review_research
v7_r9,merge,4604,4747,143,27,,,v7_r9_minority_language_research
v7_r10,merge,4747,4878,131,79,,,v7_r10_media_crossover_research
v7_r11,merge,4878,5021,143,68,,,v7_r11_media_crossover_reinforcement
v7_r12,merge,5021,5041,20,14,,,v7_r12_domestic_regional_backfill
v7_r13,merge,5041,5099,58,33,,,v7_r13_event_review_not_attempted_r8_backfill
v7_r14,merge,5099,5108,9,5,,,v7_r14_media_crossover_not_attempted_r11_backfill
v7_r15,merge,5108,5123,15,5,,,v7_r15_media_crossover_not_attempted_r14_backfill
v7_r16,merge,5123,5429,306,39,,,v7_r16_minority_language_research_resumed_cap10
v7_r17,merge,5429,5454,25,10,,,v7_r17_domestic_regional_diversity_reinforcement
v7_r18,merge,5454,5476,22,8,,,v7_r18_domestic_regional_not_attempted_r17_backfill
v7_r19,merge,5476,5557,81,36,,,v7_r19_minority_language_ru_vi_fr
v7_r20,merge,5557,5566,9,3,,,v7_r20_minority_language_fr_backfill
v7_r21,merge,5566,5605,39,28,,,v7_r21_domestic_regional_2x_expansion_batch1
v7_r22,merge,5606,5613,7,4,,prev after 5605 != before 5606,v7_r22_domestic_regional_2x_expansion_batch2_kopis_alt
