팬덤,구분,근거문장수,결속문장수,결속비중,대표유형,A_공식팬클럽·회원제,B_팬카페·온라인커뮤니티,C_팬덤정체성·문화,E_오프라인결집·이벤트,D_기부·후원캠페인(팬덤주도)
임영웅,트로트,131,30,0.229,A_공식팬클럽·회원제,18,13,2,1,11
김재중,솔로,77,25,0.3247,E_오프라인결집·이벤트,9,4,2,11,1
박서진,트로트,99,25,0.2525,A_공식팬클럽·회원제,18,7,2,1,12
정동원,트로트,107,24,0.2243,A_공식팬클럽·회원제,19,5,0,0,15
김호중,트로트,91,22,0.2418,B_팬카페·온라인커뮤니티,9,13,2,0,8
이찬원,트로트,106,20,0.1887,B_팬카페·온라인커뮤니티,7,10,2,0,9
리센느(RESCENE),K-pop 걸그룹,85,18,0.2118,D_기부·후원캠페인(팬덤주도),2,3,3,4,8
잭스키스,원로그룹,85,18,0.2118,A_공식팬클럽·회원제,15,1,3,2,4
RIIZE,K-pop 보이그룹,121,17,0.1405,A_공식팬클럽·회원제,11,0,1,5,10
god,원로그룹,99,17,0.1717,A_공식팬클럽·회원제,12,0,2,4,2
레드벨벳,K-pop 걸그룹,118,17,0.1441,A_공식팬클럽·회원제,9,1,3,4,4
송가인,트로트,92,17,0.1848,A_공식팬클럽·회원제,10,8,2,1,7
영탁,트로트,104,17,0.1635,A_공식팬클럽·회원제,13,4,4,0,10
BTS,K-pop 보이그룹,227,15,0.0661,D_기부·후원캠페인(팬덤주도),4,4,1,4,4
성시경,발라드,80,15,0.1875,A_공식팬클럽·회원제,7,6,0,4,0
EXO,K-pop 보이그룹,121,14,0.1157,A_공식팬클럽·회원제,7,1,3,3,2
보아,솔로,76,13,0.1711,A_공식팬클럽·회원제,11,0,4,0,0
윤하,솔로,83,13,0.1566,A_공식팬클럽·회원제,10,1,1,2,3
지드래곤 (G-Dragon),힙합,133,13,0.0977,A_공식팬클럽·회원제,10,2,2,2,4
BTOB,K-pop 보이그룹,82,12,0.1463,A_공식팬클럽·회원제,7,0,0,3,6
HOT,원로그룹,97,12,0.1237,A_공식팬클럽·회원제,8,0,1,3,0
NCT,K-pop 보이그룹,164,12,0.0732,B_팬카페·온라인커뮤니티,3,7,1,2,1
QWER,K-pop 걸그룹,103,12,0.1165,A_공식팬클럽·회원제,5,1,4,1,3
TWICE,K-pop 걸그룹,191,12,0.0628,A_공식팬클럽·회원제,4,4,1,3,2
볼빨간사춘기,솔로,88,12,0.1364,A_공식팬클럽·회원제,6,2,5,3,0
워너원,K-pop 보이그룹,123,12,0.0976,E_오프라인결집·이벤트,3,0,2,7,0
최예나,솔로,96,12,0.125,A_공식팬클럽·회원제,7,1,3,2,3
BABYMONSTER,K-pop 걸그룹,132,11,0.0833,B_팬카페·온라인커뮤니티,2,5,2,3,0
BLACKPINK,K-pop 걸그룹,195,11,0.0564,B_팬카페·온라인커뮤니티,2,4,3,2,1
CORTIS,K-pop 보이그룹,135,11,0.0815,A_공식팬클럽·회원제,5,3,2,2,0
NewJeans,K-pop 걸그룹,154,11,0.0714,A_공식팬클럽·회원제,7,0,7,2,2
로이킴,발라드,89,11,0.1236,A_공식팬클럽·회원제,7,0,1,3,1
아이유,솔로,110,11,0.1,A_공식팬클럽·회원제,9,2,0,1,8
CNBLUE,K-pop 보이그룹 /록,84,10,0.119,A_공식팬클럽·회원제,6,1,1,2,0
Crush,솔로,99,10,0.101,A_공식팬클럽·회원제,6,0,0,5,0
IKON,K-pop 보이그룹,96,10,0.1042,E_오프라인결집·이벤트,3,0,1,7,0
LE SSERAFIM,K-pop 걸그룹,143,10,0.0699,A_공식팬클럽·회원제,4,3,3,1,0
권은비,솔로,90,10,0.1111,E_오프라인결집·이벤트,3,0,2,5,0
박효신,발라드,91,10,0.1099,A_공식팬클럽·회원제,6,1,0,2,2
오마이걸,K-pop 걸그룹,98,10,0.102,A_공식팬클럽·회원제,8,3,0,1,3
츄,솔로,93,10,0.1075,A_공식팬클럽·회원제,7,2,3,0,0
카더가든,솔로,74,10,0.1351,B_팬카페·온라인커뮤니티,1,6,2,1,0
케이윌,발라드,71,10,0.1408,E_오프라인결집·이벤트,3,0,0,8,1
(여자)아이들,K-pop 걸그룹,118,9,0.0763,A_공식팬클럽·회원제,4,1,2,3,0
A-pink,K-pop 걸그룹,95,9,0.0947,A_공식팬클럽·회원제,5,0,1,1,3
몬스타엑스,K-pop 보이그룹,96,9,0.0938,A_공식팬클럽·회원제,6,0,1,0,2
샤이니,K-pop 보이그룹,77,9,0.1169,E_오프라인결집·이벤트,2,0,2,5,0
소녀시대,K-pop 걸그룹,122,9,0.0738,E_오프라인결집·이벤트,4,0,1,5,2
장윤정,트로트,92,9,0.0978,B_팬카페·온라인커뮤니티,3,5,0,0,3
Hearts2Hearts,K-pop 걸그룹,102,8,0.0784,A_공식팬클럽·회원제,5,2,2,0,2
SEVENTEEN,K-pop 보이그룹,157,8,0.051,A_공식팬클럽·회원제,6,0,0,2,2
STAYC,K-pop 걸그룹,92,8,0.087,A_공식팬클럽·회원제,4,1,1,4,0
아이오아이,K-pop 걸그룹,95,8,0.0842,A_공식팬클럽·회원제,5,1,2,1,1
아일릿,K-pop 걸그룹,107,8,0.0748,C_팬덤정체성·문화,2,0,3,2,1
에픽하이,힙합,87,8,0.092,A_공식팬클럽·회원제,4,1,0,3,0
이영지,힙합,107,8,0.0748,B_팬카페·온라인커뮤니티,0,4,0,0,4
청하,솔로,79,8,0.1013,D_기부·후원캠페인(팬덤주도),4,1,0,1,4
ATEEZ,K-pop 보이그룹,113,7,0.0619,A_공식팬클럽·회원제,3,1,1,0,3
DAY6,K-pop 보이그룹 /록,101,7,0.0693,A_공식팬클럽·회원제,6,0,0,1,0
GOT7,K-pop 보이그룹,107,7,0.0654,D_기부·후원캠페인(팬덤주도),0,1,1,1,4
Stray Kids,K-pop 보이그룹,163,7,0.0429,C_팬덤정체성·문화,2,2,2,1,0
aespa,K-pop 걸그룹,158,7,0.0443,A_공식팬클럽·회원제,5,2,0,0,2
동방신기,K-pop 보이그룹,82,7,0.0854,A_공식팬클럽·회원제,6,0,0,3,2
린,발라드,78,7,0.0897,B_팬카페·온라인커뮤니티,4,5,2,0,1
마마무,K-pop 걸그룹,94,7,0.0745,A_공식팬클럽·회원제,3,2,0,2,0
박재범,힙합,110,7,0.0636,A_공식팬클럽·회원제,5,1,0,1,1
비비,솔로,74,7,0.0946,A_공식팬클럽·회원제,5,0,0,0,2
빅뱅,K-pop 보이그룹,97,7,0.0722,A_공식팬클럽·회원제,5,0,1,1,0
여자친구,K-pop 걸그룹,93,7,0.0753,E_오프라인결집·이벤트,1,1,0,6,0
10CM,솔로,85,6,0.0706,A_공식팬클럽·회원제,3,0,3,0,0
IVE,K-pop 걸그룹,100,6,0.06,A_공식팬클럽·회원제,3,0,1,2,1
sg워너비,발라드,75,6,0.08,A_공식팬클럽·회원제,3,2,0,1,0
다비치,발라드,80,6,0.075,B_팬카페·온라인커뮤니티,1,3,2,0,0
슈퍼주니어,K-pop 보이그룹,89,6,0.0674,A_공식팬클럽·회원제,6,0,0,0,3
악동뮤지션,혼성,74,6,0.0811,A_공식팬클럽·회원제,3,3,1,1,0
엔믹스,K-pop 걸그룹,110,6,0.0545,E_오프라인결집·이벤트,3,1,0,4,0
FTISLAND,K-pop 보이그룹 /록,73,5,0.0685,A_공식팬클럽·회원제,5,0,0,0,0
윤도현,록,71,5,0.0704,A_공식팬클럽·회원제,4,1,0,0,2
이문세,발라드,70,5,0.0714,A_공식팬클럽·회원제,4,2,0,0,0
이효리,솔로,120,5,0.0417,B_팬카페·온라인커뮤니티,1,3,1,1,1
ITZY,K-pop 걸그룹,107,4,0.0374,E_오프라인결집·이벤트,0,1,1,2,0
김연자,트로트,73,4,0.0548,A_공식팬클럽·회원제,3,0,0,0,3
브라운아이즈,발라드,82,4,0.0488,D_기부·후원캠페인(팬덤주도),1,1,1,0,1
빅마마,발라드,73,4,0.0548,A_공식팬클럽·회원제,2,2,1,0,0
지코,힙합,101,4,0.0396,A_공식팬클럽·회원제,4,0,0,0,0
박정현,발라드,70,3,0.0429,B_팬카페·온라인커뮤니티,1,2,1,0,0
백지영,발라드,72,3,0.0417,B_팬카페·온라인커뮤니티,0,2,1,0,0
엄정화,솔로,71,3,0.0423,A_공식팬클럽·회원제,3,0,1,0,0
조용필,발라드,81,3,0.037,A_공식팬클럽·회원제,2,1,1,0,0
거미,발라드,87,2,0.023,B_팬카페·온라인커뮤니티,0,2,0,0,0
김동률,발라드,83,2,0.0241,C_팬덤정체성·문화,1,0,1,0,0
다이나믹듀오,힙합,68,2,0.0294,C_팬덤정체성·문화,0,0,1,0,1
이승철,발라드,78,2,0.0256,B_팬카페·온라인커뮤니티,1,2,0,0,0
프로미스나인,K-pop 걸그룹,89,2,0.0225,A_공식팬클럽·회원제,2,0,0,1,0
나훈아,트로트,70,1,0.0143,A_공식팬클럽·회원제,1,0,0,0,0
빈지노,힙합,79,1,0.0127,B_팬카페·온라인커뮤니티,0,1,0,0,0
싸이,솔로,122,1,0.0082,B_팬카페·온라인커뮤니티,0,1,0,0,0
잔나비,록,69,1,0.0145,A_공식팬클럽·회원제,1,1,0,0,0
투어스(TWS),K-pop 보이그룹,90,1,0.0111,E_오프라인결집·이벤트,0,0,0,1,0
Zion.T,솔로,79,0,0.0,,0,0,0,0,0
