fandom,category,loyalty_score,spillover_score,coverage_index,factor_diversity,dominant_factor,activity,현장경제형(콘서트·투어·매진),소비력형(초동·판매·앨범),결속형(팬클럽·기부·커뮤니티),브랜드·상업형(광고·앰버서더),차트·확산형(1위·빌보드·기록)
BTS,K-pop 보이그룹,0.972,1.0,0.812,0.8431,현장경제형(콘서트·투어·매진),227,0.5045,0.0914,0.086,0.1376,0.1805
TWICE,K-pop 걸그룹,0.947,0.821,0.883,0.8716,현장경제형(콘서트·투어·매진),191,0.4586,0.1496,0.0576,0.1521,0.182
임영웅,트로트,0.95,0.517,0.685,0.8829,현장경제형(콘서트·투어·매진),131,0.4584,0.1219,0.1013,0.1191,0.1994
BLACKPINK,K-pop 걸그룹,0.674,0.752,0.896,0.9085,현장경제형(콘서트·투어·매진),195,0.3868,0.2339,0.0755,0.1082,0.1957
NCT,K-pop 보이그룹,0.832,0.498,0.876,0.8052,현장경제형(콘서트·투어·매진),164,0.5474,0.0944,0.0721,0.1234,0.1627
Stray Kids,K-pop 보이그룹,0.707,0.591,0.826,0.9057,현장경제형(콘서트·투어·매진),163,0.4107,0.1448,0.0746,0.153,0.2169
SEVENTEEN,K-pop 보이그룹,0.88,0.397,0.855,0.8501,현장경제형(콘서트·투어·매진),157,0.4936,0.1267,0.0804,0.1053,0.194
god,원로그룹,1.0,0.171,0.576,0.5332,현장경제형(콘서트·투어·매진),99,0.7616,0.0622,0.0667,0.0222,0.0872
aespa,K-pop 걸그룹,0.574,0.564,0.802,0.9017,현장경제형(콘서트·투어·매진),158,0.377,0.1284,0.0622,0.273,0.1593
지드래곤 (G-Dragon),힙합,0.596,0.537,0.802,0.6676,현장경제형(콘서트·투어·매진),133,0.6586,0.0305,0.0651,0.1279,0.118
CORTIS,K-pop 보이그룹,0.56,0.456,0.834,0.7498,현장경제형(콘서트·투어·매진),135,0.4763,0.0492,0.0323,0.0977,0.3444
아이유,솔로,0.591,0.421,0.88,0.8832,현장경제형(콘서트·투어·매진),110,0.4677,0.1379,0.1023,0.1645,0.1276
EXO,K-pop 보이그룹,0.561,0.388,0.889,0.8662,현장경제형(콘서트·투어·매진),121,0.483,0.1425,0.0977,0.1019,0.1748
NewJeans,K-pop 걸그룹,0.385,0.547,0.703,0.9265,현장경제형(콘서트·투어·매진),154,0.3524,0.2326,0.0634,0.1929,0.1588
싸이,솔로,0.354,0.556,0.731,0.7883,현장경제형(콘서트·투어·매진),122,0.5009,0.0872,0.0318,0.1142,0.266
ATEEZ,K-pop 보이그룹,0.513,0.396,0.811,0.8709,현장경제형(콘서트·투어·매진),113,0.4716,0.1291,0.1037,0.0978,0.1979
RIIZE,K-pop 보이그룹,0.591,0.298,0.734,0.8906,현장경제형(콘서트·투어·매진),121,0.4606,0.126,0.1276,0.1649,0.1209
워너원,K-pop 보이그룹,0.472,0.393,0.771,0.7382,현장경제형(콘서트·투어·매진),123,0.6095,0.0969,0.0487,0.1098,0.1351
소녀시대,K-pop 걸그룹,0.327,0.536,0.727,0.9337,현장경제형(콘서트·투어·매진),122,0.3845,0.1611,0.0964,0.1849,0.1731
HOT,원로그룹,0.551,0.31,0.478,0.6831,현장경제형(콘서트·투어·매진),97,0.6393,0.1167,0.0363,0.0512,0.1565
BABYMONSTER,K-pop 걸그룹,0.574,0.276,0.762,0.8324,현장경제형(콘서트·투어·매진),132,0.4907,0.1598,0.0593,0.0798,0.2104
(여자)아이들,K-pop 걸그룹,0.451,0.385,0.831,0.7839,현장경제형(콘서트·투어·매진),118,0.5646,0.0838,0.0699,0.1095,0.1722
박서진,트로트,0.538,0.297,0.449,0.7337,현장경제형(콘서트·투어·매진),99,0.5053,0.0162,0.318,0.0825,0.078
LE SSERAFIM,K-pop 걸그룹,0.357,0.47,0.802,0.8736,현장경제형(콘서트·투어·매진),143,0.4446,0.1711,0.0496,0.1427,0.1919
GOT7,K-pop 보이그룹,0.476,0.349,0.857,0.7714,현장경제형(콘서트·투어·매진),107,0.49,0.022,0.1096,0.0821,0.2964
레드벨벳,K-pop 걸그룹,0.56,0.264,0.828,0.7444,현장경제형(콘서트·투어·매진),118,0.6125,0.1228,0.0939,0.0987,0.072
