fandom,category,loyalty_score,spillover_score,coverage_index,factor_diversity,dominant_factor,activity,현장경제형(콘서트·투어·매진),소비력형(초동·판매·앨범),미디어노출형(방송·조회수),차트·확산형(1위·빌보드·기록),결속형(팬클럽·기부·커뮤니티)
BTS,K-pop 보이그룹,0.931,1.0,0.803,0.8203,현장경제형(콘서트·투어·매진),170,0.5119,0.1455,0.0636,0.2008,0.0783
TWICE,K-pop 걸그룹,0.944,0.846,0.879,0.8914,현장경제형(콘서트·투어·매진),144,0.3972,0.189,0.0906,0.252,0.0713
임영웅,트로트,0.899,0.702,0.635,0.949,현장경제형(콘서트·투어·매진),112,0.3627,0.1481,0.1202,0.1673,0.2017
Stray Kids,K-pop 보이그룹,0.805,0.702,0.835,0.9092,현장경제형(콘서트·투어·매진),138,0.4145,0.1599,0.0798,0.1975,0.1483
BLACKPINK,K-pop 걸그룹,0.747,0.708,0.84,0.9124,현장경제형(콘서트·투어·매진),146,0.3216,0.3096,0.1231,0.1846,0.0612
SEVENTEEN,K-pop 보이그룹,1.0,0.393,0.848,0.9403,현장경제형(콘서트·투어·매진),130,0.3539,0.1735,0.1285,0.2399,0.1042
지드래곤 (G-Dragon),힙합,0.558,0.733,0.777,0.7222,현장경제형(콘서트·투어·매진),110,0.6261,0.0592,0.0957,0.1373,0.0817
NCT,K-pop 보이그룹,0.706,0.479,0.876,0.9092,현장경제형(콘서트·투어·매진),116,0.4238,0.1558,0.1002,0.1941,0.126
CORTIS,K-pop 보이그룹,0.528,0.626,0.821,0.7756,현장경제형(콘서트·투어·매진),111,0.4431,0.0708,0.0444,0.3669,0.0748
aespa,K-pop 걸그룹,0.578,0.545,0.8,0.8953,현장경제형(콘서트·투어·매진),114,0.4148,0.1512,0.1808,0.1978,0.0555
NewJeans,K-pop 걸그룹,0.428,0.592,0.661,0.8816,현장경제형(콘서트·투어·매진),122,0.3642,0.3079,0.0794,0.185,0.0635
RIIZE,K-pop 보이그룹,0.634,0.376,0.719,0.8806,현장경제형(콘서트·투어·매진),100,0.4572,0.1493,0.0708,0.1712,0.1515
ATEEZ,K-pop 보이그룹,0.526,0.473,0.823,0.9334,현장경제형(콘서트·투어·매진),88,0.3716,0.1938,0.1052,0.2134,0.1159
