팬덤,구분,근거문장수,뉴스매체문장수,뉴스매체비중,고유매체수,매체다양성비율,상위매체1,상위매체2,상위매체3
BTS,K-pop 보이그룹,227,177,0.7797,96,0.5424,starnewskorea.com,v.daum.net,forbes.com
TWICE,K-pop 걸그룹,191,134,0.7016,90,0.6716,infobae.com,allkpop.com,natalie.mu
BLACKPINK,K-pop 걸그룹,195,139,0.7128,83,0.5971,thairath.co.th,infobae.com,finance.sina.com.cn
지드래곤 (G-Dragon),힙합,133,128,0.9624,80,0.625,v.daum.net,newsis.com,sports.khan.co.kr
싸이,솔로,122,97,0.7951,76,0.7835,v.daum.net,cbc.ca,imaeil.com
(여자)아이들,K-pop 걸그룹,118,84,0.7119,75,0.8929,star.ettoday.net,nownews.com,m.joseilbo.com
BABYMONSTER,K-pop 걸그룹,132,93,0.7045,72,0.7742,barks.jp,oricon.co.jp,thairath.co.th
LE SSERAFIM,K-pop 걸그룹,143,108,0.7552,71,0.6574,oricon.co.jp,infobae.com,idntimes.com
aespa,K-pop 걸그룹,158,94,0.5949,69,0.734,infobae.com,marieclairekorea.com,smentertainment.com
NCT,K-pop 보이그룹,164,113,0.689,67,0.5929,sina.cn,v.daum.net,oricon.co.jp
NewJeans,K-pop 걸그룹,154,114,0.7403,67,0.5877,harpersbazaar.co.kr,allkpop.com,news.qq.com
ATEEZ,K-pop 보이그룹,113,89,0.7876,66,0.7416,infobae.com,thairath.co.th,v.daum.net
Stray Kids,K-pop 보이그룹,163,108,0.6626,65,0.6019,infobae.com,oricon.co.jp,yesasia.ru
박재범,힙합,110,96,0.8727,65,0.6771,bizhankook.com,elle.com.sg,jaypark.com
CORTIS,K-pop 보이그룹,135,103,0.763,63,0.6117,starnewskorea.com,dailynews.co.th,wkorea.com
이영지,힙합,107,92,0.8598,62,0.6739,newsis.com,fnnews.com,biz.heraldcorp.com
RIIZE,K-pop 보이그룹,121,83,0.686,61,0.7349,oricon.co.jp,starnewskorea.com,yesasia.ru
몬스타엑스,K-pop 보이그룹,96,91,0.9479,61,0.6703,starnewskorea.com,billboard-japan.com,soompi.com
