fandom,category,loyalty_score,spillover_score,coverage_index,factor_diversity,dominant_factor,activity,현장경제형(콘서트·투어·매진),미디어노출형(방송·조회수),결속형(팬클럽·기부·커뮤니티),소비력형(초동·판매·앨범),차트·확산형(1위·빌보드·기록)
BTS,K-pop 보이그룹,0.972,1.0,0.791,0.8518,현장경제형(콘서트·투어·매진),227,0.4813,0.2181,0.0909,0.0844,0.1253
TWICE,K-pop 걸그룹,0.947,0.821,0.854,0.929,현장경제형(콘서트·투어·매진),191,0.3617,0.252,0.1168,0.0966,0.1729
임영웅,트로트,0.95,0.517,0.663,0.9572,현장경제형(콘서트·투어·매진),131,0.2759,0.2518,0.1704,0.0804,0.2216
BLACKPINK,K-pop 걸그룹,0.674,0.752,0.783,0.9469,현장경제형(콘서트·투어·매진),195,0.3634,0.1488,0.1106,0.1837,0.1934
NCT,K-pop 보이그룹,0.832,0.498,0.818,0.8717,현장경제형(콘서트·투어·매진),164,0.4244,0.2648,0.1003,0.0632,0.1473
Stray Kids,K-pop 보이그룹,0.707,0.591,0.795,0.8855,현장경제형(콘서트·투어·매진),163,0.4409,0.2109,0.1013,0.0842,0.1627
SEVENTEEN,K-pop 보이그룹,0.88,0.397,0.835,0.9192,현장경제형(콘서트·투어·매진),157,0.359,0.2533,0.1002,0.0853,0.2022
god,원로그룹,1.0,0.171,0.531,0.7862,현장경제형(콘서트·투어·매진),99,0.5243,0.2105,0.1506,0.0296,0.085
aespa,K-pop 걸그룹,0.574,0.564,0.766,0.8884,현장경제형(콘서트·투어·매진),158,0.3642,0.3288,0.109,0.0808,0.1172
지드래곤 (G-Dragon),힙합,0.596,0.537,0.75,0.7785,현장경제형(콘서트·투어·매진),133,0.5029,0.262,0.0975,0.0198,0.1177
CORTIS,K-pop 보이그룹,0.56,0.456,0.722,0.7904,현장경제형(콘서트·투어·매진),135,0.4801,0.1947,0.0274,0.0546,0.2432
아이유,솔로,0.591,0.421,0.853,0.93,미디어노출형(방송·조회수),110,0.2971,0.3182,0.1737,0.0789,0.1322
EXO,K-pop 보이그룹,0.561,0.388,0.813,0.9069,현장경제형(콘서트·투어·매진),121,0.3802,0.2698,0.1253,0.0744,0.1504
NewJeans,K-pop 걸그룹,0.385,0.547,0.684,0.9685,현장경제형(콘서트·투어·매진),154,0.2601,0.2538,0.0953,0.2129,0.178
싸이,솔로,0.354,0.556,0.66,0.7848,현장경제형(콘서트·투어·매진),122,0.5361,0.2179,0.0522,0.0666,0.1272
ATEEZ,K-pop 보이그룹,0.513,0.396,0.785,0.909,현장경제형(콘서트·투어·매진),113,0.4181,0.1749,0.1244,0.0902,0.1922
RIIZE,K-pop 보이그룹,0.591,0.298,0.706,0.8926,현장경제형(콘서트·투어·매진),121,0.4222,0.2213,0.1776,0.0865,0.0925
워너원,K-pop 보이그룹,0.472,0.393,0.689,0.8514,현장경제형(콘서트·투어·매진),123,0.4379,0.277,0.0585,0.0864,0.1402
소녀시대,K-pop 걸그룹,0.327,0.536,0.714,0.9283,현장경제형(콘서트·투어·매진),122,0.3315,0.3053,0.1245,0.1082,0.1305
HOT,원로그룹,0.551,0.31,0.468,0.8457,현장경제형(콘서트·투어·매진),97,0.4978,0.1672,0.0971,0.0732,0.1647
BABYMONSTER,K-pop 걸그룹,0.574,0.276,0.717,0.8596,현장경제형(콘서트·투어·매진),132,0.4779,0.1885,0.0883,0.0832,0.162
(여자)아이들,K-pop 걸그룹,0.451,0.385,0.812,0.8715,현장경제형(콘서트·투어·매진),118,0.44,0.2389,0.0937,0.0704,0.1569
박서진,트로트,0.538,0.297,0.443,0.8354,미디어노출형(방송·조회수),99,0.2819,0.4083,0.1987,0.0229,0.0882
LE SSERAFIM,K-pop 걸그룹,0.357,0.47,0.781,0.9182,현장경제형(콘서트·투어·매진),143,0.3661,0.2696,0.0803,0.1352,0.1488
GOT7,K-pop 보이그룹,0.476,0.349,0.745,0.7523,현장경제형(콘서트·투어·매진),107,0.5026,0.2109,0.0373,0.0193,0.23
레드벨벳,K-pop 걸그룹,0.56,0.264,0.77,0.8322,현장경제형(콘서트·투어·매진),118,0.5126,0.1979,0.1045,0.0966,0.0884
DAY6,K-pop 보이그룹 /록,0.622,0.174,0.762,0.7654,현장경제형(콘서트·투어·매진),101,0.5743,0.1872,0.0932,0.0593,0.086
영탁,트로트,0.48,0.28,0.567,0.8597,현장경제형(콘서트·투어·매진),104,0.4411,0.2501,0.1585,0.0942,0.056
