bullet_type,idx,changed,원문(r72),한국어 요약(r73),url
loyalty,0,Y,"PLEDIS Entertainment officially announced TWS's fan club name as '42' (stylized '42(SAI)') on April 2, 2024, opening global official fan club membership registration via Weverse Shop at 2 PM KST the same day.","플레디스엔터테인먼트가 2024년 4월 2일 투어스의 공식 팬클럽명을 '42(사이)'로 발표하고, 같은 날 오후 2시부터 위버스샵을 통해 글로벌 공식 팬클럽 멤버십 가입을 시작했다.",https://www.soompi.com/article/1652481wpp/watch-tws-announces-official-fan-club-name
loyalty,1,Y,"PLEDIS explained the name '42' derives from TWS's concept 'Twenty-Four-Seven With Us' (24 hours x 7 days), symbolizing fans as the group's most special '사이' (relationship/connection); a promotional video showed '24/7:WITH:US' on a chalkboard rearranging into '42'.","플레디스는 팬클럽명 '42'가 투어스의 콘셉트 'Twenty-Four-Seven With Us'(24시간×7일)에서 왔으며 팬을 그룹의 가장 특별한 '사이'로 상징한다고 설명했고, 공개 영상에서는 칠판 위 '24/7:WITH:US'가 '42'로 재배열되는 장면을 담았다.",https://www.starnewskorea.com/music/2024/04/02/2024040208075732323
loyalty,2,Y,"TWS's fanclub '42' operates in annual generations through Weverse Membership: 1st gen (Apr 2, 2024 – Apr 1, 2025), 2nd gen (Apr 2025 – Apr 2026), and 3rd gen from Apr 2, 2026, each cycle accompanied by a renewed '42 Membership Kit' sold via Weverse Shop.","투어스 팬클럽 '42'는 위버스 멤버십으로 연 단위 기수제로 운영된다 — 1기(2024년 4월 2일∼2025년 4월 1일), 2기(2025년 4월∼2026년 4월), 3기(2026년 4월 2일∼)이며 기수마다 새 '42 멤버십 키트'를 위버스샵에서 판매한다.",https://namu.wiki/w/42(TWS)
loyalty,3,Y,"Weverse Shop's official account posted renewal notices for TWS's '42 Membership' and its accompanying membership kit, directing fans to register/purchase starting April 2 at 2 PM KST.",위버스샵 공식 계정이 투어스 '42 멤버십'과 멤버십 키트의 갱신 안내를 게시하며 4월 2일 오후 2시부터 가입·구매하도록 팬들을 안내했다.,https://x.com/weverseshop/status/1775027640782749940
loyalty,4,Y,"TWS launched its official Weverse fan community on January 3, 2024 (ahead of their Jan 22 debut) as Weverse's first artist community of 2024, running a Jan 4–21 '#WELCOME_TWS' fan-message event with polaroid photo raffles to seed early fan engagement.","투어스는 데뷔(1월 22일)에 앞서 2024년 1월 3일 위버스의 2024년 첫 아티스트 커뮤니티로 공식 팬 커뮤니티를 열었고, 1월 4∼21일 '#WELCOME_TWS' 팬 메시지 이벤트와 폴라로이드 추첨으로 초기 팬 참여를 끌어냈다.",https://sports.khan.co.kr/article/202401031455003
loyalty,5,Y,"TWS unveiled its official light stick via a midnight teaser on January 7, 2025 and released it January 8, 2025, priced at 49,000 won, marking the group's first official fandom merchandise cheering tool.","투어스는 2025년 1월 7일 자정 티저로 공식 응원봉을 공개하고 1월 8일 4만 9,000원에 발매해 그룹 첫 공식 팬덤 응원 굿즈를 선보였다.",https://www.soompi.com/article/1714392wpp/watch-tws-unveils-teaser-for-official-light-stick
loyalty,6,Y,"The light stick's unusual rectangular, retractable 'mood lamp' design (rather than the typical dome shape) went viral among fans, who nicknamed it 'square'/'nemo nemo' and compared it to Minecraft blocks and Melona ice cream bars, sparking widespread fan memes despite mixed initial reactions.","돔 형태가 아닌 직사각형 접이식 '무드등' 디자인의 응원봉은 팬들 사이에서 '네모네모'라는 별명과 함께 마인크래프트 블록·메로나에 비유되는 밈으로 퍼졌고, 초기 반응은 엇갈렸지만 화제가 됐다.",https://www.koreaboo.com/news/tws-lighstick-reactions-memes/
loyalty,7,Y,"TWS held their first official fan meeting, '42:Club' in Seoul, February 14–16, 2025 at Seoul Olympic Park's Handball Gymnasium; advance reservations for all three sessions sold out at high speed.","투어스는 2025년 2월 14∼16일 서울 올림픽공원 핸드볼경기장에서 첫 공식 팬미팅 '42:Club'을 열었으며, 3회차 모두 선예매가 빠르게 매진됐다.",https://www.starnewskorea.com/music/2025/01/17/2025011714201946576
loyalty,8,Y,"For their 1st debut anniversary, TWS hosted the pop-up 'TWS SPARKLING DAYS: THE AZIT' Jan 17–23, 2025 at DRC Hongdae, Seoul, featuring a dedicated lounge for fandom '42', member stage-costume displays, exclusive merch, and welcome kits including a storybook, compass keyring, and handwritten member message cards.","데뷔 1주년을 맞아 투어스는 2025년 1월 17∼23일 서울 홍대 DRC에서 팝업 'TWS SPARKLING DAYS: THE AZIT'를 열어 팬덤 '42' 전용 라운지, 멤버 무대의상 전시, 한정 굿즈, 스토리북·나침반 키링·멤버 손글씨 카드가 든 웰컴키트를 선보였다.",https://www.starnewskorea.com/music/2025/01/17/2025011714201946576
loyalty,9,Y,"PLEDIS released a multi-day 'Sparkling Days' content timetable (Jan 20–22, 2025) of previously unreleased photos, behind-the-scenes footage, and anniversary videos to mark TWS's 1-year debut anniversary with fans, addressed to fandom '42'.",플레디스는 데뷔 1주년을 기념해 2025년 1월 20∼22일 미공개 사진·비하인드 영상·기념 영상을 순차 공개하는 'Sparkling Days' 콘텐츠 타임테이블을 팬덤 '42' 앞으로 공개했다.,https://www.hankookilbo.com/News/Read/A2025012008360005392
