fandom,category,status,entered_round,replaces,removed_round,replaced_by,in_frozen_v7_40,in_live_10020,bullets_at_entry,loyalty_at_entry,spillover_at_entry,bullets_live,note
(여자)아이들,K-pop 걸그룹,live,initial(v4∼v5),,,,Y,Y,,,,118,
10CM,솔로,live,initial(v4∼v5),,,,Y,Y,,,,85,
A-pink,K-pop 걸그룹,live,initial(v4∼v5),,,,Y,Y,,,,95,
ATEEZ,K-pop 보이그룹,live,initial(v4∼v5),,,,Y,Y,,,,113,
BABYMONSTER,K-pop 걸그룹,live,initial(v4∼v5),,,,Y,Y,,,,132,
BLACKPINK,K-pop 걸그룹,live,initial(v4∼v5),,,,Y,Y,,,,195,
BTOB,K-pop 보이그룹,live,initial(v4∼v5),,,,Y,Y,,,,82,
BTS,K-pop 보이그룹,live,initial(v4∼v5),,,,Y,Y,,,,227,
CNBLUE,K-pop 보이그룹 /록,live,initial(v4∼v5),,,,Y,Y,,,,84,
CORTIS,K-pop 보이그룹,live,initial(v4∼v5),,,,Y,Y,,,,135,
Crush,솔로,live,initial(v4∼v5),,,,Y,Y,,,,99,
DAY6,K-pop 보이그룹 /록,live,initial(v4∼v5),,,,Y,Y,,,,101,
EXO,K-pop 보이그룹,live,initial(v4∼v5),,,,Y,Y,,,,121,
FTISLAND,K-pop 보이그룹 /록,live,initial(v4∼v5),,,,Y,Y,,,,73,
HOT,원로그룹,live,initial(v4∼v5),,,,Y,Y,,,,97,
Hearts2Hearts,K-pop 걸그룹,live,initial(v4∼v5),,,,Y,Y,,,,102,
IKON,K-pop 보이그룹,live,initial(v4∼v5),,,,Y,Y,,,,96,
ITZY,K-pop 걸그룹,live,initial(v4∼v5),,,,Y,Y,,,,107,
IVE,K-pop 걸그룹,live,initial(v4∼v5),,,,Y,Y,,,,100,
LE SSERAFIM,K-pop 걸그룹,live,initial(v4∼v5),,,,Y,Y,,,,143,
NCT,K-pop 보이그룹,live,initial(v4∼v5),,,,Y,Y,,,,164,
NewJeans,K-pop 걸그룹,live,initial(v4∼v5),,,,Y,Y,,,,154,
QWER,K-pop 걸그룹,live,initial(v4∼v5),,,,Y,Y,,,,103,
RIIZE,K-pop 보이그룹,live,initial(v4∼v5),,,,Y,Y,,,,121,
SEVENTEEN,K-pop 보이그룹,live,initial(v4∼v5),,,,Y,Y,,,,157,
STAYC,K-pop 걸그룹,live,initial(v4∼v5),,,,Y,Y,,,,92,
Stray Kids,K-pop 보이그룹,live,initial(v4∼v5),,,,Y,Y,,,,163,
TWICE,K-pop 걸그룹,live,initial(v4∼v5),,,,Y,Y,,,,191,
Zion.T,솔로,live,initial(v4∼v5),,,,Y,Y,,,,79,
aespa,K-pop 걸그룹,live,initial(v4∼v5),,,,Y,Y,,,,158,
god,원로그룹,live,initial(v4∼v5),,,,Y,Y,,,,99,
sg워너비,발라드,live,initial(v4∼v5),,,,Y,Y,,,,75,
거미,발라드,live,initial(v4∼v5),,,,Y,Y,,,,87,
권은비,솔로,live,initial(v4∼v5),,,,Y,Y,,,,90,
김동률,발라드,live,initial(v4∼v5),,,,Y,Y,,,,83,
김연자,트로트,live,initial(v4∼v5),,,,Y,Y,,,,73,
김호중,트로트,live,initial(v4∼v5),,,,Y,Y,,,,91,
나훈아,트로트,live,initial(v4∼v5),,,,Y,Y,,,,70,
다비치,발라드,live,initial(v4∼v5),,,,Y,Y,,,,80,
다이나믹듀오,힙합,live,initial(v4∼v5),,,,Y,Y,,,,68,
동방신기,K-pop 보이그룹,live,initial(v4∼v5),,,,Y,Y,,,,82,
레드벨벳,K-pop 걸그룹,live,initial(v4∼v5),,,,Y,Y,,,,118,
로이킴,발라드,live,initial(v4∼v5),,,,Y,Y,,,,89,
리센느(RESCENE),K-pop 걸그룹,live,initial(v4∼v5),,,,Y,Y,,,,85,
린,발라드,live,initial(v4∼v5),,,,Y,Y,,,,78,
마마무,K-pop 걸그룹,live,initial(v4∼v5),,,,Y,Y,,,,94,
박재범,힙합,live,initial(v4∼v5),,,,Y,Y,,,,110,
박정현,발라드,live,initial(v4∼v5),,,,Y,Y,,,,70,
박효신,발라드,live,initial(v4∼v5),,,,Y,Y,,,,91,
백지영,발라드,live,initial(v4∼v5),,,,Y,Y,,,,72,
보아,솔로,live,initial(v4∼v5),,,,Y,Y,,,,76,
볼빨간사춘기,솔로,live,initial(v4∼v5),,,,Y,Y,,,,88,
브라운아이즈,발라드,live,initial(v4∼v5),,,,Y,Y,,,,82,
비비,솔로,live,initial(v4∼v5),,,,Y,Y,,,,74,
빅마마,발라드,live,initial(v4∼v5),,,,Y,Y,,,,73,
빅뱅,K-pop 보이그룹,live,initial(v4∼v5),,,,Y,Y,,,,97,
샤이니,K-pop 보이그룹,live,initial(v4∼v5),,,,Y,Y,,,,77,
성시경,발라드,live,initial(v4∼v5),,,,Y,Y,,,,80,
소녀시대,K-pop 걸그룹,live,initial(v4∼v5),,,,Y,Y,,,,122,
송가인,트로트,live,initial(v4∼v5),,,,Y,Y,,,,92,
슈퍼주니어,K-pop 보이그룹,live,initial(v4∼v5),,,,Y,Y,,,,89,
싸이,솔로,live,initial(v4∼v5),,,,Y,Y,,,,122,
아이오아이,K-pop 걸그룹,live,initial(v4∼v5),,,,Y,Y,,,,95,
아이유,솔로,live,initial(v4∼v5),,,,Y,Y,,,,110,
아일릿,K-pop 걸그룹,live,initial(v4∼v5),,,,Y,Y,,,,107,
악동뮤지션,혼성,live,initial(v4∼v5),,,,Y,Y,,,,74,
엄정화,솔로,live,initial(v4∼v5),,,,Y,Y,,,,71,
에픽하이,힙합,live,initial(v4∼v5),,,,Y,Y,,,,87,
엔믹스,K-pop 걸그룹,live,initial(v4∼v5),,,,Y,Y,,,,110,
여자친구,K-pop 걸그룹,live,initial(v4∼v5),,,,Y,Y,,,,93,
영탁,트로트,live,initial(v4∼v5),,,,Y,Y,,,,104,
오마이걸,K-pop 걸그룹,live,initial(v4∼v5),,,,Y,Y,,,,98,
워너원,K-pop 보이그룹,live,initial(v4∼v5),,,,Y,Y,,,,123,
윤도현,록,live,initial(v4∼v5),,,,Y,Y,,,,71,
