팬덤,총 지역언급,검출 지역 수,요인 다양성,대표지역1(비중),대표지역2(비중),대표지역3(비중),근거 문장 수
이영지,18,10,0.588,서울(33.3%),부산(16.7%),충남(11.1%),84
지드래곤 (G-Dragon),15,4,0.235,서울(46.7%),부산(33.3%),경북(13.3%),93
지코,4,3,0.176,서울(50.0%),경북(25.0%),대구(25.0%),69
박재범,7,4,0.235,서울(57.1%),강원(14.3%),경기(14.3%),75
pH-1,3,2,0.118,서울(66.7%),부산(33.3%),,39
다이나믹듀오,18,6,0.353,서울(27.8%),대구(22.2%),부산(22.2%),45
에픽하이,2,2,0.118,대구(50.0%),인천(50.0%),,60
창모,3,3,0.176,경기(33.3%),부산(33.3%),서울(33.3%),24
사이먼도미닉,1,1,0.059,전남(100.0%),,,19
BE'O,3,3,0.176,대전(33.3%),인천(33.3%),충남(33.3%),32
악동뮤지션,20,9,0.529,서울(30.0%),경기(10.0%),경남(10.0%),48
임영웅,27,12,0.706,서울(22.2%),대전(11.1%),부산(11.1%),86
송가인,18,5,0.294,전남(72.2%),경북(11.1%),대구(5.6%),54
영탁,13,7,0.412,서울(30.8%),전북(23.1%),경북(15.4%),61
김호중,14,6,0.353,경북(42.9%),대구(21.4%),충남(14.3%),67
이찬원,6,5,0.294,대구(33.3%),경남(16.7%),서울(16.7%),61
장윤정,8,6,0.353,경기(37.5%),경남(12.5%),경북(12.5%),43
정동원,13,6,0.353,경남(46.2%),대구(15.4%),부산(15.4%),65
김연자,20,8,0.471,광주(35.0%),부산(15.0%),서울(15.0%),48
나훈아,20,8,0.471,서울(35.0%),부산(20.0%),인천(15.0%),52
god,16,4,0.235,서울(50.0%),부산(31.2%),대구(12.5%),46
HOT,3,2,0.118,인천(66.7%),서울(33.3%),,44
잭스키스,13,4,0.235,부산(61.5%),대구(15.4%),서울(15.4%),46
보아,2,1,0.059,서울(100.0%),,,51
싸이,30,9,0.529,강원(23.3%),경기(16.7%),부산(10.0%),67
아이유,11,3,0.176,서울(72.7%),충남(18.2%),경기(9.1%),63
비비,9,4,0.235,서울(55.6%),광주(22.2%),부산(11.1%),48
윤하,10,6,0.353,서울(30.0%),대구(20.0%),부산(20.0%),41
헤이즈,5,4,0.235,서울(40.0%),경기(20.0%),경남(20.0%),30
한로로,5,3,0.176,서울(40.0%),인천(40.0%),경남(20.0%),35
청하,3,3,0.176,강원(33.3%),인천(33.3%),충북(33.3%),53
최예나,9,3,0.176,경북(66.7%),경기(22.2%),서울(11.1%),65
권은비,10,5,0.294,서울(50.0%),전남(20.0%),경북(10.0%),64
츄,8,6,0.353,서울(37.5%),경기(12.5%),경북(12.5%),59
10CM,11,4,0.235,서울(45.5%),부산(27.3%),대전(18.2%),61
카더가든,4,4,0.235,경남(25.0%),대구(25.0%),인천(25.0%),51
Zion.T,5,3,0.176,서울(60.0%),경기(20.0%),부산(20.0%),41
이효리,6,2,0.118,제주(83.3%),경기(16.7%),,52
엄정화,14,3,0.176,대구(35.7%),부산(35.7%),서울(28.6%),44
볼빨간사춘기,2,2,0.118,서울(50.0%),인천(50.0%),,53
Crush,3,3,0.176,경기(33.3%),광주(33.3%),서울(33.3%),73
성시경,4,4,0.235,경남(25.0%),대구(25.0%),서울(25.0%),54
케이윌,3,3,0.176,강원(33.3%),경기(33.3%),서울(33.3%),51
이승철,31,9,0.529,대구(12.9%),부산(12.9%),서울(12.9%),33
거미,8,5,0.294,서울(37.5%),광주(25.0%),경기(12.5%),29
린,4,3,0.176,서울(50.0%),대구(25.0%),전북(25.0%),31
백지영,3,3,0.176,강원(33.3%),경기(33.3%),광주(33.3%),36
김동률,6,2,0.118,서울(66.7%),부산(33.3%),,24
조용필,18,6,0.353,서울(27.8%),경기(22.2%),대구(16.7%),47
박효신,7,5,0.294,인천(42.9%),광주(14.3%),대구(14.3%),25
박정현,2,2,0.118,서울(50.0%),충북(50.0%),,42
빅마마,12,6,0.353,부산(25.0%),대구(16.7%),서울(16.7%),48
다비치,4,3,0.176,서울(50.0%),인천(25.0%),충남(25.0%),53
로이킴,14,5,0.294,서울(57.1%),부산(21.4%),대구(7.1%),62
sg워너비,12,6,0.353,서울(41.7%),대구(16.7%),부산(16.7%),39
브라운아이즈,2,2,0.118,경기(50.0%),서울(50.0%),,25
이문세,13,9,0.529,경남(15.4%),대구(15.4%),부산(15.4%),29
윤도현,5,4,0.235,서울(40.0%),부산(20.0%),울산(20.0%),33
잔나비,6,4,0.235,서울(50.0%),광주(16.7%),대구(16.7%),38
CNBLUE,5,2,0.118,서울(80.0%),부산(20.0%),,57
BTS,14,4,0.235,부산(42.9%),서울(42.9%),강원(7.1%),135
SEVENTEEN,6,4,0.235,제주(50.0%),대구(16.7%),부산(16.7%),121
Stray Kids,2,2,0.118,대구(50.0%),인천(50.0%),,119
RIIZE,6,3,0.176,경기(33.3%),서울(33.3%),인천(33.3%),84
NCT,7,3,0.176,서울(57.1%),경북(28.6%),대구(14.3%),98
동방신기,2,1,0.059,광주(100.0%),,,59
빅뱅,2,2,0.118,경남(50.0%),서울(50.0%),,57
EXO,5,3,0.176,서울(60.0%),경남(20.0%),인천(20.0%),68
슈퍼주니어,3,2,0.118,서울(66.7%),강원(33.3%),,48
샤이니,2,2,0.118,경남(50.0%),서울(50.0%),,52
ATEEZ,6,4,0.235,경남(50.0%),경북(16.7%),울산(16.7%),70
DAY6,5,3,0.176,부산(60.0%),대구(20.0%),서울(20.0%),70
IKON,8,3,0.176,서울(75.0%),강원(12.5%),경기(12.5%),71
CORTIS,4,3,0.176,인천(50.0%),경기(25.0%),서울(25.0%),90
BTOB,8,5,0.294,강원(37.5%),경북(25.0%),대구(12.5%),57
FTISLAND,4,4,0.235,대구(25.0%),서울(25.0%),울산(25.0%),45
NewJeans,7,3,0.176,서울(57.1%),부산(28.6%),강원(14.3%),105
BLACKPINK,3,3,0.176,경기(33.3%),서울(33.3%),인천(33.3%),130
IVE,3,3,0.176,경기(33.3%),대구(33.3%),서울(33.3%),61
리센느(RESCENE),15,5,0.294,경남(66.7%),대전(13.3%),경기(6.7%),56
(여자)아이들,7,3,0.176,서울(71.4%),경기(14.3%),부산(14.3%),71
TWICE,3,3,0.176,서울(33.3%),울산(33.3%),인천(33.3%),121
ITZY,3,2,0.118,서울(66.7%),인천(33.3%),,68
LE SSERAFIM,8,5,0.294,서울(37.5%),부산(25.0%),광주(12.5%),98
aespa,5,3,0.176,서울(60.0%),대전(20.0%),충남(20.0%),90
프로미스나인,7,5,0.294,서울(42.9%),강원(14.3%),대전(14.3%),58
A-pink,4,4,0.235,경기(25.0%),부산(25.0%),서울(25.0%),58
QWER,8,3,0.176,서울(75.0%),인천(12.5%),충남(12.5%),59
BABYMONSTER,4,2,0.118,강원(50.0%),서울(50.0%),,87
소녀시대,4,2,0.118,서울(75.0%),전남(25.0%),,57
오마이걸,5,3,0.176,경기(40.0%),서울(40.0%),충남(20.0%),57
여자친구,3,1,0.059,서울(100.0%),,,61
STAYC,4,3,0.176,서울(50.0%),부산(25.0%),충남(25.0%),63
레드벨벳,2,2,0.118,대구(50.0%),서울(50.0%),,77
엔믹스,4,3,0.176,인천(50.0%),서울(25.0%),전북(25.0%),77
마마무,4,2,0.118,서울(50.0%),전북(50.0%),,57
아이오아이,4,2,0.118,서울(75.0%),전북(25.0%),,62
Hearts2Hearts,4,2,0.118,서울(75.0%),부산(25.0%),,55
워너원,6,2,0.118,서울(83.3%),부산(16.7%),,82
아일릿,4,3,0.176,서울(50.0%),경기(25.0%),충남(25.0%),76
