팬덤,근거 문장 수,비중(%)
BTS,124,2.27
BLACKPINK,123,2.26
SEVENTEEN,113,2.07
Stray Kids,111,2.04
TWICE,111,2.04
NewJeans,100,1.83
NCT,89,1.63
LE SSERAFIM,88,1.61
지드래곤 (G-Dragon),86,1.58
aespa,81,1.49
임영웅,80,1.47
CORTIS,79,1.45
RIIZE,78,1.43
BABYMONSTER,78,1.43
이영지,75,1.38
워너원,74,1.36
아일릿,71,1.3
엔믹스,69,1.27
Crush,66,1.21
지코,65,1.19
싸이,65,1.19
레드벨벳,65,1.19
김호중,64,1.17
(여자)아이들,64,1.17
박재범,63,1.16
정동원,63,1.16
최예나,62,1.14
ATEEZ,62,1.14
권은비,61,1.12
ITZY,61,1.12
아이유,59,1.08
EXO,59,1.08
IKON,59,1.08
이찬원,58,1.06
영탁,57,1.05
DAY6,57,1.05
STAYC,57,1.05
여자친구,56,1.03
10CM,55,1.01
IVE,55,1.01
QWER,55,1.01
아이오아이,55,1.01
동방신기,54,0.99
리센느(RESCENE),54,0.99
프로미스나인,53,0.97
A-pink,53,0.97
성시경,52,0.95
로이킴,52,0.95
CNBLUE,52,0.95
소녀시대,52,0.95
Hearts2Hearts,52,0.95
BTOB,51,0.94
오마이걸,51,0.94
나훈아,50,0.92
청하,50,0.92
츄,50,0.92
이효리,49,0.9
볼빨간사춘기,49,0.9
다비치,49,0.9
빅뱅,49,0.9
에픽하이,48,0.88
보아,48,0.88
카더가든,48,0.88
케이윌,48,0.88
마마무,48,0.88
김연자,47,0.86
조용필,46,0.84
악동뮤지션,45,0.83
god,45,0.83
빅마마,45,0.83
송가인,44,0.81
잭스키스,44,0.81
비비,43,0.79
엄정화,43,0.79
HOT,42,0.77
슈퍼주니어,42,0.77
샤이니,42,0.77
장윤정,41,0.75
다이나믹듀오,40,0.73
FTISLAND,40,0.73
박정현,39,0.72
윤하,37,0.68
Zion.T,36,0.66
sg워너비,35,0.64
잔나비,33,0.61
한로로,32,0.59
백지영,32,0.59
이승철,31,0.57
윤도현,30,0.55
pH-1,28,0.51
헤이즈,27,0.5
린,27,0.5
이문세,27,0.5
BE'O,26,0.48
거미,26,0.48
박효신,24,0.44
김동률,23,0.42
브라운아이즈,21,0.39
창모,19,0.35
사이먼도미닉,17,0.31
