fandom,total_group_bullets,total_region_mentions,primary_region,primary_region_share,region_diversity,n_regions_hit,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주
이영지,79,18,서울,0.333,0.588,10,6,3,1,1,1,0,1,0,0,0,0,2,1,0,1,1,0
지드래곤 (G-Dragon),87,15,서울,0.467,0.235,4,7,5,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0
지코,67,4,서울,0.5,0.176,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
박재범,69,7,서울,0.571,0.235,4,4,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
pH-1,34,3,서울,0.667,0.118,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
다이나믹듀오,42,18,서울,0.278,0.353,6,5,4,4,1,3,0,0,0,0,0,0,0,1,0,0,0,0
에픽하이,55,2,대구,0.5,0.118,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
창모,22,3,서울,0.333,0.176,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
사이먼도미닉,17,1,전남,1.0,0.059,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
BE'O,28,3,인천,0.333,0.176,3,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
악동뮤지션,45,20,서울,0.3,0.529,9,6,2,2,1,2,1,0,0,2,0,0,0,0,2,0,2,0
임영웅,80,27,서울,0.222,0.706,12,6,3,2,3,2,3,0,0,2,1,0,1,0,0,1,1,2
송가인,51,17,전남,0.706,0.294,5,1,0,1,0,0,0,0,0,0,0,0,0,1,12,2,0,0
영탁,57,13,서울,0.308,0.412,7,4,1,1,1,0,0,1,0,0,0,0,0,3,0,2,0,0
김호중,65,14,경북,0.429,0.353,6,1,1,3,0,0,0,0,0,0,0,0,2,0,0,6,1,0
이찬원,58,6,대구,0.333,0.294,5,1,0,2,1,0,0,0,0,0,0,0,1,0,0,0,1,0
