fandom,category,loyalty_score,spillover_score,coverage_index,factor_diversity,dominant_factor,activity,소비력형(초동·판매·앨범),현장경제형(콘서트·투어·매진),브랜드·상업형(광고·앰버서더),소비력형(초동·판매·앨범)·데뷔형,결속형(팬클럽·기부·커뮤니티),미디어노출형(방송·조회수)
BTS,K-pop 보이그룹,0.848,1.0,0.751,0.9157,현장경제형(콘서트·투어·매진),125,0.27,0.292,0.0472,0.1614,0.0855,0.1439
TWICE,K-pop 걸그룹,0.922,0.858,0.872,0.902,소비력형(초동·판매·앨범),111,0.2964,0.2856,0.1142,0.1827,0.0583,0.0627
BLACKPINK,K-pop 걸그룹,0.73,0.918,0.82,0.8512,소비력형(초동·판매·앨범),123,0.4494,0.1671,0.0732,0.1624,0.0548,0.0931
Stray Kids,K-pop 보이그룹,0.748,0.883,0.815,0.8858,현장경제형(콘서트·투어·매진),111,0.2419,0.327,0.1009,0.224,0.051,0.0552
SEVENTEEN,K-pop 보이그룹,1.0,0.552,0.818,0.9752,현장경제형(콘서트·투어·매진),113,0.1947,0.2182,0.1778,0.2045,0.0884,0.1165
지드래곤 (G-Dragon),힙합,0.566,0.904,0.782,0.8727,현장경제형(콘서트·투어·매진),87,0.0925,0.4508,0.1255,0.1232,0.1265,0.0816
임영웅,트로트,0.866,0.576,0.559,0.9502,현장경제형(콘서트·투어·매진),80,0.1611,0.2794,0.1025,0.1993,0.1906,0.067
CORTIS,K-pop 보이그룹,0.553,0.72,0.801,0.8344,현장경제형(콘서트·투어·매진),87,0.1124,0.3709,0.0385,0.3261,0.0664,0.0857
NewJeans,K-pop 걸그룹,0.435,0.768,0.663,0.8815,소비력형(초동·판매·앨범),100,0.4038,0.1831,0.0887,0.18,0.065,0.0795
NCT,K-pop 보이그룹,0.66,0.534,0.837,0.9104,현장경제형(콘서트·투어·매진),90,0.2043,0.337,0.0832,0.2163,0.0722,0.087
싸이,솔로,0.498,0.628,0.598,0.8279,현장경제형(콘서트·투어·매진),65,0.1965,0.4478,0.064,0.1804,0.0439,0.0675
LE SSERAFIM,K-pop 걸그룹,0.35,0.76,0.798,0.8896,소비력형(초동·판매·앨범),91,0.2974,0.2898,0.1043,0.1994,0.058,0.051
이영지,힙합,0.49,0.582,0.739,0.8773,현장경제형(콘서트·투어·매진),79,0.0615,0.4192,0.1478,0.1867,0.095,0.0897
아일릿,K-pop 걸그룹,0.531,0.522,0.673,0.9274,소비력형(초동·판매·앨범)·데뷔형,75,0.1943,0.2462,0.0787,0.2938,0.0725,0.1144
워너원,K-pop 보이그룹,0.56,0.48,0.685,0.8856,현장경제형(콘서트·투어·매진),78,0.1944,0.4,0.0543,0.1541,0.0873,0.1098
aespa,K-pop 걸그룹,0.575,0.44,0.782,0.9292,소비력형(초동·판매·앨범),82,0.2672,0.2621,0.118,0.2043,0.0645,0.084
지코,힙합,0.302,0.697,0.77,0.8551,현장경제형(콘서트·투어·매진),67,0.0531,0.3392,0.1753,0.3063,0.0427,0.0834
RIIZE,K-pop 보이그룹,0.472,0.514,0.692,0.9159,현장경제형(콘서트·투어·매진),78,0.2036,0.3599,0.126,0.1207,0.1307,0.0591
ATEEZ,K-pop 보이그룹,0.513,0.466,0.752,0.9088,현장경제형(콘서트·투어·매진),62,0.2498,0.2626,0.0485,0.2583,0.0952,0.0856
(여자)아이들,K-pop 걸그룹,0.405,0.574,0.772,0.9044,소비력형(초동·판매·앨범)·데뷔형,64,0.1883,0.2441,0.2261,0.2518,0.0455,0.0441
리센느(RESCENE),K-pop 걸그룹,0.465,0.472,0.617,0.9513,현장경제형(콘서트·투어·매진),55,0.115,0.2565,0.0804,0.2533,0.1819,0.1129
