fandom,total_group_bullets,total_member_mentions,n_members_mentioned,mci_pilot
BTS,125,53,7,0.219
빅뱅,50,13,4,0.338
BLACKPINK,123,27,4,0.411
EXO,59,32,9,0.16
슈퍼주니어,42,7,8,0.428
샤이니,45,15,4,0.271
소녀시대,53,16,9,0.133
(여자)아이들,64,19,5,0.335
마마무,50,10,4,0.26
IVE,55,9,6,0.308
TWICE,111,31,9,0.164
NCT,90,29,11,0.144
aespa,82,22,4,0.285
Stray Kids,111,26,8,0.349
SEVENTEEN,113,49,13,0.149
BABYMONSTER,80,28,7,0.199
LE SSERAFIM,91,10,5,0.5
RIIZE,78,10,6,0.68
아일릿,75,20,5,0.315
NewJeans,100,19,5,0.452
엔믹스,71,8,6,0.469
Hearts2Hearts,53,8,1,1.0
CORTIS,87,7,1,1.0
