사전,항목,값,출처,비고
Coverage·시장(MARKET_KEYWORDS),일본,일본,run_lda_v6.py,
Coverage·시장(MARKET_KEYWORDS),일본,도쿄,run_lda_v6.py,
Coverage·시장(MARKET_KEYWORDS),일본,오사카,run_lda_v6.py,
Coverage·시장(MARKET_KEYWORDS),일본,재팬,run_lda_v6.py,
Coverage·시장(MARKET_KEYWORDS),일본,japan,run_lda_v6.py,
Coverage·시장(MARKET_KEYWORDS),일본,tokyo,run_lda_v6.py,
Coverage·시장(MARKET_KEYWORDS),일본,osaka,run_lda_v6.py,
Coverage·시장(MARKET_KEYWORDS),중화권,중국,run_lda_v6.py,
Coverage·시장(MARKET_KEYWORDS),중화권,대만,run_lda_v6.py,
Coverage·시장(MARKET_KEYWORDS),중화권,홍콩,run_lda_v6.py,
Coverage·시장(MARKET_KEYWORDS),중화권,상하이,run_lda_v6.py,
Coverage·시장(MARKET_KEYWORDS),중화권,베이징,run_lda_v6.py,
Coverage·시장(MARKET_KEYWORDS),중화권,china,run_lda_v6.py,
Coverage·시장(MARKET_KEYWORDS),중화권,taiwan,run_lda_v6.py,
Coverage·시장(MARKET_KEYWORDS),중화권,hong kong,run_lda_v6.py,
Coverage·시장(MARKET_KEYWORDS),중화권,beijing,run_lda_v6.py,
Coverage·시장(MARKET_KEYWORDS),중화권,shanghai,run_lda_v6.py,
Coverage·시장(MARKET_KEYWORDS),미국_북미,미국,run_lda_v6.py,
Coverage·시장(MARKET_KEYWORDS),미국_북미,뉴욕,run_lda_v6.py,
Coverage·시장(MARKET_KEYWORDS),미국_북미,북미,run_lda_v6.py,
Coverage·시장(MARKET_KEYWORDS),미국_북미,america,run_lda_v6.py,
Coverage·시장(MARKET_KEYWORDS),미국_북미,usa,run_lda_v6.py,
Coverage·시장(MARKET_KEYWORDS),미국_북미,new york,run_lda_v6.py,
Coverage·시장(MARKET_KEYWORDS),미국_북미,los angeles,run_lda_v6.py,
Coverage·시장(MARKET_KEYWORDS),미국_북미,billboard,run_lda_v6.py,
Coverage·시장(MARKET_KEYWORDS),미국_북미,grammy,run_lda_v6.py,
Coverage·시장(MARKET_KEYWORDS),유럽,유럽,run_lda_v6.py,
Coverage·시장(MARKET_KEYWORDS),유럽,런던,run_lda_v6.py,
Coverage·시장(MARKET_KEYWORDS),유럽,파리,run_lda_v6.py,
Coverage·시장(MARKET_KEYWORDS),유럽,europe,run_lda_v6.py,
Coverage·시장(MARKET_KEYWORDS),유럽,london,run_lda_v6.py,
Coverage·시장(MARKET_KEYWORDS),유럽,paris,run_lda_v6.py,
Coverage·시장(MARKET_KEYWORDS),동남아,동남아,run_lda_v6.py,
Coverage·시장(MARKET_KEYWORDS),동남아,태국,run_lda_v6.py,
Coverage·시장(MARKET_KEYWORDS),동남아,베트남,run_lda_v6.py,
Coverage·시장(MARKET_KEYWORDS),동남아,필리핀,run_lda_v6.py,
Coverage·시장(MARKET_KEYWORDS),동남아,인도네시아,run_lda_v6.py,
Coverage·시장(MARKET_KEYWORDS),동남아,싱가포르,run_lda_v6.py,
Coverage·시장(MARKET_KEYWORDS),동남아,말레이시아,run_lda_v6.py,
Coverage·시장(MARKET_KEYWORDS),동남아,southeast asia,run_lda_v6.py,
Coverage·시장(MARKET_KEYWORDS),동남아,thailand,run_lda_v6.py,
Coverage·시장(MARKET_KEYWORDS),동남아,vietnam,run_lda_v6.py,
Coverage·시장(MARKET_KEYWORDS),동남아,philippines,run_lda_v6.py,
Coverage·시장(MARKET_KEYWORDS),동남아,indonesia,run_lda_v6.py,
Coverage·시장(MARKET_KEYWORDS),동남아,singapore,run_lda_v6.py,
Coverage·시장(MARKET_KEYWORDS),동남아,malaysia,run_lda_v6.py,
Coverage·시장(MARKET_KEYWORDS),글로벌,글로벌,run_lda_v6.py,
Coverage·시장(MARKET_KEYWORDS),글로벌,전세계,run_lda_v6.py,
Coverage·시장(MARKET_KEYWORDS),글로벌,월드투어,run_lda_v6.py,
Coverage·시장(MARKET_KEYWORDS),글로벌,해외,run_lda_v6.py,
Coverage·시장(MARKET_KEYWORDS),글로벌,global,run_lda_v6.py,
Coverage·시장(MARKET_KEYWORDS),글로벌,worldwide,run_lda_v6.py,
Coverage·시장(MARKET_KEYWORDS),글로벌,world tour,run_lda_v6.py,
Coverage·엔티티(ENTITY_CATEGORIES),방송사,KBS,run_lda_v6.py,
Coverage·엔티티(ENTITY_CATEGORIES),방송사,MBC,run_lda_v6.py,
Coverage·엔티티(ENTITY_CATEGORIES),방송사,SBS,run_lda_v6.py,
Coverage·엔티티(ENTITY_CATEGORIES),방송사,JTBC,run_lda_v6.py,
Coverage·엔티티(ENTITY_CATEGORIES),방송사,Mnet,run_lda_v6.py,
Coverage·엔티티(ENTITY_CATEGORIES),방송사,엠넷,run_lda_v6.py,
Coverage·엔티티(ENTITY_CATEGORIES),음원차트_국내,멜론,run_lda_v6.py,
Coverage·엔티티(ENTITY_CATEGORIES),음원차트_국내,지니,run_lda_v6.py,
Coverage·엔티티(ENTITY_CATEGORIES),음원차트_국내,벅스,run_lda_v6.py,
Coverage·엔티티(ENTITY_CATEGORIES),음원차트_국내,플로,run_lda_v6.py,
Coverage·엔티티(ENTITY_CATEGORIES),음원차트_국내,가온,run_lda_v6.py,
