fandom,total_region_mentions,mentions_hometown,mentions_activity,mentions_other,n_regions_hit,region_diversity,primary_region,strict_total,strict_n_regions_hit,strict_region_diversity,strict_primary_region,primary_changed,regions_hit_delta
이영지,22,1,21,0,11,0.647,서울,22,11,0.647,서울,0,0
지드래곤 (G-Dragon),17,0,17,0,4,0.235,서울,17,4,0.235,서울,0,0
지코,6,0,4,2,4,0.235,서울,6,4,0.235,서울,0,0
박재범,9,0,8,1,6,0.353,서울,9,6,0.353,서울,0,0
다이나믹듀오,19,0,19,0,6,0.353,서울,19,6,0.353,서울,0,0
에픽하이,2,0,2,0,2,0.118,대구,2,2,0.118,대구,0,0
악동뮤지션,21,0,21,0,9,0.529,서울,21,9,0.529,서울,0,0
임영웅,28,3,21,4,12,0.706,서울,28,12,0.706,서울,0,0
송가인,31,7,19,5,6,0.353,전남,31,6,0.353,전남,0,0
영탁,22,1,18,3,7,0.412,서울,22,7,0.412,서울,0,0
김호중,17,0,9,8,6,0.353,경북,17,6,0.353,경북,0,0
이찬원,12,3,9,0,6,0.353,서울,12,6,0.353,서울,0,0
장윤정,17,0,17,0,7,0.412,경기,17,7,0.412,경기,0,0
정동원,19,4,14,1,8,0.471,경남,19,8,0.471,경남,0,0
김연자,25,4,20,1,8,0.471,광주,25,8,0.471,광주,0,0
나훈아,30,1,29,0,9,0.529,서울,30,9,0.529,서울,0,0
god,28,0,27,1,4,0.235,서울,28,4,0.235,서울,0,0
HOT,11,0,11,0,2,0.118,서울,11,2,0.118,서울,0,0
잭스키스,25,4,18,3,7,0.412,부산,25,7,0.412,부산,0,0
보아,5,0,4,1,1,0.059,서울,5,1,0.059,서울,0,0
싸이,43,0,38,5,10,0.588,강원,41,10,0.588,강원,0,0
아이유,18,2,14,2,5,0.294,서울,18,5,0.294,서울,0,0
비비,12,1,10,1,5,0.294,서울,12,5,0.294,서울,0,0
윤하,16,1,14,1,6,0.353,서울,16,6,0.353,서울,0,0
청하,4,1,3,0,4,0.235,서울,4,4,0.235,서울,0,0
최예나,13,0,7,6,3,0.176,경북,13,3,0.176,경북,0,0
권은비,11,1,10,0,5,0.294,서울,11,5,0.294,서울,0,0
츄,11,0,10,1,7,0.412,서울,11,7,0.412,서울,0,0
10CM,14,0,14,0,4,0.235,서울,14,4,0.235,서울,0,0
카더가든,4,0,4,0,4,0.235,대구,4,4,0.235,대구,0,0
Zion.T,9,0,7,2,4,0.235,서울,9,4,0.235,서울,0,0
이효리,9,0,7,2,3,0.176,제주,9,3,0.176,제주,0,0
엄정화,18,1,16,1,4,0.235,부산,18,4,0.235,부산,0,0
볼빨간사춘기,3,0,3,0,2,0.118,인천,3,2,0.118,인천,0,0
