fandom,bullet_type,idx,region,keywords,match_class,strict_region,mention_type,snippet
이영지,loyalty,0,서울,서울,불확실,서울,활동,2026년 서울 올림픽공원 올림픽홀에서 두 번째 월드투어
이영지,loyalty,7,서울,서울,불확실,서울,활동,우승 직후인 2023년 1월 15일 서울 올림픽공원을 시작으로 부산·광주·인천·대
이영지,loyalty,7,부산,부산,지명 확인,부산,활동, 15일 서울 올림픽공원을 시작으로 부산·광주·인천·대구를 도는 전국투어 콘서트를
이영지,loyalty,7,대구,대구,지명 확인,대구,활동,림픽공원을 시작으로 부산·광주·인천·대구를 도는 전국투어 콘서트를 개최했다
이영지,loyalty,7,인천,인천,지명 확인,인천,활동,울 올림픽공원을 시작으로 부산·광주·인천·대구를 도는 전국투어 콘서트를 개최했다
이영지,loyalty,7,광주,광주,지명 확인,광주,활동,일 서울 올림픽공원을 시작으로 부산·광주·인천·대구를 도는 전국투어 콘서트를 개최
이영지,loyalty,8,서울,서울,지명 확인,서울,활동,2026년 월드투어 〈2.0〉 서울 공연을 3월 7~8일 양일간 올림픽공원 
이영지,loyalty,12,서울,서울,불확실,서울,활동,"혈병어린이재단, 초록우산어린이재단, 서울아산병원 어린이병원에 각 1억원씩 총 3억"
이영지,loyalty,12,충남,아산,불확실,충남,활동,"어린이재단, 초록우산어린이재단, 서울아산병원 어린이병원에 각 1억원씩 총 3억원을"
이영지,loyalty,13,서울,서울,불확실,서울,활동,026 월드투어 콘서트 〈2.0〉을 서울 올림픽공원 올림픽홀에서 3월 7~8일 양
이영지,loyalty,19,울산,울산,불확실,울산,활동,2025.3 대한적십자사를 통해 울산·경북·경남 산불 피해 복구 성금 1억원 
이영지,loyalty,19,경북,경북,불확실,경북,활동,025.3 대한적십자사를 통해 울산·경북·경남 산불 피해 복구 성금 1억원 기부
이영지,loyalty,19,경남,경남,불확실,경남,활동,.3 대한적십자사를 통해 울산·경북·경남 산불 피해 복구 성금 1억원 기부
이영지,loyalty,20,서울,서울,불확실,서울,활동,경찰과 도둑' 활동으로 팬들과 함께 서울아산병원·소아암 재단 등에 3억원 기부
이영지,loyalty,20,충남,아산,불확실,충남,활동,과 도둑' 활동으로 팬들과 함께 서울아산병원·소아암 재단 등에 3억원 기부
이영지,loyalty,35,서울,서울,불확실,서울,활동,국백혈병어린이재단·초록우산어린이재단·서울아산병원 어린이병원에 각 1억 원씩 총 3
이영지,loyalty,35,충남,아산,불확실,충남,활동,혈병어린이재단·초록우산어린이재단·서울아산병원 어린이병원에 각 1억 원씩 총 3억 
이영지,spillover,36,부산,부산,지명 확인,부산,활동,이영지가 부산관광공사 주최 '2026 부산원아시아페스티
이영지,spillover,37,부산,부산,지명 확인,부산,활동,이영지가 'NCT·라이즈'와 함께 부산에서 열리는 2026 부산원아시아페스티벌(
이영지,spillover,38,전북,전북,지명 확인,전북,활동,2025년 5월 전북대학교 축제('전북대 대동제')에서 이영지
이영지,spillover,55,강원,강원|속초,지명 확인,강원,활동,이영지가 2026년 8월 22일 강원도 한화리조트 설악 쏘라노에서 열린 '워터
이영지,spillover,58,서울,서울,지명 확인,서울,연고,서울특별시가 '고등래퍼' 출신 가수 이영지를 
지드래곤 (G-Dragon),loyalty,0,서울,서울,지명 확인,서울,활동,장 'Übermensch' 월드투어 서울 공연이 양일 합계 6만여 석 전석 매진됐
지드래곤 (G-Dragon),loyalty,8,서울,서울,불확실,서울,활동,2025년 12월 서울 고척스카이돔 앙코르 콘서트가 예매 시작 
지드래곤 (G-Dragon),loyalty,16,서울,서울,불확실,서울,활동,지드래곤은 2011~2012년 서울대병원 어린이병원에 총 1억원(5000만원
지드래곤 (G-Dragon),loyalty,27,부산,부산,불확실,부산,활동,는 제46차 유네스코 세계유산위원회(부산 개최) 홍보대사로 위촉됐다.
지드래곤 (G-Dragon),loyalty,28,부산,부산,지명 확인,부산,활동,지드래곤이 부산에서 열리는 유네스코 세계유산위원회의 홍보
지드래곤 (G-Dragon),spillover,6,경북,경주,불확실,경북,활동,의 홍보대사로 위촉돼 10월 31일 경주 라한호텔에서 21개국 정상 환영만찬 단독
지드래곤 (G-Dragon),spillover,10,부산,부산,지명 확인,부산,활동,2026년 문화유산청에 의해 부산에서 열리는 제48차 유네스코 세계유산위원
지드래곤 (G-Dragon),spillover,11,서울,서울,불확실,서울,활동,서울 앙코르 콘서트 피날레에 BTS 제이홉·정
지드래곤 (G-Dragon),spillover,16,부산,부산,지명 확인,부산,활동,지드래곤은 2026년 7월 19일 부산 벡스코에서 열린 제48차 유네스코 세계유
지드래곤 (G-Dragon),spillover,17,경북,경주,불확실,경북,활동,"지드래곤은 2025년 경주 APEC 정상회의 홍보대사로 위촉됐으며,"
지드래곤 (G-Dragon),spillover,27,서울,서울,지명 확인,서울,활동,el)의 글로벌 앰버서더로 활동하며 서울 콘서트 무대에서도 샤넬 커스텀 수트를 착
지드래곤 (G-Dragon),spillover,39,서울,서울,불확실,서울,활동,"을 모금했으며, 2011~2012년 서울대병원에 5,000만원을 기부했고, 202"
지드래곤 (G-Dragon),spillover,44,서울,서울,불확실,서울,활동,"17개 도시 39회 공연) 종료 및 서울 앙코르 공연을 보도: ""G-Dragon "
지드래곤 (G-Dragon),spillover,45,부산,부산,지명 확인,부산,활동,2025년 11월 부산시 주최 제20회 부산불꽃축제(지역축제)에
지드래곤 (G-Dragon),spillover,54,경기,경기도,지명 확인,경기,활동,래곤이 2025년 3월 29~30일 경기도 고양시 고양종합운동장에서 월드투어 위버
지드래곤 (G-Dragon),spillover,62,부산,부산,지명 확인,부산,활동,026년 7월 19일부터 29일까지 부산 벡스코에서 한국 최초로 개최됐다.
지드래곤 (G-Dragon),spillover,69,서울,서울,지명 확인,서울,활동,"피스재단에 현금 5억원을 기부하고, 서울 갤럭시로봇파크를 전시 공간으로 제공해 청"
지코,loyalty,24,부산,부산,지명 확인,부산,기타,월 자신의 곡 'Any Song'을 부산광역시교육청의 코로나19 예방수칙 안내 로
지코,spillover,6,서울,서울,불확실,서울,기타,뉴욕·서울 패션위크 협업을 통해 음악과 패션 산업을
지코,spillover,16,서울,서울,지명 확인,서울,활동,지코는 2019년 3월 박원순 서울시장에 의해 서울 홍보대사(굿윌 앰버서더)
지코,spillover,44,대구,대구,지명 확인,대구,활동,"지코가 2026년 5월 경북대학교(대구) 대학축제에 아이린, 엔시티위시, 이영지"
지코,spillover,44,경북,경북,지명 확인,경북,활동,"지코가 2026년 5월 경북대학교(대구) 대학축제에 아이린, 엔시티위"
지코,spillover,48,서울,서울,지명 확인,서울,활동,지코는 2019년 3월 4일 서울시청사에서 서울시 홍보대사로 공식 위촉되어
박재범,loyalty,7,서울,서울,불확실,서울,활동,월드투어 열기를 이어가는 서울 앙코르 콘서트 8월 개최 예고
박재범,loyalty,8,서울,서울,지명 확인,서울,활동,nades & Body Rolls' 서울 공연 티켓 오픈
박재범,loyalty,17,서울,서울,불확실,서울,활동,Body Rolls'(2025) — 서울·쿠알라룸푸르·타이베이·방콕·마닐라·홍콩·
박재범,loyalty,18,서울,서울,불확실,서울,활동,2026.8 서울 앙코르 공연 'THE REPLAY' 개최
박재범,spillover,27,강원,강원|원주,지명 확인,강원,기타,범이 만든 소주 브랜드 '원소주'는 강원도 원주에 양조장을 두고 생산되어 지역 경
박재범,spillover,30,전북,전북|전주,지명 확인,전북,활동,박재범이 2026년 5월 전북대학교(전주) 대학축제에 출연
박재범,spillover,31,경기,성남,지명 확인,경기,활동,"이 2026년 5월 가천대학교(경기 성남) 대학축제에 싸이, 소유 등과 함께 출연"
박재범,spillover,40,제주,제주,지명 확인,제주,활동,박재범은 2011년 9월 '제주 세계 7대 자연경관' 선정 홍보대사로 위
박재범,spillover,46,부산,부산,불확실,부산,활동,범이 2026년 8월 8일 '워터밤 부산 2026' 무대에 올라 여름 페스티벌 시
다이나믹듀오,loyalty,11,서울,서울,지명 확인,서울,활동, 4일 콘서트 '가끔씩 오래 보자' 서울 공연 티켓이 온라인 예매 시작 3분 만에
다이나믹듀오,loyalty,12,서울,서울,지명 확인,서울,활동,2025년 콘서트는 서울 단독 공연에서 부산·대구·광주를 포함한 
다이나믹듀오,loyalty,12,부산,부산,지명 확인,부산,활동,25년 콘서트는 서울 단독 공연에서 부산·대구·광주를 포함한 전국투어로 확대되며 
다이나믹듀오,loyalty,12,대구,대구,지명 확인,대구,활동, 콘서트는 서울 단독 공연에서 부산·대구·광주를 포함한 전국투어로 확대되며 데뷔 
다이나믹듀오,loyalty,12,광주,광주,지명 확인,광주,활동,트는 서울 단독 공연에서 부산·대구·광주를 포함한 전국투어로 확대되며 데뷔 20년
다이나믹듀오,loyalty,13,서울,서울,지명 확인,서울,활동,월~2026년 1월 부산·대구·광주·서울(장충체육관)을 도는 3년 연속 단독 콘서
다이나믹듀오,loyalty,13,부산,부산,지명 확인,부산,활동, 2025년 12월~2026년 1월 부산·대구·광주·서울(장충체육관)을 도는 3년
다이나믹듀오,loyalty,13,대구,대구,지명 확인,대구,활동,25년 12월~2026년 1월 부산·대구·광주·서울(장충체육관)을 도는 3년 연속
다이나믹듀오,loyalty,13,광주,광주,지명 확인,광주,활동, 12월~2026년 1월 부산·대구·광주·서울(장충체육관)을 도는 3년 연속 단독
다이나믹듀오,loyalty,14,서울,서울,지명 확인,서울,활동,"단독 콘서트 '가끔씩 오래 보자' 서울 공연, 티켓 오픈 3분 만에 전석 매진 "
다이나믹듀오,loyalty,15,서울,서울,지명 확인,서울,활동,전국투어로 확장 — 부산·대구·광주·서울 앙코르(2025.12~2026.1)
다이나믹듀오,loyalty,15,부산,부산,지명 확인,부산,활동,씩 오래 보자' 전국투어로 확장 — 부산·대구·광주·서울 앙코르(2025.12~2
다이나믹듀오,loyalty,15,대구,대구,지명 확인,대구,활동,래 보자' 전국투어로 확장 — 부산·대구·광주·서울 앙코르(2025.12~2026
다이나믹듀오,loyalty,15,광주,광주,지명 확인,광주,활동,자' 전국투어로 확장 — 부산·대구·광주·서울 앙코르(2025.12~2026.1)
다이나믹듀오,loyalty,21,서울,서울,지명 확인,서울,활동,다이나믹 듀오는 2025년 11월 서울 장충체육관에서 연 단독 콘서트 '가끔씩 
