group,member,name_len,recorded,substring_bullets,boundary_bullets,flag,ambiguous_short_name
(여자)아이들,전소연,3,3,1,1,별칭·영문명 포함(기록>부분문자열),
(여자)아이들,미연,2,4,4,4,일치,
(여자)아이들,민니,2,14,14,14,일치,
(여자)아이들,우기,2,12,12,12,일치,
(여자)아이들,슈화,2,15,15,15,일치,
A-pink,초롱,2,4,4,2,일치,
A-pink,보미,2,7,7,4,일치,Y
A-pink,은지,2,13,13,4,일치,Y
A-pink,남주,2,3,3,3,일치,
A-pink,하영,2,5,5,2,일치,Y
ATEEZ,홍중,2,6,6,6,일치,
ATEEZ,성화,2,8,8,8,일치,
ATEEZ,윤호,2,3,3,3,일치,
ATEEZ,여상,2,3,3,3,일치,
ATEEZ,산,1,7,13,9,경계 매칭보다도 적음,Y
ATEEZ,민기,2,3,3,3,일치,
ATEEZ,우영,2,2,2,2,일치,
ATEEZ,종호,2,2,2,2,일치,
BABYMONSTER,아현,2,5,5,5,일치,
BABYMONSTER,라미,2,2,2,2,일치,
BABYMONSTER,로라,2,2,2,2,일치,
BABYMONSTER,루카,2,8,8,8,일치,
BABYMONSTER,아사,2,9,9,9,일치,
BABYMONSTER,파리타,3,10,9,9,별칭·영문명 포함(기록>부분문자열),
BABYMONSTER,치키타,3,12,11,11,별칭·영문명 포함(기록>부분문자열),
BLACKPINK,지수,2,10,10,10,일치,
BLACKPINK,제니,2,12,12,12,일치,
BLACKPINK,로제,2,13,13,13,일치,
BLACKPINK,리사,2,28,27,27,별칭·영문명 포함(기록>부분문자열),
BTOB,서은광,3,6,4,4,별칭·영문명 포함(기록>부분문자열),
BTOB,이민혁,3,2,1,1,별칭·영문명 포함(기록>부분문자열),
BTOB,이창섭,3,5,4,4,별칭·영문명 포함(기록>부분문자열),
BTOB,임현식,3,3,1,1,별칭·영문명 포함(기록>부분문자열),
BTOB,프니엘,3,3,2,2,별칭·영문명 포함(기록>부분문자열),
BTOB,육성재,3,13,13,13,일치,
BTS,RM,2,18,18,18,일치,
BTS,진,1,37,36,22,별칭·영문명 포함(기록>부분문자열),Y
BTS,슈가,2,3,3,3,일치,
BTS,제이홉,3,2,2,2,일치,
BTS,지민,2,9,8,8,별칭·영문명 포함(기록>부분문자열),
BTS,뷔,1,25,15,9,별칭·영문명 포함(기록>부분문자열),Y
