group,n_members,total_group_bullets,total_member_mentions,mci,mci_floor,mci_excess,hhi_norm,top_member,top_member_share
(여자)아이들,5,118,48,0.256,0.2,0.056,0.07,슈화,0.312
A-pink,5,95,32,0.262,0.2,0.062,0.0775,은지,0.406
ATEEZ,8,113,34,0.159,0.125,0.034,0.0389,성화,0.235
BABYMONSTER,7,132,48,0.183,0.1429,0.0401,0.0468,치키타,0.25
BLACKPINK,4,195,63,0.301,0.25,0.051,0.068,리사,0.444
BTOB,6,82,32,0.246,0.1667,0.0793,0.0952,육성재,0.406
BTS,7,227,101,0.241,0.1429,0.0981,0.1145,진,0.366
CNBLUE,3,84,24,0.504,0.3333,0.1707,0.256,정용화,0.667
CORTIS,5,135,23,0.459,0.2,0.259,0.3237,제임스,0.652
DAY6,4,101,25,0.264,0.25,0.014,0.0187,원필,0.32
EXO,9,121,86,0.122,0.1111,0.0109,0.0123,카이,0.163
FTISLAND,2,73,23,0.66,0.5,0.16,0.32,이홍기,0.783
GOT7,7,107,53,0.316,0.1429,0.1731,0.202,뱀뱀,0.472
HOT,5,97,30,0.209,0.2,0.009,0.0112,토니안,0.267
Hearts2Hearts,8,102,34,0.289,0.125,0.164,0.1874,카르멘,0.5
IKON,6,96,18,0.247,0.1667,0.0803,0.0964,바비,0.389
ITZY,5,107,22,0.26,0.2,0.06,0.075,유나,0.409
IVE,6,100,29,0.239,0.1667,0.0723,0.0868,장원영,0.31
LE SSERAFIM,5,143,33,0.278,0.2,0.078,0.0975,사쿠라,0.364
NCT,11,164,61,0.111,0.0909,0.0201,0.0221,마크,0.164
NewJeans,5,154,41,0.273,0.2,0.073,0.0913,다니엘,0.39
QWER,4,103,17,0.266,0.25,0.016,0.0213,히나,0.353
RIIZE,6,121,26,0.358,0.1667,0.1913,0.2296,쇼타로,0.538
SEVENTEEN,13,157,68,0.112,0.0769,0.0351,0.038,승관,0.147
STAYC,6,92,15,0.262,0.1667,0.0953,0.1144,윤,0.4
Stray Kids,8,163,44,0.292,0.125,0.167,0.1909,필릭스,0.409
TWICE,9,191,93,0.146,0.1111,0.0349,0.0393,쯔위,0.258
aespa,4,158,47,0.264,0.25,0.014,0.0187,윈터,0.319
god,5,99,19,0.236,0.2,0.036,0.045,데니안,0.316
동방신기,2,82,33,0.512,0.5,0.012,0.024,유노윤호,0.576
레드벨벳,5,118,40,0.227,0.2,0.027,0.0337,아이린,0.3
리센느(RESCENE),5,85,43,0.229,0.2,0.029,0.0362,원이,0.349
마마무,4,94,35,0.286,0.25,0.036,0.048,화사,0.4
빅뱅,4,97,32,0.364,0.25,0.114,0.152,지드래곤,0.469
샤이니,4,77,37,0.27,0.25,0.02,0.0267,민호,0.324
소녀시대,9,122,46,0.134,0.1111,0.0229,0.0258,윤아,0.196
슈퍼주니어,8,89,35,0.169,0.125,0.044,0.0503,은혁,0.257
아이오아이,11,95,44,0.154,0.0909,0.0631,0.0694,김세정,0.318
아일릿,5,107,33,0.26,0.2,0.06,0.075,이로하,0.333
엔믹스,6,110,24,0.233,0.1667,0.0663,0.0796,릴리,0.292
여자친구,6,93,23,0.205,0.1667,0.0383,0.046,신비,0.304
오마이걸,6,98,33,0.188,0.1667,0.0213,0.0256,미미,0.242
워너원,11,123,47,0.123,0.0909,0.0321,0.0353,강다니엘,0.213
잭스키스,4,85,19,0.307,0.25,0.057,0.076,은지원,0.368
프로미스나인,5,89,17,0.253,0.2,0.053,0.0662,나경,0.353
