페르소나,F 조합,팬덤,카테고리,합산 순위,팬충성도,파급효과,4구획,1위 F,1위 F 비중,2위 F,2위 F 비중,동결 페르소나
글로벌투어형,F3+F5,BTS,K-pop 보이그룹,1,0.972,1.0,핵심전략형,F3 현장경제 경로,0.5045,F5 대중·글로벌 확산 경로,0.1805,글로벌투어형
글로벌투어형,F3+F5,TWICE,K-pop 걸그룹,2,0.947,0.821,핵심전략형,F3 현장경제 경로,0.4586,F5 대중·글로벌 확산 경로,0.182,글로벌투어형
글로벌투어형,F3+F5,임영웅,트로트,3,0.95,0.517,핵심전략형,F3 현장경제 경로,0.4584,F5 대중·글로벌 확산 경로,0.1994,집단동원형
글로벌투어형,F3+F5,NCT,K-pop 보이그룹,5,0.832,0.498,핵심전략형,F3 현장경제 경로,0.5474,F5 대중·글로벌 확산 경로,0.1627,글로벌투어형
글로벌투어형,F3+F5,Stray Kids,K-pop 보이그룹,6,0.707,0.591,핵심전략형,F3 현장경제 경로,0.4107,F5 대중·글로벌 확산 경로,0.2169,글로벌투어형
글로벌투어형,F3+F5,SEVENTEEN,K-pop 보이그룹,7,0.88,0.397,핵심전략형,F3 현장경제 경로,0.4936,F5 대중·글로벌 확산 경로,0.194,글로벌투어형
글로벌투어형,F3+F5,god,원로그룹,8,1.0,0.171,내부결속형,F3 현장경제 경로,0.7616,F5 대중·글로벌 확산 경로,0.0872,집단동원형
글로벌투어형,F3+F5,CORTIS,K-pop 보이그룹,11,0.56,0.456,핵심전략형,F3 현장경제 경로,0.4763,F5 대중·글로벌 확산 경로,0.3444,글로벌투어형
글로벌투어형,F3+F5,EXO,K-pop 보이그룹,13,0.561,0.388,핵심전략형,F3 현장경제 경로,0.483,F5 대중·글로벌 확산 경로,0.1748,현장상업형
글로벌투어형,F3+F5,싸이,솔로,15,0.354,0.556,외부견인형,F3 현장경제 경로,0.5009,F5 대중·글로벌 확산 경로,0.266,글로벌투어형
글로벌투어형,F3+F5,ATEEZ,K-pop 보이그룹,16,0.513,0.396,핵심전략형,F3 현장경제 경로,0.4716,F5 대중·글로벌 확산 경로,0.1979,글로벌투어형
