frozen_persona,live_persona,n_fandoms,fandoms
글로벌투어형,글로벌투어형,34,BTS|TWICE|NCT|Stray Kids|SEVENTEEN|CORTIS|싸이|ATEEZ|HOT|BABYMONSTER|(여자)아이들|LE SSERAFIM|GOT7|아이오아이|이영지|아일릿|윤하|리센느(RESCENE)|QWER|ITZY|지코|프로미스나인|Hearts2Hearts|샤이니|마마무|STAYC|10CM|CNBLUE|빅마마|에픽하이|조용필|다이나믹듀오|악동뮤지션|청하
현장상업형,글로벌투어형,16,EXO|박효신|BTOB|A-pink|브라운아이즈|볼빨간사춘기|sg워너비|로이킴|Crush|다비치|장윤정|보아|Zion.T|카더가든|엄정화|박정현
원정소비형,원정소비형,8,BLACKPINK|NewJeans|레드벨벳|슈퍼주니어|빅뱅|나훈아|권은비|FTISLAND
현장상업형,원정소비형,6,DAY6|영탁|오마이걸|이승철|케이윌|백지영
집단동원형,글로벌투어형,5,임영웅|god|이찬원|송가인|잭스키스
원정소비형,글로벌투어형,5,워너원|IKON|김동률|IVE|여자친구
현장상업형,집단동원형,5,거미|윤도현|린|김연자|잔나비
글로벌투어형,현장상업형,4,aespa|지드래곤 (G-Dragon)|RIIZE|엔믹스
원정소비형,현장상업형,4,아이유|소녀시대|박재범|최예나
현장상업형,현장상업형,4,이효리|츄|이문세|비비
집단동원형,집단동원형,3,박서진|정동원|김호중
글로벌투어형,집단동원형,1,김재중
글로벌투어형,원정소비형,1,동방신기
집단동원형,원정소비형,1,성시경
