rank,fandom,loyalty,spillover,sum,dominant_raw_factor,dominant_F,quadrant,frozen_rank,frozen_loyalty,frozen_spillover
1,BTS,0.972,1.0,1.972,현장경제형(콘서트·투어·매진),F3,핵심전략형,1,0.931,1.0
2,TWICE,0.947,0.821,1.768,현장경제형(콘서트·투어·매진),F3,핵심전략형,2,0.944,0.846
3,임영웅,0.95,0.517,1.467,현장경제형(콘서트·투어·매진),F3,핵심전략형,3,0.899,0.702
4,BLACKPINK,0.674,0.752,1.426,현장경제형(콘서트·투어·매진),F3,핵심전략형,5,0.747,0.708
5,NCT,0.832,0.498,1.33,현장경제형(콘서트·투어·매진),F3,핵심전략형,8,0.706,0.479
6,Stray Kids,0.707,0.591,1.298,현장경제형(콘서트·투어·매진),F3,핵심전략형,4,0.805,0.702
7,SEVENTEEN,0.88,0.397,1.277,현장경제형(콘서트·투어·매진),F3,핵심전략형,6,1.0,0.393
8,god,1.0,0.171,1.171,현장경제형(콘서트·투어·매진),F3,내부결속형,37,0.602,0.112
9,aespa,0.574,0.564,1.138,현장경제형(콘서트·투어·매진),F3,핵심전략형,10,0.578,0.545
10,지드래곤 (G-Dragon),0.596,0.537,1.133,현장경제형(콘서트·투어·매진),F3,핵심전략형,7,0.558,0.733
11,CORTIS,0.56,0.456,1.016,현장경제형(콘서트·투어·매진),F3,핵심전략형,9,0.528,0.626
12,아이유,0.591,0.421,1.012,미디어노출형(방송·조회수),F4,핵심전략형,15,0.64,0.356
13,EXO,0.561,0.388,0.949,현장경제형(콘서트·투어·매진),F3,핵심전략형,21,0.486,0.411
14,NewJeans,0.385,0.547,0.932,현장경제형(콘서트·투어·매진),F3,핵심전략형,11,0.428,0.592
15,싸이,0.354,0.556,0.91,현장경제형(콘서트·투어·매진),F3,외부견인형,16,0.464,0.531
