fandom,F1,F2,F3,F4,F5,top2,persona,pc1,pc2,persona_html
BTS,0.0783,0.1455,0.5119,0.0636,0.2008,F3|F5,글로벌투어형,0.11548,0.05645,글로벌투어형
TWICE,0.0713,0.189,0.3972,0.0906,0.252,F3|F5,글로벌투어형,-0.00778,0.11209,글로벌투어형
임영웅,0.2017,0.1481,0.3627,0.1202,0.1673,F1|F3,집단동원형,-0.04192,0.02218,집단동원형
Stray Kids,0.1483,0.1599,0.4145,0.0798,0.1975,F3|F5,글로벌투어형,0.01873,0.06259,글로벌투어형
BLACKPINK,0.0612,0.3096,0.3216,0.1231,0.1846,F2|F3,원정소비형,-0.1099,0.07208,원정소비형
SEVENTEEN,0.1042,0.1735,0.3539,0.1285,0.2399,F3|F5,글로벌투어형,-0.05945,0.08652,글로벌투어형
지드래곤 (G-Dragon),0.0817,0.0592,0.6261,0.0957,0.1373,F3|F5,글로벌투어형,0.22159,-0.0467,글로벌투어형
NCT,0.126,0.1558,0.4238,0.1002,0.1941,F3|F5,글로벌투어형,0.01934,0.04755,글로벌투어형
CORTIS,0.0748,0.0708,0.4431,0.0444,0.3669,F3|F5,글로벌투어형,0.07202,0.20438,글로벌투어형
aespa,0.0555,0.1512,0.4148,0.1808,0.1978,F3|F5,글로벌투어형,-0.0218,0.01167,글로벌투어형
NewJeans,0.0635,0.3079,0.3642,0.0794,0.185,F2|F3,원정소비형,-0.05304,0.08732,원정소비형
RIIZE,0.1515,0.1493,0.4572,0.0708,0.1712,F3|F5,글로벌투어형,0.0633,0.0362,글로벌투어형
ATEEZ,0.1159,0.1938,0.3716,0.1052,0.2134,F3|F5,글로벌투어형,-0.03694,0.07645,글로벌투어형
레드벨벳,0.08,0.162,0.5804,0.0925,0.0852,F2|F3,원정소비형,0.16421,-0.06381,원정소비형
아이유,0.145,0.2171,0.3473,0.0967,0.1939,F2|F3,원정소비형,-0.05904,0.0718,원정소비형
싸이,0.1132,0.1513,0.4416,0.0839,0.2099,F3|F5,글로벌투어형,0.04265,0.06566,글로벌투어형
GOT7,0.0977,0.026,0.4705,0.0803,0.3255,F3|F5,글로벌투어형,0.09059,0.1388,글로벌투어형
워너원,0.1202,0.1603,0.4628,0.0996,0.1571,F2|F3,원정소비형,0.05453,0.01125,원정소비형
LE SSERAFIM,0.0647,0.2052,0.4428,0.0777,0.2096,F3|F5,글로벌투어형,0.03647,0.07844,글로벌투어형
이영지,0.1156,0.0577,0.5792,0.0988,0.1486,F3|F5,글로벌투어형,0.17825,-0.03197,글로벌투어형
EXO,0.0695,0.1661,0.3973,0.2176,0.1494,F3|F4,현장상업형,-0.05465,-0.04254,현장상업형
DAY6,0.0979,0.1124,0.548,0.1487,0.0929,F3|F4,현장상업형,0.12047,-0.08936,현장상업형
아일릿,0.0688,0.1498,0.3227,0.0598,0.3989,F3|F5,글로벌투어형,-0.05759,0.25675,글로벌투어형
영탁,0.1373,0.1597,0.4225,0.2068,0.0737,F3|F4,현장상업형,-0.02477,-0.10712,현장상업형
(여자)아이들,0.1023,0.1456,0.3863,0.1418,0.224,F3|F5,글로벌투어형,-0.03052,0.05637,글로벌투어형
BABYMONSTER,0.0831,0.1933,0.3466,0.1555,0.2215,F3|F5,글로벌투어형,-0.08056,0.0623,글로벌투어형
송가인,0.1456,0.0941,0.5475,0.1348,0.078,F1|F3,집단동원형,0.12951,-0.09874,집단동원형
엔믹스,0.0741,0.1453,0.5022,0.1203,0.1581,F3|F5,글로벌투어형,0.08392,-0.0066,글로벌투어형
IKON,0.0464,0.1926,0.4449,0.1477,0.1683,F2|F3,원정소비형,0.01215,0.00601,원정소비형
박재범,0.0588,0.1384,0.5888,0.1088,0.1051,F2|F3,원정소비형,0.16882,-0.06037,원정소비형
지코,0.0745,0.0327,0.4665,0.0845,0.3418,F3|F5,글로벌투어형,0.08368,0.15258,글로벌투어형
리센느(RESCENE),0.105,0.0876,0.469,0.0895,0.2489,F3|F5,글로벌투어형,0.07571,0.08038,글로벌투어형
김호중,0.2413,0.1804,0.2232,0.2175,0.1376,F1|F3,집단동원형,-0.2132,-0.02459,집단동원형
아이오아이,0.1638,0.1433,0.3869,0.0914,0.2146,F3|F5,글로벌투어형,-0.00822,0.07247,글로벌투어형
최예나,0.1204,0.1696,0.4523,0.1109,0.1468,F2|F3,원정소비형,0.03888,0.00015,원정소비형
BTOB,0.0894,0.169,0.4139,0.1775,0.1501,F3|F4,현장상업형,-0.02347,-0.02416,현장상업형
god,0.1719,0.1298,0.4567,0.1418,0.0998,F1|F3,집단동원형,0.03811,-0.06349,집단동원형
이찬원,0.2291,0.1678,0.3521,0.1672,0.0837,F1|F3,집단동원형,-0.07301,-0.06735,집단동원형
소녀시대,0.0654,0.273,0.3567,0.0939,0.211,F2|F3,원정소비형,-0.06001,0.09704,원정소비형
빅뱅,0.0532,0.2094,0.5235,0.1197,0.0942,F2|F3,원정소비형,0.09289,-0.05216,원정소비형
박서진,0.2653,0.019,0.5297,0.1283,0.0577,F1|F3,집단동원형,0.13041,-0.12457,집단동원형
CNBLUE,0.0463,0.2066,0.3855,0.1465,0.2151,F3|F5,글로벌투어형,-0.04418,0.05806,글로벌투어형
정동원,0.1997,0.1208,0.4084,0.1506,0.1205,F1|F3,집단동원형,-0.0077,-0.0447,집단동원형
프로미스나인,0.0456,0.1355,0.4047,0.15,0.2642,F3|F5,글로벌투어형,-0.01644,0.08228,글로벌투어형
샤이니,0.1017,0.0658,0.6011,0.067,0.1644,F3|F5,글로벌투어형,0.20943,-0.00449,글로벌투어형
오마이걸,0.1617,0.1359,0.4064,0.183,0.1131,F3|F4,현장상업형,-0.0257,-0.06379,현장상업형
