doc_id,fandom,bullet_type,idx_in_fandom_array,n_tokens
0,BTS,loyalty,0,20
1,BTS,loyalty,1,15
2,BTS,loyalty,2,20
3,BTS,loyalty,3,14
4,BTS,loyalty,4,23
5,BTS,loyalty,5,25
6,BTS,loyalty,6,24
7,BTS,loyalty,7,19
8,BTS,loyalty,8,20
9,BTS,loyalty,9,18
10,BTS,loyalty,10,10
11,BTS,loyalty,11,11
12,BTS,loyalty,12,10
13,BTS,loyalty,13,21
14,BTS,loyalty,14,13
15,BTS,loyalty,15,13
16,BTS,loyalty,16,10
17,BTS,loyalty,17,16
18,BTS,loyalty,18,18
19,BTS,loyalty,19,16
20,BTS,loyalty,20,18
21,BTS,loyalty,21,12
22,BTS,loyalty,22,19
23,BTS,loyalty,23,23
24,BTS,loyalty,24,27
25,BTS,loyalty,25,16
26,BTS,loyalty,26,12
27,BTS,loyalty,27,10
28,BTS,loyalty,28,8
29,BTS,loyalty,29,12
30,BTS,loyalty,30,13
31,BTS,loyalty,31,17
32,BTS,loyalty,32,29
33,BTS,loyalty,33,16
34,BTS,loyalty,34,13
35,BTS,loyalty,35,22
36,BTS,loyalty,36,23
37,BTS,loyalty,37,25
38,BTS,loyalty,38,12
39,BTS,loyalty,39,19
40,BTS,loyalty,40,13
41,BTS,loyalty,41,23
42,BTS,loyalty,42,17
43,BTS,loyalty,43,17
44,BTS,loyalty,44,20
45,BTS,loyalty,45,20
46,BTS,loyalty,46,25
47,BTS,loyalty,47,16
48,BTS,loyalty,48,15
49,BTS,loyalty,49,18
50,BTS,loyalty,50,17
51,BTS,loyalty,51,14
52,BTS,loyalty,52,32
53,BTS,loyalty,53,8
54,BTS,loyalty,54,8
55,BTS,loyalty,55,17
56,BTS,loyalty,56,13
57,BTS,loyalty,57,14
58,BTS,loyalty,58,15
59,BTS,loyalty,59,16
60,BTS,loyalty,60,10
61,BTS,loyalty,61,21
62,BTS,spillover,0,15
63,BTS,spillover,1,19
64,BTS,spillover,2,24
65,BTS,spillover,3,23
66,BTS,spillover,4,12
67,BTS,spillover,5,12
68,BTS,spillover,6,16
69,BTS,spillover,7,16
70,BTS,spillover,8,14
71,BTS,spillover,9,13
72,BTS,spillover,10,11
73,BTS,spillover,11,11
74,BTS,spillover,12,13
75,BTS,spillover,13,10
76,BTS,spillover,14,8
77,BTS,spillover,15,12
78,BTS,spillover,16,14
79,BTS,spillover,17,17
80,BTS,spillover,18,13
81,BTS,spillover,19,11
82,BTS,spillover,20,13
83,BTS,spillover,21,18
84,BTS,spillover,22,15
85,BTS,spillover,23,27
86,BTS,spillover,24,31
87,BTS,spillover,25,20
88,BTS,spillover,26,11
89,BTS,spillover,27,10
90,BTS,spillover,28,9
91,BTS,spillover,29,8
92,BTS,spillover,30,9
93,BTS,spillover,31,12
94,BTS,spillover,32,10
95,BTS,spillover,33,8
