topic,rank,word,phi,raw_weight
T0,1,ost,0.0319755,237.7043
T0,2,드라마,0.0246406,183.1771
T0,3,참여,0.00893031,66.3875
T0,4,화제,0.00873362,64.9252
T0,5,발매,0.00835562,62.1152
T0,6,타이틀곡,0.00673934,50.0999
T0,7,데뷔,0.00669711,49.7859
T0,8,공개,0.0062103,46.1671
T0,9,신곡,0.00594348,44.1835
T0,10,데뷔곡,0.00552868,41.0999
T0,11,수상,0.00498923,37.0897
T0,12,2025년,0.00465216,34.5839
T0,13,보도,0.00445865,33.1454
T0,14,tvn,0.00421155,31.3084
T0,15,크러쉬,0.00399771,29.7188
T0,16,love,0.00398568,29.6293
T0,17,사랑,0.00391477,29.1022
T0,18,2016년,0.00390114,29.0009
T0,19,like,0.00383345,28.4976
T0,20,2026년,0.00380437,28.2815
T0,21,불러,0.00377995,28.1000
T0,22,part,0.00375511,27.9153
T0,23,3위,0.00359716,26.7411
T0,24,다수,0.00350652,26.0673
T0,25,me,0.00304951,22.6699
T0,26,동시,0.00303855,22.5884
T0,27,싱글,0.0030373,22.5791
T0,28,아일릿,0.00301869,22.4408
T0,29,mama,0.00301629,22.4229
T0,30,올랐,0.0028999,21.5577
T0,31,으로,0.00289438,21.5166
T0,32,음원차트,0.00283832,21.0999
T0,33,모았,0.00282316,20.9872
T0,34,go,0.00276806,20.5776
T0,35,2014년,0.00269915,20.0653
T0,36,일본,0.00267411,19.8792
T0,37,뮤직비디오,0.00264563,19.6675
T0,38,신인상,0.00260313,19.3515
T0,39,기록,0.00257355,19.1316
T0,40,시청률,0.00256929,19.0999
T0,41,세븐틴,0.00254117,18.8909
T0,42,케이팝,0.00247503,18.3993
T0,43,청하,0.00244308,18.1617
T0,44,지코,0.00242981,18.0631
T0,45,가수,0.0024268,18.0407
T0,46,9월,0.00241666,17.9654
T0,47,워너원,0.00239531,17.8066
T0,48,8월,0.00238623,17.7391
T0,49,sbs,0.00238309,17.7157
T0,50,권은비,0.00235742,17.5249
T1,1,공식,0.0260454,158.7936
T1,2,팬클럽,0.0147697,90.0481
T1,3,팬덤,0.0128229,78.1786
T1,4,팬덤명,0.00805339,49.0999
T1,5,stray,0.00690524,42.0999
T1,6,kids,0.00690524,42.0999
T1,7,팬클럽명,0.00608515,37.1000
T1,8,모집,0.00453749,27.6642
T1,9,멤버십,0.00427759,26.0796
T1,10,asian,0.00395287,24.0999
T1,11,weeks,0.00395287,24.0999
T1,12,asia,0.00387512,23.6259
T1,13,명칭,0.00362484,22.1000
T1,14,dome,0.00350145,21.3477
T1,15,정도,0.00336937,20.5424
T1,16,kong,0.0032968,20.1000
T1,17,판매,0.00320795,19.5582
T1,18,암표,0.00313278,19.1000
T1,19,melon,0.00313276,19.0998
T1,20,hong,0.00312826,19.0724
T1,21,dream,0.00302479,18.4416
T1,22,만큼,0.00301859,18.4037
T1,23,nct,0.00290257,17.6964
T1,24,이며,0.00289073,17.6243
T1,25,ftisland,0.00281316,17.1513
T1,26,jan,0.0028103,17.1339
T1,27,singapore,0.00280474,17.0999
T1,28,bangkok,0.00276927,16.8837
T1,29,기부하,0.00274131,16.7132
T1,30,커뮤니티,0.00258555,15.7636
T1,31,sustained,0.00257262,15.6848
T1,32,thailand,0.00251794,15.3514
T1,33,arena,0.00249558,15.2151
T1,34,exclusive,0.00247669,15.0999
T1,35,3rd,0.00247669,15.0999
T1,36,가입,0.00246939,15.0554
T1,37,응원봉,0.00239528,14.6036
T1,38,팬들,0.00235874,14.3808
T1,39,downloads,0.00231267,14.0999
T1,40,그룹,0.0022876,13.9471
