topic,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,label
T0,0.000000,0.949226,0.903857,0.845118,0.892221,0.922360,0.979970,0.865264,0.842429,0.822854,ost·드라마·참여·화제
T1,0.949226,0.000000,0.919424,0.911981,0.918237,0.946926,0.966225,0.654691,0.946652,0.965732,공식·팬클럽·팬덤·팬덤명
T2,0.903857,0.919424,0.000000,0.615155,0.657654,0.913381,0.978417,0.862768,0.925251,0.813712,콘서트·기사·무대·부산
T3,0.845118,0.911981,0.615155,0.000000,0.471576,0.862361,0.983282,0.769754,0.795869,0.861378,공연·데뷔·콘서트·투어
T4,0.892221,0.918237,0.657654,0.471576,0.000000,0.894234,0.964794,0.829425,0.916016,0.929585,보도·콘서트·공연·매체
T5,0.922360,0.946926,0.913381,0.862361,0.894234,0.000000,0.992543,0.836885,0.938634,0.919397,브랜드·모델·광고·앰버서더
T6,0.979970,0.966225,0.978417,0.983282,0.964794,0.992543,0.000000,0.990141,0.979514,0.990172,fan·tour·concert·sold
T7,0.865264,0.654691,0.862768,0.769754,0.829425,0.836885,0.990141,0.000000,0.882760,0.855111,유튜브·공식·홍보대사·2026년
T8,0.842429,0.946652,0.925251,0.795869,0.916016,0.938634,0.979514,0.882760,0.000000,0.933015,기록·1위·앨범·차트
T9,0.822854,0.965732,0.813712,0.861378,0.929585,0.919397,0.990172,0.855111,0.933015,0.000000,출연·예능·영화·mbc
