doc_id,fandom,bullet_type,idx_in_fandom_array,n_tokens
0,이영지,loyalty,0,11
1,이영지,loyalty,1,15
2,이영지,loyalty,2,15
3,이영지,loyalty,3,23
4,이영지,loyalty,4,18
5,이영지,loyalty,5,17
6,이영지,loyalty,6,14
7,이영지,loyalty,7,16
8,이영지,loyalty,8,10
9,이영지,loyalty,9,22
10,이영지,loyalty,10,4
11,이영지,loyalty,11,19
12,이영지,loyalty,12,13
13,이영지,loyalty,13,13
14,이영지,loyalty,14,11
15,이영지,loyalty,15,12
16,이영지,loyalty,16,19
17,이영지,loyalty,17,57
18,이영지,loyalty,18,12
19,이영지,loyalty,19,10
20,이영지,loyalty,20,12
21,이영지,loyalty,21,18
22,이영지,loyalty,22,8
23,이영지,loyalty,23,9
24,이영지,loyalty,24,9
25,이영지,loyalty,25,10
26,이영지,loyalty,26,10
27,이영지,loyalty,27,10
28,이영지,loyalty,28,9
29,이영지,loyalty,29,8
30,이영지,loyalty,30,9
31,이영지,loyalty,31,14
32,이영지,loyalty,32,20
33,이영지,loyalty,33,27
34,이영지,loyalty,34,10
35,이영지,loyalty,35,19
36,이영지,loyalty,36,21
37,이영지,loyalty,37,34
38,이영지,loyalty,38,34
39,이영지,spillover,0,8
40,이영지,spillover,1,13
41,이영지,spillover,2,8
42,이영지,spillover,3,16
43,이영지,spillover,4,20
44,이영지,spillover,5,13
45,이영지,spillover,6,11
46,이영지,spillover,7,16
47,이영지,spillover,8,16
48,이영지,spillover,9,15
49,이영지,spillover,10,6
50,이영지,spillover,11,17
51,이영지,spillover,12,13
52,이영지,spillover,13,14
53,이영지,spillover,14,16
54,이영지,spillover,15,12
55,이영지,spillover,16,9
56,이영지,spillover,17,7
57,이영지,spillover,18,9
58,이영지,spillover,19,8
59,이영지,spillover,20,9
60,이영지,spillover,21,7
61,이영지,spillover,22,6
62,이영지,spillover,23,12
63,이영지,spillover,24,9
64,이영지,spillover,25,20
65,이영지,spillover,26,7
66,이영지,spillover,27,9
67,이영지,spillover,28,13
68,이영지,spillover,29,26
69,이영지,spillover,30,14
70,이영지,spillover,31,20
71,이영지,spillover,32,22
72,이영지,spillover,33,5
73,이영지,spillover,34,6
74,이영지,spillover,35,6
75,이영지,spillover,36,11
76,이영지,spillover,37,10
77,이영지,spillover,38,24
78,이영지,spillover,39,14
79,이영지,spillover,40,16
80,이영지,spillover,41,17
81,이영지,spillover,42,14
82,이영지,spillover,43,14
83,이영지,spillover,44,12
84,이영지,spillover,45,14
85,이영지,spillover,46,6
86,이영지,spillover,47,12
87,이영지,spillover,48,14
88,이영지,spillover,49,11
89,이영지,spillover,50,10
90,이영지,spillover,51,11
91,이영지,spillover,52,22
92,이영지,spillover,53,21
93,이영지,spillover,54,14
94,이영지,spillover,55,17
95,이영지,spillover,56,12
96,이영지,spillover,57,12
97,이영지,spillover,58,11
98,이영지,spillover,59,9
99,이영지,spillover,60,10
100,이영지,spillover,61,14
101,이영지,spillover,62,9
102,이영지,spillover,63,8
103,이영지,spillover,64,35
104,이영지,spillover,65,29
105,이영지,spillover,66,44
106,이영지,spillover,67,13
107,지드래곤 (G-Dragon),loyalty,0,12
108,지드래곤 (G-Dragon),loyalty,1,10
109,지드래곤 (G-Dragon),loyalty,2,10
110,지드래곤 (G-Dragon),loyalty,3,13
111,지드래곤 (G-Dragon),loyalty,4,27
112,지드래곤 (G-Dragon),loyalty,5,10
113,지드래곤 (G-Dragon),loyalty,6,15
114,지드래곤 (G-Dragon),loyalty,7,18
115,지드래곤 (G-Dragon),loyalty,8,12
