topic,rank,word,phi,raw_weight
T0,1,수상,0.0150067,197.8890
T0,2,티켓,0.014932,196.9040
T0,3,만에,0.0135742,178.9991
T0,4,콘서트,0.0128535,169.4962
T0,5,판매,0.00967555,127.5890
T0,6,이상,0.00833537,109.9164
T0,7,매진,0.00796853,105.0790
T0,8,기록,0.0078788,103.8957
T0,9,부문,0.00728877,96.1151
T0,10,brand,0.0071616,94.4382
T0,11,오픈,0.00647778,85.4208
T0,12,ambassador,0.0062278,82.1245
T0,13,전석,0.00558681,73.6718
T0,14,올해,0.00472138,62.2596
T0,15,공연,0.00442538,58.3564
T0,16,단독,0.00434469,57.2923
T0,17,시상식,0.00423142,55.7987
T0,18,예매,0.00402214,53.0389
T0,19,동시,0.00400627,52.8297
T0,20,앨범,0.00396867,52.3338
T0,21,팬덤,0.00396467,52.2811
T0,22,2018년,0.00395069,52.0968
T0,23,데뷔,0.00389991,51.4271
T0,24,음반,0.00378174,49.8689
T0,25,규모,0.00371559,48.9965
T0,26,관객,0.00355345,46.8584
T0,27,2023년,0.00352274,46.4535
T0,28,대상,0.00348071,45.8992
T0,29,exo,0.00341441,45.0250
T0,30,매진되,0.00322446,42.5201
T0,31,2020년,0.00320674,42.2864
T0,32,어워즈,0.00319447,42.1247
T0,33,연속,0.00318083,41.9448
T0,34,일본,0.00312198,41.1688
T0,35,명이,0.00296034,39.0372
T0,36,베스트,0.00289113,38.1246
T0,37,신인상,0.00273948,36.1248
T0,38,달러,0.00273947,36.1246
T0,39,2015년,0.00271111,35.7508
T0,40,아티스트,0.00270378,35.6540
T0,41,최고,0.00257113,33.9048
T0,42,2016년,0.0025556,33.7000
T0,43,2024년,0.00247887,32.6883
T0,44,기준,0.00247598,32.6501
T0,45,그룹,0.00243432,32.1008
T0,46,3만,0.00233658,30.8119
T0,47,한국,0.00230643,30.4144
T0,48,국내,0.00230286,30.3673
T0,49,동원,0.0022812,30.0816
T0,50,2008년,0.00224536,29.6089
T1,1,ost,0.01905,291.1243
T1,2,fan,0.0165664,253.1691
T1,3,japan,0.0138666,211.9104
T1,4,sold,0.0138152,211.1248
T1,5,album,0.011983,183.1249
T1,6,million,0.0119175,182.1248
T1,7,music,0.0108112,165.2180
T1,8,group,0.0105332,160.9689
T1,9,official,0.0102184,156.1576
T1,10,chart,0.00962728,147.1249
T1,11,korea,0.00956181,146.1244
T1,12,debut,0.00936554,143.1248
