corpus,K,seed,sil_M4,sil_M5,sil_M6,sil_M7,sil_M8,best_M,best_sil,perplexity
live_10020,8,0,0.0781,0.076,0.0815,0.0538,,6,0.0815,3591.0
live_10020,8,1,0.1919,0.1751,0.1384,0.055,,4,0.1919,3482.6
live_10020,8,2,0.0693,0.1291,0.1248,0.0655,,5,0.1291,3569.5
live_10020,8,3,0.1087,0.1103,0.067,0.0333,,5,0.1103,3568.6
live_10020,8,4,0.1557,0.1021,0.0705,0.0273,,4,0.1557,3481.3
live_10020,8,5,0.0835,0.1031,0.0879,0.0506,,5,0.1031,3589.5
live_10020,8,6,0.047,0.0748,0.063,0.0351,,5,0.0748,3705.2
live_10020,8,7,0.1388,0.0961,0.0716,0.0574,,4,0.1388,3633.4
live_10020,8,8,0.1185,0.1015,0.123,0.0402,,6,0.123,3517.7
live_10020,8,9,0.0483,0.0728,0.0722,0.0334,,5,0.0728,3461.8
live_10020,10,0,0.0892,0.1115,0.0761,0.0657,0.0167,5,0.1115,3696.5
live_10020,10,1,0.0977,0.0924,0.1326,0.0814,0.0656,6,0.1326,3503.3
live_10020,10,2,0.0852,0.0804,0.0643,0.0912,0.0356,7,0.0912,3585.0
live_10020,10,3,0.0986,0.119,0.1398,0.1262,0.0906,6,0.1398,3559.9
live_10020,10,4,0.1419,0.1334,0.0938,0.0547,0.0344,4,0.1419,3512.8
live_10020,10,5,0.0664,0.0606,0.0822,0.1059,0.0738,7,0.1059,3501.9
live_10020,10,6,0.0828,0.0898,0.0955,0.0562,0.0338,6,0.0955,3770.2
live_10020,10,7,0.0767,0.0691,0.0822,0.0708,0.0568,6,0.0822,3633.6
live_10020,10,8,0.1181,0.173,0.1734,0.1196,0.0901,6,0.1734,3609.8
live_10020,10,9,0.085,0.0736,0.0754,0.073,0.0946,8,0.0946,3620.6
frozen_approx_7326,8,0,0.0691,0.0626,0.1358,0.0888,,6,0.1358,3122.8
frozen_approx_7326,8,1,0.0822,0.0759,0.0317,0.0202,,4,0.0822,2957.0
frozen_approx_7326,8,2,0.0459,0.0402,0.0269,0.0125,,4,0.0459,3071.7
frozen_approx_7326,8,3,0.1136,0.1049,0.0657,0.011,,4,0.1136,3112.0
frozen_approx_7326,8,4,0.0785,0.0578,0.1012,0.0548,,6,0.1012,3144.4
frozen_approx_7326,8,5,0.1255,0.1117,0.1388,0.0766,,6,0.1388,2972.4
frozen_approx_7326,8,6,0.0884,0.1266,0.0825,0.0555,,5,0.1266,3124.5
frozen_approx_7326,8,7,0.1542,0.0957,0.0633,0.0437,,4,0.1542,2996.1
frozen_approx_7326,8,8,0.1697,0.127,0.1035,0.0636,,4,0.1697,3074.6
frozen_approx_7326,8,9,0.0398,0.0538,0.0709,0.0518,,6,0.0709,3008.2
frozen_approx_7326,10,0,0.0749,0.07,0.1493,0.1377,0.0831,6,0.1493,3197.7
frozen_approx_7326,10,1,0.0851,0.0554,0.0769,0.0819,0.0654,4,0.0851,3038.8
frozen_approx_7326,10,2,0.0428,0.0779,0.079,0.0701,0.0546,6,0.079,3216.2
frozen_approx_7326,10,3,0.0915,0.1245,0.1617,0.1313,0.0981,6,0.1617,3143.2
frozen_approx_7326,10,4,0.1136,0.1257,0.0951,0.0623,0.0306,5,0.1257,3132.9
frozen_approx_7326,10,5,0.1268,0.1216,0.116,0.0969,0.1158,4,0.1268,3069.6
frozen_approx_7326,10,6,0.0862,0.0841,0.0762,0.0964,0.0737,7,0.0964,3158.7
frozen_approx_7326,10,7,0.1124,0.1002,0.0862,0.1063,0.0696,4,0.1124,3069.6
frozen_approx_7326,10,8,0.0563,0.0941,0.0868,0.0841,0.0542,5,0.0941,3061.8
frozen_approx_7326,10,9,0.1478,0.1364,0.1144,0.0927,0.049,4,0.1478,3098.1
