corpus,K,seed_a,seed_b,mean_jaccard_top10
live_10020,8,0,1,0.5165
live_10020,8,0,2,0.4972
live_10020,8,0,3,0.4123
live_10020,8,0,4,0.4395
live_10020,8,0,5,0.4482
live_10020,8,0,6,0.4157
live_10020,8,0,7,0.4229
live_10020,8,0,8,0.3802
live_10020,8,0,9,0.5091
live_10020,8,1,2,0.4815
live_10020,8,1,3,0.3957
live_10020,8,1,4,0.4903
live_10020,8,1,5,0.3631
live_10020,8,1,6,0.5316
live_10020,8,1,7,0.3098
live_10020,8,1,8,0.4203
live_10020,8,1,9,0.4794
live_10020,8,2,3,0.3983
live_10020,8,2,4,0.3819
live_10020,8,2,5,0.3927
live_10020,8,2,6,0.3918
live_10020,8,2,7,0.323
live_10020,8,2,8,0.3924
live_10020,8,2,9,0.4921
live_10020,8,3,4,0.28
live_10020,8,3,5,0.3648
live_10020,8,3,6,0.3747
live_10020,8,3,7,0.2279
live_10020,8,3,8,0.2973
live_10020,8,3,9,0.3954
live_10020,8,4,5,0.3651
live_10020,8,4,6,0.3271
live_10020,8,4,7,0.4294
live_10020,8,4,8,0.4046
live_10020,8,4,9,0.3894
live_10020,8,5,6,0.3294
live_10020,8,5,7,0.3199
live_10020,8,5,8,0.335
live_10020,8,5,9,0.4644
live_10020,8,6,7,0.2639
live_10020,8,6,8,0.4344
live_10020,8,6,9,0.4801
live_10020,8,7,8,0.3098
live_10020,8,7,9,0.3148
live_10020,8,8,9,0.422
live_10020,10,0,1,0.3569
live_10020,10,0,2,0.3726
live_10020,10,0,3,0.3812
live_10020,10,0,4,0.4025
live_10020,10,0,5,0.4174
live_10020,10,0,6,0.4028
live_10020,10,0,7,0.3578
live_10020,10,0,8,0.3266
live_10020,10,0,9,0.3666
live_10020,10,1,2,0.5136
live_10020,10,1,3,0.4887
live_10020,10,1,4,0.4045
live_10020,10,1,5,0.488
live_10020,10,1,6,0.3977
live_10020,10,1,7,0.4273
live_10020,10,1,8,0.3358
live_10020,10,1,9,0.5061
live_10020,10,2,3,0.4004
live_10020,10,2,4,0.4015
live_10020,10,2,5,0.4598
live_10020,10,2,6,0.3395
live_10020,10,2,7,0.3701
live_10020,10,2,8,0.3446
live_10020,10,2,9,0.5171
live_10020,10,3,4,0.383
live_10020,10,3,5,0.4833
live_10020,10,3,6,0.3929
live_10020,10,3,7,0.3927
live_10020,10,3,8,0.3232
live_10020,10,3,9,0.4735
live_10020,10,4,5,0.4179
live_10020,10,4,6,0.4213
live_10020,10,4,7,0.3699
live_10020,10,4,8,0.4005
live_10020,10,4,9,0.4354
live_10020,10,5,6,0.3907
live_10020,10,5,7,0.4081
live_10020,10,5,8,0.3416
live_10020,10,5,9,0.5242
live_10020,10,6,7,0.3332
live_10020,10,6,8,0.3399
live_10020,10,6,9,0.3852
live_10020,10,7,8,0.366
live_10020,10,7,9,0.3569
live_10020,10,8,9,0.3486
frozen_approx_7326,8,0,1,0.4448
frozen_approx_7326,8,0,2,0.4493
frozen_approx_7326,8,0,3,0.4012
frozen_approx_7326,8,0,4,0.4078
frozen_approx_7326,8,0,5,0.3307
frozen_approx_7326,8,0,6,0.455
frozen_approx_7326,8,0,7,0.3423
frozen_approx_7326,8,0,8,0.4267
frozen_approx_7326,8,0,9,0.4386
frozen_approx_7326,8,1,2,0.4781
frozen_approx_7326,8,1,3,0.4293
frozen_approx_7326,8,1,4,0.3644
frozen_approx_7326,8,1,5,0.3558
frozen_approx_7326,8,1,6,0.4168
frozen_approx_7326,8,1,7,0.4245
frozen_approx_7326,8,1,8,0.3901
frozen_approx_7326,8,1,9,0.5016
frozen_approx_7326,8,2,3,0.4404
frozen_approx_7326,8,2,4,0.4461
frozen_approx_7326,8,2,5,0.3436
frozen_approx_7326,8,2,6,0.4143
frozen_approx_7326,8,2,7,0.3863
frozen_approx_7326,8,2,8,0.3881
frozen_approx_7326,8,2,9,0.5263
frozen_approx_7326,8,3,4,0.3925
frozen_approx_7326,8,3,5,0.3313
frozen_approx_7326,8,3,6,0.4988
frozen_approx_7326,8,3,7,0.3717
frozen_approx_7326,8,3,8,0.3857
frozen_approx_7326,8,3,9,0.478
frozen_approx_7326,8,4,5,0.3204
frozen_approx_7326,8,4,6,0.433
frozen_approx_7326,8,4,7,0.339
frozen_approx_7326,8,4,8,0.3223
frozen_approx_7326,8,4,9,0.4086
frozen_approx_7326,8,5,6,0.3586
frozen_approx_7326,8,5,7,0.4109
frozen_approx_7326,8,5,8,0.3529
frozen_approx_7326,8,5,9,0.3804
frozen_approx_7326,8,6,7,0.3632
frozen_approx_7326,8,6,8,0.4026
frozen_approx_7326,8,6,9,0.4477
frozen_approx_7326,8,7,8,0.3457
frozen_approx_7326,8,7,9,0.3933
frozen_approx_7326,8,8,9,0.4116
frozen_approx_7326,10,0,1,0.4601
frozen_approx_7326,10,0,2,0.3972
frozen_approx_7326,10,0,3,0.4388
frozen_approx_7326,10,0,4,0.3604
frozen_approx_7326,10,0,5,0.3487
frozen_approx_7326,10,0,6,0.3558
frozen_approx_7326,10,0,7,0.4057
frozen_approx_7326,10,0,8,0.485
frozen_approx_7326,10,0,9,0.331
frozen_approx_7326,10,1,2,0.4177
frozen_approx_7326,10,1,3,0.3994
frozen_approx_7326,10,1,4,0.3967
frozen_approx_7326,10,1,5,0.4044
frozen_approx_7326,10,1,6,0.4171
frozen_approx_7326,10,1,7,0.4691
frozen_approx_7326,10,1,8,0.4685
frozen_approx_7326,10,1,9,0.4055
frozen_approx_7326,10,2,3,0.3541
frozen_approx_7326,10,2,4,0.3931
frozen_approx_7326,10,2,5,0.3788
frozen_approx_7326,10,2,6,0.4333
frozen_approx_7326,10,2,7,0.4167
frozen_approx_7326,10,2,8,0.4383
frozen_approx_7326,10,2,9,0.3633
frozen_approx_7326,10,3,4,0.3569
frozen_approx_7326,10,3,5,0.3557
frozen_approx_7326,10,3,6,0.3904
frozen_approx_7326,10,3,7,0.3421
frozen_approx_7326,10,3,8,0.4222
frozen_approx_7326,10,3,9,0.345
frozen_approx_7326,10,4,5,0.3591
frozen_approx_7326,10,4,6,0.3328
frozen_approx_7326,10,4,7,0.4114
frozen_approx_7326,10,4,8,0.4239
frozen_approx_7326,10,4,9,0.4199
frozen_approx_7326,10,5,6,0.4716
frozen_approx_7326,10,5,7,0.412
frozen_approx_7326,10,5,8,0.364
frozen_approx_7326,10,5,9,0.3978
frozen_approx_7326,10,6,7,0.425
frozen_approx_7326,10,6,8,0.4193
frozen_approx_7326,10,6,9,0.4155
frozen_approx_7326,10,7,8,0.4372
frozen_approx_7326,10,7,9,0.3495
frozen_approx_7326,10,8,9,0.3873
