corpus,K,seed,sil_M4,sil_M5,sil_M6,sil_M7,sil_M8,best_M,best_sil,perplexity
r73_tws_ko_10020,8,0,0.0854,0.0916,0.0799,0.0532,,5,0.0916,3486.4
r73_tws_ko_10020,8,1,0.0757,0.1053,0.0702,0.05,,5,0.1053,3453.7
r73_tws_ko_10020,8,2,0.0511,0.0488,0.0484,0.0323,,4,0.0511,3459.1
r73_tws_ko_10020,8,3,0.0351,0.0237,0.0283,0.0298,,4,0.0351,3406.5
r73_tws_ko_10020,8,4,0.0614,0.0715,0.0499,0.0337,,5,0.0715,3520.6
r73_tws_ko_10020,8,5,0.0687,0.0968,0.0795,0.0697,,5,0.0968,3518.1
r73_tws_ko_10020,8,6,0.0766,0.0647,0.0879,0.042,,6,0.0879,3641.0
r73_tws_ko_10020,8,7,0.0608,0.048,0.0348,0.0288,,4,0.0608,3563.5
r73_tws_ko_10020,8,8,0.1473,0.1381,0.1039,0.0629,,4,0.1473,3570.1
r73_tws_ko_10020,8,9,0.117,0.0913,0.0868,0.0513,,4,0.117,3653.1
