corpus,K,seed_a,seed_b,mean_jaccard_top10
r73_tws_ko_10020,8,0,1,0.433
r73_tws_ko_10020,8,0,2,0.3954
r73_tws_ko_10020,8,0,3,0.4751
r73_tws_ko_10020,8,0,4,0.4253
r73_tws_ko_10020,8,0,5,0.3794
r73_tws_ko_10020,8,0,6,0.4054
r73_tws_ko_10020,8,0,7,0.4659
r73_tws_ko_10020,8,0,8,0.4024
r73_tws_ko_10020,8,0,9,0.3456
r73_tws_ko_10020,8,1,2,0.5236
r73_tws_ko_10020,8,1,3,0.4497
r73_tws_ko_10020,8,1,4,0.4882
r73_tws_ko_10020,8,1,5,0.5175
r73_tws_ko_10020,8,1,6,0.4361
r73_tws_ko_10020,8,1,7,0.4227
r73_tws_ko_10020,8,1,8,0.5286
r73_tws_ko_10020,8,1,9,0.44
r73_tws_ko_10020,8,2,3,0.4882
r73_tws_ko_10020,8,2,4,0.4039
r73_tws_ko_10020,8,2,5,0.4916
r73_tws_ko_10020,8,2,6,0.4156
r73_tws_ko_10020,8,2,7,0.5631
r73_tws_ko_10020,8,2,8,0.5286
r73_tws_ko_10020,8,2,9,0.5442
r73_tws_ko_10020,8,3,4,0.4378
r73_tws_ko_10020,8,3,5,0.417
r73_tws_ko_10020,8,3,6,0.4334
r73_tws_ko_10020,8,3,7,0.4126
r73_tws_ko_10020,8,3,8,0.4397
r73_tws_ko_10020,8,3,9,0.4012
r73_tws_ko_10020,8,4,5,0.4259
r73_tws_ko_10020,8,4,6,0.3076
r73_tws_ko_10020,8,4,7,0.3397
r73_tws_ko_10020,8,4,8,0.4211
r73_tws_ko_10020,8,4,9,0.3946
r73_tws_ko_10020,8,5,6,0.4052
r73_tws_ko_10020,8,5,7,0.4028
r73_tws_ko_10020,8,5,8,0.422
r73_tws_ko_10020,8,5,9,0.4224
r73_tws_ko_10020,8,6,7,0.3689
r73_tws_ko_10020,8,6,8,0.4382
r73_tws_ko_10020,8,6,9,0.3372
r73_tws_ko_10020,8,7,8,0.4415
r73_tws_ko_10020,8,7,9,0.4264
r73_tws_ko_10020,8,8,9,0.3916
