pair,method,src_model,src_topic,src_auto_label,src_human_label,nearest_topic,nearest_score,nearest_overlap10,hungarian_topic,hungarian_score,hungarian_overlap10,tgt_auto_label,same_as_nearest
A_frozen_snapshot_k10→B_live_k10,jaccard_top10,A_frozen_snapshot_k10,0,기록·1위·발매·차트형,음원차트기록형(기록·1위·차트·최초),6,0.6667,8,6,0.6667,8,기록·1위·발매·앨범형,True
A_frozen_snapshot_k10→B_live_k10,jaccard_top10,A_frozen_snapshot_k10,1,무대·2026년·보도·8월형,동남아현지보도형(보도·매체·인도네시아·기사),3,0.3333,5,3,0.3333,5,일본·보도·공연·매체형,True
A_frozen_snapshot_k10→B_live_k10,jaccard_top10,A_frozen_snapshot_k10,2,출연·예능·mbc·sbs형,예능방송출연형(예능·출연·mbc·sbs),5,0.3333,5,5,0.3333,5,출연·예능·무대·함께형,True
A_frozen_snapshot_k10→B_live_k10,jaccard_top10,A_frozen_snapshot_k10,3,앨범·1위·판매·이상형,일본오리콘앨범형(일본·빌보드·오리콘·판매),6,0.4286,6,2,0.1111,2,일본·함께·아랍어·출연형,False
A_frozen_snapshot_k10→B_live_k10,jaccard_top10,A_frozen_snapshot_k10,4,million·album·japan·chart형,글로벌음반판매형(million·album·copies·chart),8,0.3333,5,8,0.3333,5,fan·tour·concert·japan형,True
A_frozen_snapshot_k10→B_live_k10,jaccard_top10,A_frozen_snapshot_k10,5,공식·팬클럽·유튜브·채널형,팬클럽공식기부형(공식·팬클럽·기부·콘텐츠),1,0.1765,3,9,0.1765,3,보도·공식·태국·매체형,False
A_frozen_snapshot_k10→B_live_k10,jaccard_top10,A_frozen_snapshot_k10,6,콘서트·공연·보도·투어형,단독콘서트월드투어형(콘서트·투어·단독·월드투어),3,0.3333,5,4,0.25,4,콘서트·2026년·공연·데뷔형,False
A_frozen_snapshot_k10→B_live_k10,jaccard_top10,A_frozen_snapshot_k10,7,브랜드·모델·광고·앰버서더형,브랜드앰버서더형(브랜드·광고·앰버서더·매진),7,0.4286,6,7,0.4286,6,브랜드·광고·모델·앰버서더형,True
A_frozen_snapshot_k10→B_live_k10,jaccard_top10,A_frozen_snapshot_k10,8,tour·concert·fan·sold형,월드투어매진형(tour·concert·sold·world),8,0.25,4,0,0.0,0,수상·부문·올해·박서진형,False
A_frozen_snapshot_k10→B_live_k10,jaccard_top10,A_frozen_snapshot_k10,9,드라마·ost·출연·예능형,영화드라마출연형(드라마·ost·영화·출연),1,0.25,4,1,0.25,4,드라마·ost·유튜브·채널형,True
A_frozen_snapshot_k10→C_frozen_refit_k10,jaccard_top10,A_frozen_snapshot_k10,0,기록·1위·발매·차트형,음원차트기록형(기록·1위·차트·최초),8,0.6667,8,8,0.6667,8,기록·1위·앨범·차트형,True
A_frozen_snapshot_k10→C_frozen_refit_k10,jaccard_top10,A_frozen_snapshot_k10,1,무대·2026년·보도·8월형,동남아현지보도형(보도·매체·인도네시아·기사),2,0.25,4,2,0.25,4,콘서트·기사·무대·부산형,True
A_frozen_snapshot_k10→C_frozen_refit_k10,jaccard_top10,A_frozen_snapshot_k10,2,출연·예능·mbc·sbs형,예능방송출연형(예능·출연·mbc·sbs),9,0.3333,5,9,0.3333,5,출연·예능·영화·mbc형,True
A_frozen_snapshot_k10→C_frozen_refit_k10,jaccard_top10,A_frozen_snapshot_k10,3,앨범·1위·판매·이상형,일본오리콘앨범형(일본·빌보드·오리콘·판매),8,0.3333,5,3,0.1111,2,공연·데뷔·콘서트·투어형,False
A_frozen_snapshot_k10→C_frozen_refit_k10,jaccard_top10,A_frozen_snapshot_k10,4,million·album·japan·chart형,글로벌음반판매형(million·album·copies·chart),6,0.4286,6,6,0.4286,6,fan·tour·concert·sold형,True
A_frozen_snapshot_k10→C_frozen_refit_k10,jaccard_top10,A_frozen_snapshot_k10,5,공식·팬클럽·유튜브·채널형,팬클럽공식기부형(공식·팬클럽·기부·콘텐츠),7,0.4286,6,7,0.4286,6,유튜브·공식·홍보대사·2026년형,True
A_frozen_snapshot_k10→C_frozen_refit_k10,jaccard_top10,A_frozen_snapshot_k10,6,콘서트·공연·보도·투어형,단독콘서트월드투어형(콘서트·투어·단독·월드투어),3,0.3333,5,4,0.3333,5,보도·콘서트·공연·매체형,False
A_frozen_snapshot_k10→C_frozen_refit_k10,jaccard_top10,A_frozen_snapshot_k10,7,브랜드·모델·광고·앰버서더형,브랜드앰버서더형(브랜드·광고·앰버서더·매진),5,0.5385,7,5,0.5385,7,브랜드·모델·광고·앰버서더형,True
A_frozen_snapshot_k10→C_frozen_refit_k10,jaccard_top10,A_frozen_snapshot_k10,8,tour·concert·fan·sold형,월드투어매진형(tour·concert·sold·world),6,0.25,4,1,0.0,0,공식·팬클럽·팬덤·팬덤명형,False
A_frozen_snapshot_k10→C_frozen_refit_k10,jaccard_top10,A_frozen_snapshot_k10,9,드라마·ost·출연·예능형,영화드라마출연형(드라마·ost·영화·출연),9,0.4286,6,0,0.1765,3,ost·드라마·참여·화제형,False
A_frozen_snapshot_k10→D_live_reference_k8,jaccard_top10,A_frozen_snapshot_k10,0,기록·1위·발매·차트형,음원차트기록형(기록·1위·차트·최초),1,0.8182,9,1,0.8182,9,기록·1위·앨범·발매형,True
A_frozen_snapshot_k10→D_live_reference_k8,jaccard_top10,A_frozen_snapshot_k10,1,무대·2026년·보도·8월형,동남아현지보도형(보도·매체·인도네시아·기사),2,0.1765,3,4,0.1765,3,무대·2026년·함께·축제형,False
A_frozen_snapshot_k10→D_live_reference_k8,jaccard_top10,A_frozen_snapshot_k10,2,출연·예능·mbc·sbs형,예능방송출연형(예능·출연·mbc·sbs),5,0.1765,3,5,0.1765,3,출연·데뷔·예능·일본형,True
A_frozen_snapshot_k10→D_live_reference_k8,jaccard_top10,A_frozen_snapshot_k10,3,앨범·1위·판매·이상형,일본오리콘앨범형(일본·빌보드·오리콘·판매),1,0.3333,5,,,,,
A_frozen_snapshot_k10→D_live_reference_k8,jaccard_top10,A_frozen_snapshot_k10,4,million·album·japan·chart형,글로벌음반판매형(million·album·copies·chart),3,0.3333,5,3,0.3333,5,fan·japan·tour·concert형,True
A_frozen_snapshot_k10→D_live_reference_k8,jaccard_top10,A_frozen_snapshot_k10,5,공식·팬클럽·유튜브·채널형,팬클럽공식기부형(공식·팬클럽·기부·콘텐츠),6,0.25,4,6,0.25,4,공식·팬클럽·활동·중국형,True
A_frozen_snapshot_k10→D_live_reference_k8,jaccard_top10,A_frozen_snapshot_k10,6,콘서트·공연·보도·투어형,단독콘서트월드투어형(콘서트·투어·단독·월드투어),2,0.4286,6,2,0.4286,6,콘서트·공연·보도·단독형,True
A_frozen_snapshot_k10→D_live_reference_k8,jaccard_top10,A_frozen_snapshot_k10,7,브랜드·모델·광고·앰버서더형,브랜드앰버서더형(브랜드·광고·앰버서더·매진),0,0.5385,7,0,0.5385,7,브랜드·광고·모델·앰버서더형,True
A_frozen_snapshot_k10→D_live_reference_k8,jaccard_top10,A_frozen_snapshot_k10,8,tour·concert·fan·sold형,월드투어매진형(tour·concert·sold·world),3,0.25,4,,,,,
A_frozen_snapshot_k10→D_live_reference_k8,jaccard_top10,A_frozen_snapshot_k10,9,드라마·ost·출연·예능형,영화드라마출연형(드라마·ost·영화·출연),7,0.25,4,7,0.25,4,ost·드라마·기부·수상형,True
B_live_k10→C_frozen_refit_k10,jaccard_top10,B_live_k10,0,수상·부문·올해·박서진형,,1,0.0526,1,7,0.0526,1,유튜브·공식·홍보대사·2026년형,False
B_live_k10→C_frozen_refit_k10,jaccard_top10,B_live_k10,1,드라마·ost·유튜브·채널형,,0,0.1765,3,0,0.1765,3,ost·드라마·참여·화제형,True
B_live_k10→C_frozen_refit_k10,jaccard_top10,B_live_k10,2,일본·함께·아랍어·출연형,,2,0.1765,3,2,0.1765,3,콘서트·기사·무대·부산형,True
B_live_k10→C_frozen_refit_k10,jaccard_top10,B_live_k10,3,일본·보도·공연·매체형,,4,0.3333,5,4,0.3333,5,보도·콘서트·공연·매체형,True
B_live_k10→C_frozen_refit_k10,jaccard_top10,B_live_k10,4,콘서트·2026년·공연·데뷔형,,3,0.3333,5,3,0.3333,5,공연·데뷔·콘서트·투어형,True
B_live_k10→C_frozen_refit_k10,jaccard_top10,B_live_k10,5,출연·예능·무대·함께형,,9,0.3333,5,9,0.3333,5,출연·예능·영화·mbc형,True
B_live_k10→C_frozen_refit_k10,jaccard_top10,B_live_k10,6,기록·1위·발매·앨범형,,8,0.8182,9,8,0.8182,9,기록·1위·앨범·차트형,True
B_live_k10→C_frozen_refit_k10,jaccard_top10,B_live_k10,7,브랜드·광고·모델·앰버서더형,,5,0.6667,8,5,0.6667,8,브랜드·모델·광고·앰버서더형,True
B_live_k10→C_frozen_refit_k10,jaccard_top10,B_live_k10,8,fan·tour·concert·japan형,,6,0.8182,9,6,0.8182,9,fan·tour·concert·sold형,True
B_live_k10→C_frozen_refit_k10,jaccard_top10,B_live_k10,9,보도·공식·태국·매체형,,4,0.3333,5,1,0.1765,3,공식·팬클럽·팬덤·팬덤명형,False
B_live_k10→C_frozen_refit_k10,phi_cosine,B_live_k10,0,수상·부문·올해·박서진형,,8,0.2389,0,7,0.1899,1,유튜브·공식·홍보대사·2026년형,False
B_live_k10→C_frozen_refit_k10,phi_cosine,B_live_k10,1,드라마·ost·유튜브·채널형,,0,0.6404,3,0,0.6404,3,ost·드라마·참여·화제형,True
B_live_k10→C_frozen_refit_k10,phi_cosine,B_live_k10,2,일본·함께·아랍어·출연형,,3,0.4304,2,2,0.2995,3,콘서트·기사·무대·부산형,False
B_live_k10→C_frozen_refit_k10,phi_cosine,B_live_k10,3,일본·보도·공연·매체형,,4,0.7663,5,4,0.7663,5,보도·콘서트·공연·매체형,True
B_live_k10→C_frozen_refit_k10,phi_cosine,B_live_k10,4,콘서트·2026년·공연·데뷔형,,3,0.7328,5,3,0.7328,5,공연·데뷔·콘서트·투어형,True
B_live_k10→C_frozen_refit_k10,phi_cosine,B_live_k10,5,출연·예능·무대·함께형,,9,0.7586,5,9,0.7586,5,출연·예능·영화·mbc형,True
B_live_k10→C_frozen_refit_k10,phi_cosine,B_live_k10,6,기록·1위·발매·앨범형,,8,0.9612,9,8,0.9612,9,기록·1위·앨범·차트형,True
B_live_k10→C_frozen_refit_k10,phi_cosine,B_live_k10,7,브랜드·광고·모델·앰버서더형,,5,0.917,8,5,0.917,8,브랜드·모델·광고·앰버서더형,True
B_live_k10→C_frozen_refit_k10,phi_cosine,B_live_k10,8,fan·tour·concert·japan형,,6,0.9553,9,6,0.9553,9,fan·tour·concert·sold형,True
B_live_k10→C_frozen_refit_k10,phi_cosine,B_live_k10,9,보도·공식·태국·매체형,,4,0.6296,5,1,0.4732,3,공식·팬클럽·팬덤·팬덤명형,False
D_live_reference_k8→E_live_k8,jaccard_top10,D_live_reference_k8,0,브랜드·광고·모델·앰버서더형,,7,0.5385,7,7,0.5385,7,브랜드·광고·모델·앰버서더형,True
D_live_reference_k8→E_live_k8,jaccard_top10,D_live_reference_k8,1,기록·1위·앨범·발매형,,6,0.5385,7,6,0.5385,7,1위·기록·앨범·차트형,True
D_live_reference_k8→E_live_k8,jaccard_top10,D_live_reference_k8,2,콘서트·공연·보도·단독형,,3,0.25,4,3,0.25,4,보도·매체·공연·일본형,True
D_live_reference_k8→E_live_k8,jaccard_top10,D_live_reference_k8,3,fan·japan·tour·concert형,,1,0.6667,8,1,0.6667,8,ost·fan·japan·sold형,True
D_live_reference_k8→E_live_k8,jaccard_top10,D_live_reference_k8,4,무대·2026년·함께·축제형,,5,0.1765,3,5,0.1765,3,출연·예능·무대·에서형,True
D_live_reference_k8→E_live_k8,jaccard_top10,D_live_reference_k8,5,출연·데뷔·예능·일본형,,5,0.3333,5,2,0.25,4,일본·보도·데뷔·최초형,False
D_live_reference_k8→E_live_k8,jaccard_top10,D_live_reference_k8,6,공식·팬클럽·활동·중국형,,4,0.1765,3,4,0.1765,3,콘서트·2025년·공식·팬클럽형,True
D_live_reference_k8→E_live_k8,jaccard_top10,D_live_reference_k8,7,ost·드라마·기부·수상형,,0,0.1111,2,0,0.1111,2,수상·티켓·만에·콘서트형,True
B_live_k10→E_live_k8,jaccard_top10,B_live_k10,0,수상·부문·올해·박서진형,,0,0.1111,2,0,0.1111,2,수상·티켓·만에·콘서트형,True
B_live_k10→E_live_k8,jaccard_top10,B_live_k10,1,드라마·ost·유튜브·채널형,,5,0.1111,2,,,,,
B_live_k10→E_live_k8,jaccard_top10,B_live_k10,2,일본·함께·아랍어·출연형,,2,0.3333,5,2,0.3333,5,일본·보도·데뷔·최초형,True
B_live_k10→E_live_k8,jaccard_top10,B_live_k10,3,일본·보도·공연·매체형,,3,0.6667,8,3,0.6667,8,보도·매체·공연·일본형,True
B_live_k10→E_live_k8,jaccard_top10,B_live_k10,4,콘서트·2026년·공연·데뷔형,,4,0.6667,8,4,0.6667,8,콘서트·2025년·공식·팬클럽형,True
B_live_k10→E_live_k8,jaccard_top10,B_live_k10,5,출연·예능·무대·함께형,,5,0.8182,9,5,0.8182,9,출연·예능·무대·에서형,True
B_live_k10→E_live_k8,jaccard_top10,B_live_k10,6,기록·1위·발매·앨범형,,6,0.5385,7,6,0.5385,7,1위·기록·앨범·차트형,True
B_live_k10→E_live_k8,jaccard_top10,B_live_k10,7,브랜드·광고·모델·앰버서더형,,7,0.8182,9,7,0.8182,9,브랜드·광고·모델·앰버서더형,True
B_live_k10→E_live_k8,jaccard_top10,B_live_k10,8,fan·tour·concert·japan형,,1,0.6667,8,1,0.6667,8,ost·fan·japan·sold형,True
B_live_k10→E_live_k8,jaccard_top10,B_live_k10,9,보도·공식·태국·매체형,,3,0.3333,5,,,,,
B_live_k10→E_live_k8,phi_cosine,B_live_k10,0,수상·부문·올해·박서진형,,0,0.5489,2,0,0.5489,2,수상·티켓·만에·콘서트형,True
B_live_k10→E_live_k8,phi_cosine,B_live_k10,1,드라마·ost·유튜브·채널형,,5,0.4344,2,,,,,
B_live_k10→E_live_k8,phi_cosine,B_live_k10,2,일본·함께·아랍어·출연형,,2,0.8322,5,2,0.8322,5,일본·보도·데뷔·최초형,True
B_live_k10→E_live_k8,phi_cosine,B_live_k10,3,일본·보도·공연·매체형,,3,0.934,8,3,0.934,8,보도·매체·공연·일본형,True
B_live_k10→E_live_k8,phi_cosine,B_live_k10,4,콘서트·2026년·공연·데뷔형,,4,0.9211,8,4,0.9211,8,콘서트·2025년·공식·팬클럽형,True
B_live_k10→E_live_k8,phi_cosine,B_live_k10,5,출연·예능·무대·함께형,,5,0.9198,9,5,0.9198,9,출연·예능·무대·에서형,True
B_live_k10→E_live_k8,phi_cosine,B_live_k10,6,기록·1위·발매·앨범형,,6,0.8929,7,6,0.8929,7,1위·기록·앨범·차트형,True
B_live_k10→E_live_k8,phi_cosine,B_live_k10,7,브랜드·광고·모델·앰버서더형,,7,0.9604,9,7,0.9604,9,브랜드·광고·모델·앰버서더형,True
B_live_k10→E_live_k8,phi_cosine,B_live_k10,8,fan·tour·concert·japan형,,1,0.7852,8,1,0.7852,8,ost·fan·japan·sold형,True
B_live_k10→E_live_k8,phi_cosine,B_live_k10,9,보도·공식·태국·매체형,,3,0.6616,5,,,,,
