topic,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,label
T0,0.000000,0.882834,0.796812,0.890169,0.846191,0.845293,0.842567,0.890255,0.980587,0.884994,T0(수상·부문·올해·박서진)
T1,0.882834,0.000000,0.813262,0.932014,0.889485,0.791355,0.909421,0.883708,0.986611,0.881661,T1(드라마·ost·유튜브·채널)
T2,0.796812,0.813262,0.000000,0.641252,0.682497,0.638406,0.831955,0.749305,0.974474,0.808649,T2(일본·함께·아랍어·출연)
T3,0.890169,0.932014,0.641252,0.000000,0.621060,0.849896,0.908187,0.910684,0.954653,0.543811,T3(일본·보도·공연·매체)
T4,0.846191,0.889485,0.682497,0.621060,0.000000,0.792219,0.841413,0.834656,0.989526,0.769943,T4(콘서트·2026년·공연·데뷔)
T5,0.845293,0.791355,0.638406,0.849896,0.792219,0.000000,0.926903,0.814262,0.991351,0.902902,T5(출연·예능·무대·함께)
T6,0.842567,0.909421,0.831955,0.908187,0.841413,0.926903,0.000000,0.926571,0.985095,0.946912,T6(기록·1위·발매·앨범)
T7,0.890255,0.883708,0.749305,0.910684,0.834656,0.814262,0.926571,0.000000,0.992416,0.904685,T7(브랜드·광고·모델·앰버서더)
T8,0.980587,0.986611,0.974474,0.954653,0.989526,0.991351,0.985095,0.992416,0.000000,0.979860,T8(fan·tour·concert·japan)
T9,0.884994,0.881661,0.808649,0.543811,0.769943,0.902902,0.946912,0.904685,0.979860,0.000000,T9(보도·공식·태국·매체)
