index,fandom,bullet_type,idx,text,hint_terms_found,"검수(Y=해당 지표에 잡혔어야 함, N=아님)",사유·놓친 표현,검수자
ad,(여자)아이들,loyalty,31,(여자)아이들의 네 번째 월드투어 'Syncopation' 마카오 공연 추가 회차는 2026년 예매 시작 직후 매진됐다.,,N,,"모델 판독(Claude, 2026-09-23) — 사람 검수 아님"
ad,프로미스나인,loyalty,22,프로미스나인의 플레디스 계약 종료(결별) 소식이 YesAsia.ru에 보도됨,,N,,"모델 판독(Claude, 2026-09-23) — 사람 검수 아님"
ad,임영웅,spillover,32,"임영웅, SBS와 손잡고 예능 복귀…컴백 효과 극대화 노리는 전략 보도",,N,,"모델 판독(Claude, 2026-09-23) — 사람 검수 아님"
ad,BTS,loyalty,57,월드투어 'ARIRANG'으로 브라질에서 3회 공연을 개최하며 티켓 판매 소식이 브라질 매체에 대대적으로 보도됨,,N,,"모델 판독(Claude, 2026-09-23) — 사람 검수 아님"
ad,박서진,loyalty,5,"산불 기부로 닻별의 누적 기부액은 1억 2,800만 원을 기록하며 '착한팬클럽 골드' 등급을 재확인했다.",,N,,"모델 판독(Claude, 2026-09-23) — 사람 검수 아님"
ad,Hearts2Hearts,spillover,8,2025년 각종 시상식에서 신인상을 7회 수상했다.,,N,,"모델 판독(Claude, 2026-09-23) — 사람 검수 아님"
ad,ITZY,spillover,65,멕시코 매체 Bitácora CDMX가 있지가 2024년 4월 15일 멕시코시티 페시 센터 WTC에서 'BORN TO BE' 월드투어 공연을 연다고 보도했다.,,N,,"모델 판독(Claude, 2026-09-23) — 사람 검수 아님"
ad,동방신기,spillover,50,"스페인 기반 케이팝 블로그 '바나나(BA NA NA)'가 동방신기의 컴백곡 'Love Line' 뮤직비디오를 리뷰하며, SM엔터테인먼트가 영상 속 세계지도에서 일본이 누락된 사실이 팬들에게 발견된 뒤 영상을 일시적으로 내렸다고 전했다.",,N,,"모델 판독(Claude, 2026-09-23) — 사람 검수 아님"
ad,마마무,spillover,9,"MAMAMOO announced their 2026 ""4WARD"" world tour — 13 stops including Seoul (June 19-21), marking their first group comeback/tour in about 4 years, tied to their 12th debut anniversary.",,N,,"모델 판독(Claude, 2026-09-23) — 사람 검수 아님"
ad,NewJeans,loyalty,16,"ADOR extended all Bunnies fan club memberships by 365 days automatically on March 25, 2026, framed as ""appreciation for continued support"" amid ongoing legal disputes involving member Danielle - fan reaction was mixed, with many demanding clarity on her status",,N,,"모델 판독(Claude, 2026-09-23) — 사람 검수 아님"
ad,빅마마,loyalty,27,멤버 이영현·신연아·이지영·박민혜는 2021년 6월 디지털 싱글로 9년 만에 완전체로 재결합했다.,,N,,"모델 판독(Claude, 2026-09-23) — 사람 검수 아님"
ad,GOT7,spillover,25,"진영은 2019년 tvN 드라마 'He Is Psychometric'으로 첫 주연을 맡은 이후 'Yumi's Cells', 'The Witch', 'Our Unwritten Seoul' 등 다수의 드라마에서 연이어 주연을 맡으며 배우로서 입지를 다졌다.",,N,,"모델 판독(Claude, 2026-09-23) — 사람 검수 아님"
ad,10CM,loyalty,2,2020년 진행한 온라인 단독 공연 'Hotel room 1010'은 국내 비아이돌 아티스트 최초의 유료 온라인 콘서트로 기록되며 팬들의 결제 의향을 입증했다.,,N,,"모델 판독(Claude, 2026-09-23) — 사람 검수 아님"
ad,Stray Kids,spillover,61,"La revista TIME eligió el tema ""Back Door"" como una de las mejores canciones de 2020, posicionándolos como una de las bandas más prometedores de la década.",,N,,"모델 판독(Claude, 2026-09-23) — 사람 검수 아님"
ad,10CM,loyalty,10,2013년 2월 23일 인디밴드 최초로 서울 올림픽공원 체조경기장에서 단독 공연을 열었다,,N,,"모델 판독(Claude, 2026-09-23) — 사람 검수 아님"
ad,잭스키스,spillover,6,"Documentary ""Sechskies Eighteen"" (2018) ranked #1 in Korean seat sales for February 2018, selling 91.4% of available seats and topping 50,000 tickets sold by March 2018.",,N,,"모델 판독(Claude, 2026-09-23) — 사람 검수 아님"
ad,잔나비,spillover,42,"잔나비는 2024년 8월 31일~9월 1일, 9월 7~8일 서울 잠실실내체육관에서 데뷔 10주년 기념 콘서트 '판타스틱 올드 패션드 2024: 무비 스타 라이징'을 60~70년대 흑백영화 콘셉트의 3시간 공연으로 총 4회 열었고, 관객 전원이 일어나 열광적으로 호응했다고 보도됐다.",,N,,"모델 판독(Claude, 2026-09-23) — 사람 검수 아님"
ad,카더가든,spillover,25,"넷플릭스 <모태솔로지만 연애는 하고 싶어>, 쿠팡플레이 <직장인들>... 어느덧 카더가든은 예능 신성으로 부상했다. 섭외 경쟁이 치열할 수밖에 없는 이유다",,N,,"모델 판독(Claude, 2026-09-23) — 사람 검수 아님"
ad,EXO,loyalty,32,디오(D.O.)가 마닐라에서 2일간 단독 팬콘을 개최,,N,,"모델 판독(Claude, 2026-09-23) — 사람 검수 아님"
ad,보아,loyalty,29,"아랍어 K-pop 팬사이트 MyKpopMania 아랍어판의 보아 프로필 문서에서 본명(권보아), 생년월일(1986.11.5), 2000년 8월 25일 데뷔, 일본 활동 경력, 팬덤명(한국 '보아점프'·일본 '영혼')과 팬덤 색상까지 아랍어로 서술되어 있음을 WebFetch로 직접 확인함.",,N,,"모델 판독(Claude, 2026-09-23) — 사람 검수 아님"
