index,fandom,bullet_type,idx,text,hint_terms_found,"검수(Y=해당 지표에 잡혔어야 함, N=아님)",사유·놓친 표현,검수자
media,엔믹스,spillover,19,"인도네시아 매체 디틱과 IDN Times는 엔믹스가 K팝 그룹 최초로 브라질 카니발 무대('Bloco Da Pabllo' 2026)에 올라 ""기록을 세웠다(cetak rekor)""고 보도했다 - 팬덤 밖 남미 대중문화 시장까지 화제성이 확산된 사례다",,N,,"모델 판독(Claude, 2026-09-23) — 사람 검수 아님"
media,이영지,loyalty,1,월드투어 공식 굿즈(MD)를 현장 티켓 확인 절차까지 두고 사전 판매할 만큼 팬 구매 수요가 크다.,,N,,"모델 판독(Claude, 2026-09-23) — 사람 검수 아님"
media,임영웅,loyalty,21,"Fan club 영웅시대 donated 200 million won (2억원) to Korea University Medical Center (Anam/Guro/Ansan hospitals) in Lim Young-woong's name on his birthday, supporting low-income patients; his own cumulative donations across causes total 2.5 billion won",,N,,"모델 판독(Claude, 2026-09-23) — 사람 검수 아님"
media,마마무,spillover,57,칠레 매체 라콰르타(La Cuarta)는 마마무가 2014년 데뷔 이후 재즈·소울·R&B를 접목한 음악과 자체 작사·작곡 활동으로 K팝에서 여성 서사를 대표하는 그룹으로 자리매김했다고 보도했다.,,N,,"모델 판독(Claude, 2026-09-23) — 사람 검수 아님"
media,샤이니,spillover,15,"6년 만의 도쿄돔 공연에서 진주빛 아쿠아그린 응원봉으로 물든 회장이 환호로 가득 찼다고 일본 매체가 보도: ""見渡す限り、グループカラーであるパールアクアグリーン色のペンライトで染められた幻想的な東京ドーム""",,N,,"모델 판독(Claude, 2026-09-23) — 사람 검수 아님"
media,EXO,loyalty,3,2014년 5월 24일 'Lost Planet' 콘서트 티켓이 1.47초 만에 매진됐다.,,N,,"모델 판독(Claude, 2026-09-23) — 사람 검수 아님"
media,여자친구,loyalty,13,"Natalie (natalie.mu), Japan's major music/culture news site, covered the release of GFriend's second Japanese photobook ""CHOICE,"" a fan-merchandise item aimed at the group's dedicated Japanese fanbase.",,N,,"모델 판독(Claude, 2026-09-23) — 사람 검수 아님"
media,영탁,loyalty,15,"For his 20th debut anniversary, fan club YOUNGTAK & BLUES donated ₩68.35 million to UNICEF Korea.",,N,,"모델 판독(Claude, 2026-09-23) — 사람 검수 아님"
media,LE SSERAFIM,loyalty,17,2026년 5월 데뷔 4주년을 맞아 전 세계 공식 팬덤 '피어나(FEARNOT)'와 함께 'CELEBRATION' 기념 활동을 진행했다는 보도,,N,,"모델 판독(Claude, 2026-09-23) — 사람 검수 아님"
media,거미,loyalty,3,데뷔 20년이 지난 시점에도 히트곡들이 노래방 인기차트에 꾸준히 오르는 등 장기적인 대중적 스트리밍/소비력을 유지하고 있다.,,N,,"모델 판독(Claude, 2026-09-23) — 사람 검수 아님"
media,투어스(TWS),spillover,50,"Kapanlagi.com confirmed no Indonesian city appears on TWS's official 2026 Asia tour schedule, describing Jakarta as 'passed' and noting local fan disappointment.",,N,,"모델 판독(Claude, 2026-09-23) — 사람 검수 아님"
media,나훈아,spillover,21,"2025.1 전국투어 은퇴 콘서트 '고마웠습니다' 최종 마무리, 58년 가수 인생에 마침표",,N,,"모델 판독(Claude, 2026-09-23) — 사람 검수 아님"
media,최예나,loyalty,20,"최예나는 2024년 팬콘서트 'SUPER YENA'부터 2026년 라이브투어 '잡힐 듯 말 듯 한, 2세계!'까지 꾸준히 단독 공연을 이어가며 팬덤과의 접점을 확대하고 있다",,N,,"모델 판독(Claude, 2026-09-23) — 사람 검수 아님"
media,지코,spillover,1,'쇼미더머니' 시리즈 4·6·12편 등 여러 시즌에 프로듀서로 참여하며 힙합 신 전반에 영향력을 확장했다.,,Y,예능 프로그램명 '쇼미더머니' 프로듀서 참여,"모델 판독(Claude, 2026-09-23) — 사람 검수 아님"
media,TWICE,spillover,3,한국 여성 아티스트 최초로 빌보드 월드앨범차트와 월드디지털송세일즈차트를 동시 석권했다.,,N,,"모델 판독(Claude, 2026-09-23) — 사람 검수 아님"
media,LE SSERAFIM,spillover,14,"르세라핌, 2023년 10월 루이비통(Louis Vuitton) 하우스 앰버서더로 발탁",,N,,"모델 판독(Claude, 2026-09-23) — 사람 검수 아님"
media,EXO,spillover,31,3년 만의 컴백 앨범 'REVERXE' 소식을 빌보드 브라질이 상세 보도,,N,,"모델 판독(Claude, 2026-09-23) — 사람 검수 아님"
media,이영지,spillover,26,나타리 뮤직에 이영지 아티스트 프로필 페이지가 개설되어 있다,,N,,"모델 판독(Claude, 2026-09-23) — 사람 검수 아님"
media,박효신,spillover,44,"중국어 위키백과(维基百科) 박효신 항목에 그가 일본 가수 나카시마 미카(中島美嘉)의 대표곡 '유키노하나'(雪の花, 눈의 꽃)를 커버한 사실이 기록되어 있어, 중화권 정보원에서도 그의 레퍼토리가 일본 음악과 맞닿아 있음이 소개되고 있다.",,N,,"모델 판독(Claude, 2026-09-23) — 사람 검수 아님"
media,지코,loyalty,22,2015년 멜론 라디오 프로그램 진행,라디오,Y,라디오 프로그램 진행,"모델 판독(Claude, 2026-09-23) — 사람 검수 아님"
media,이영지,spillover,8,"2024년 6월 발매한 첫 정규 앨범 '16 Fantasy'가 멜론 데일리 차트 1위, 위클리 차트 3주 연속 2위를 기록했다",,N,,"모델 판독(Claude, 2026-09-23) — 사람 검수 아님"
media,박서진,loyalty,10,2022년 10월 대전 뮤직페스티벌에서 닻별 회원들은 비가 내리는 와중에도 관객을 위해 좌석을 닦고 공연 후 쓰레기를 치우는 현장 봉사를 했다.,,N,,"모델 판독(Claude, 2026-09-23) — 사람 검수 아님"
media,잭스키스,spillover,6,"Documentary ""Sechskies Eighteen"" (2018) ranked #1 in Korean seat sales for February 2018, selling 91.4% of available seats and topping 50,000 tickets sold by March 2018.",,Y,Documentary (영문 다큐·영화),"모델 판독(Claude, 2026-09-23) — 사람 검수 아님"
media,거미,spillover,13,거미는 MBC '나는 가수다' 시즌1(2011)에 출연자로 참여했다.,,Y,MBC '나는 가수다' 출연,"모델 판독(Claude, 2026-09-23) — 사람 검수 아님"
media,비비,spillover,18,"남서울대학교 축제 공연에서 비비의 비속어 발언에 현장 관객은 즉각 호응했지만, 온라인에서는 '수천만원 학비로 가수 불렀더니 학교를 깎아내렸다'는 등 부정적 반응이 대부분이었고 관련 영상은 59만 조회수를 기록했다.",,N,,"모델 판독(Claude, 2026-09-23) — 사람 검수 아님"
