index,fandom,bullet_type,idx,text,hint_terms_found,"검수(Y=해당 지표에 잡혔어야 함, N=아님)",사유·놓친 표현
region,aespa,loyalty,7,"데뷔 EP 'Savage'(2021)가 누적 78만 8,959장 팔리며 2023년 5월까지 SM 소속 그룹 데뷔 음반 최고 판매 기록을 유지했다",,,
region,조용필,spillover,6,갤럽코리아 선정 2013년 '올해의 가수'로 뽑혔고 은관문화훈장을 받았다,,,
region,RIIZE,spillover,20,RIIZE became the new brand ambassador for Crocs Japan,,,
region,박서진,loyalty,29,"박서진은 2025년 하반기 '뉴트렌드 대상' 예선에서 음악 부문 35.15%, 멀티테이너 부문 62.88% 득표율로 각각 1위에 올랐으며, 멀티테이너 부문에서는 블랙핑크 지수(11.73%)를 앞섰다.",,,
region,LE SSERAFIM,loyalty,4,'Easy'로 그룹 최초 빌보드 핫100에 진입했다.,,,
region,레드벨벳,loyalty,25,"'SMTOWN LIVE 2025 in MEXICO CITY'(2025년 5월 9일, Estadio GNP Seguros) 최종 라인업에 레드벨벳(웬디·예리 제외)이 포함되었다고 확정 보도.",,,
region,IVE,spillover,50,아이브 리즈가 JTBC 주말드라마 '천국보다 아름다운'(김혜자·손석구 주연)의 다섯 번째 OST 트랙 'Heavy Love'를 2026년 5월 18일 발매했다. 웅장한 현악 사운드와 리즈 특유의 맑고 강한 보컬톤으로 사랑의 본질을 표현했다는 평을 받았다.,,,
region,sg워너비,spillover,23,SG워너비 멤버 채동하는 2007년 KBS 드라마 '인순이는 예쁘다' OST에 솔로곡 '언제까지나'로 참여했다.,,,
region,박재범,loyalty,33,박재범(Jay Park)의 모스크바 콘서트 홍보 페이지가 러시아 콘서트 기획사 Bright Side Concerts에 개설됨,,,
region,이영지,loyalty,4,"2026년 2월 모바일 게임 '경찰과 도둑'을 통해 팬들과 함께 아동병원에 3억 원을 기부하는 캠페인을 진행, 팬덤과의 협업형 선행이 이루어졌다",,,
region,케이윌,spillover,0,"""러브 119"", ""이러지마 제발"" 등 다수의 음원 1위 곡을 보유해 '음원 킹'으로 불리며 장기간 스트리밍 시장에서 영향력을 발휘해왔다.",,,
region,동방신기,loyalty,6,'Time' 투어(2013)가 85만 관객을 동원하며 9000만달러의 매출을 올렸다.,,,
region,Hearts2Hearts,spillover,8,2025년 각종 시상식에서 신인상을 7회 수상했다.,,,
region,CNBLUE,spillover,48,"홍콩 매체 HK01이 CNBLUE의 월드투어 '3LOGY' 홍콩 공연(2026년 5월 16일, 아시아월드엑스포)에 대한 티켓 구매 가이드 기사를 게재했다. 기사는 HKD 880~1,680의 좌석 등급별 가격과 공연장 교통편을 상세히 안내했다.",,,
region,ATEEZ,spillover,27,"러시아어 K팝 전문매체 YesAsia.ru: 예능 프로그램 ""The Listen"" 시즌6 새 출연진 소식에서 ATEEZ 멤버 종호를 언급: ""«The Listen» возвращается с 6 сезоном: Сухо из EXO, Чонхо из ATEEZ, Чу и другие станут новыми участниками""(예능 '더 리슨' 시즌6, EXO 수호·ATEEZ 종호 등이 새 출연진으로 합류) — 2026.09.02 게재, 대중 예능 프로그램 캐스팅을 통한 인지도 확장 근거",,,
region,장윤정,loyalty,17,장윤정의 공식 팬클럽명은 '레모네이드'이며 공식 응원색은 노란색이다.,,,
region,엔믹스,spillover,54,엔믹스가 2023년 네이버의 웹브라우저 '네이버 웨일' 배경화면 콜라보레이션에 참여했다.,,,
region,BTS,spillover,53,"BTS는 ""Dynamite""(2020), ""Savage Love"" 리믹스(2020), ""Life Goes On""(2020), ""Butter""(2021), ""Permission to Dance""(2021), ""My Universe""(콜드플레이와 협업, 2021)로 빌보드 핫100 1위를 총 6차례 차지했다.",,,
region,동방신기,loyalty,12,"TVXQ held ""2023 TVXQ CONCERT '20&2'"" (Dec. 30-31, 2023) marking 20 years since debut and their first concert in ~4 years 9 months; fandom Cassiopeia described as ""800,000-strong"".",,,
region,TWICE,spillover,68,일본인 멤버 3명으로 구성된 TWICE의 서브유닛 MISAMO는 2023년 12월 31일 제74회 NHK 홍백가합전에 유닛 단독으로 출연해 'Do Not Touch' 무대를 선보였다.,,,
region,IVE,loyalty,12,"IVE's debut solo tour ""The Prom Queens"" (Feb–July 2023) covered 12 stops across Korea, Japan, Southeast Asia, and Taiwan, drawing 97,000 total attendance.",,,
region,IVE,loyalty,4,"팬클럽명은 DIVE(다이브)이며, 나무위키 아이브 문서에도 공식 팬덤명으로 명시되어 있다.",,,
region,이찬원,spillover,25,"이찬원은 첫 단독 콘서트 ""찬스타임""으로 전국 9개 도시에서 27회 투어 공연을 개최했다",,,
region,엄정화,spillover,42,엄정화는 2003년 한국야구위원회(KBO) 프로야구 홍보대사로 활동했다.,,,
region,최예나,spillover,2,화장품 브랜드 '피노(PINO)'의 국내 론칭과 함께 브랜드 앰버서더로 발탁됐다.,,,
region,브라운아이즈,spillover,50,나얼이 2017년 11월 발표한 신곡 'Emptiness in Memory'가 멜론·지니·엠넷 등 한국 6대 음원사이트 실시간·일간 차트에서 모두 1위를 차지하는 퍼펙트 올킬을 달성했다고 Soompi가 보도했다.,,,
region,RIIZE,loyalty,15,"RIIZE held an Aug 26, 2026 release showcase at Zepp Namba, Osaka for Japanese single ""Sunburst,"" selecting 1,000 attendees by lottery among CD pre-order purchasers, with the show simulcast on YouTube",,,
region,ATEEZ,spillover,49,에이티즈가 8월 8~9일 이틀간 열리는 '2026 SBS Gayo Daejeon Summer' 라인업에 확정됐다고 소속사 공식 플랫폼을 통해 공지됐다.,,,
region,김호중,loyalty,23,"김호중 팬클럽 '아리스'가 100억원 기부를 진행했는데 이 중 75억원은 앨범 구매를 통한 기부 형태였다는 점이 보도돼, 앨범 소비 자체가 팬덤의 기부·결속 행위로 직결됐음을 보여준다",,,
region,악동뮤지션,spillover,22,"2025년 그랜드 민트 페스티벌(GMF) 첫날 메인 무대 헤드라이너로 오른 악동뮤지션은 'DINOSAUR', '오랜 날 오랜 밤' 등으로 60분 넘게 무대를 채워 '가장 주목받은 무대'라는 평가를 받았다.",,,
region,레드벨벳,loyalty,11,"레드벨벳은 'R to V' 월드투어에서 요코하마(일본), 마닐라(필리핀), 방콕(태국), 자카르타(인도네시아) 등 아시아 각지 팬들과 만났다",,,
region,LE SSERAFIM,loyalty,5,"미니 2집 'Fearless'가 예약판매 7일 만에 27만 장, 16일 만에 38만 장을 기록했다",,,
region,10CM,loyalty,8,1집 '1.0'이 2011년 2월 15일 발매 후 1주일 만에 1만 장 이상 판매되며 당시 인디밴드 최고 기록을 세웠다,,,
region,엔믹스,spillover,27,"대학축제 공연 중 반주가 끊기는 음향 사고가 났음에도 멤버들이 춤과 가창을 이어가자 관객들이 뜨거운 박수와 환호성으로 응답, '흔들림 없는 라이브'라는 호평이 이어졌다는 기사.",,,
region,나훈아,spillover,25,"나훈아의 2020년 9월 30일 KBS2 '2020 한가위 대기획 대한민국 어게인 나훈아'는 15년 만의 방송 출연으로, 실시간 시청률 41.44%, 올레TV 점유율 70% 이상을 기록했다.",,,
region,Zion.T,spillover,16,2018년 3월 뉴욕·댈러스·산호세·LA·토론토·밴쿠버 등 미국·캐나다(북미) 6개 도시를 순회하는 단독 투어를 진행함,,,
region,CORTIS,spillover,57,스킨케어 브랜드 토리든이 코르티스를 전속모델로 기획한 상품이 판매 시작 10분 만에 품절됐다고 스타뉴스가 보도했다.,,,
region,TWICE,spillover,119,스페인 음악매체 Rockdelux가 트와이스의 2026년 5월 12일 바르셀로나 팔라우 산트 조르디 공연을 스페인 첫 콘서트로 평론했다고 보도했다.,,,
region,악동뮤지션,spillover,9,2026년 4월 인스티즈 차트에서 Hearts2Hearts와 함께 4월 3주·4주 연속 정상을 차지했다.,,,
region,오마이걸,loyalty,29,오마이걸 공식 팬클럽 미라클은 2017년 4월 데뷔 2주년을 기념해 한국백혈병어린이재단을 통해 소아암 치료 중인 어린이를 지원하는 성금을 기부했다.,,,
region,IVE,spillover,17,"Infobae covered the release of IVE's third EP ""Ive Empathy,"" including lead singles ""Rebel Heart"" and ""Attitude""",,,
