fandom,bullet_type,idx,domain,domain_lang,domain_basis,body_script,body_lang,body_margin,other_lang_candidate,latin_letter_share,agree
이영지,loyalty,0,www.facebook.com,en,override,ko,ko,1.0,,0.0,0
이영지,loyalty,1,x.com,en,override,ko,ko,0.947,,0.053,0
이영지,loyalty,2,www.kpop-radar.com,en,default,ko,ko,0.836,,0.164,0
이영지,loyalty,3,en.wikipedia.org,en,wiki,ko,ko,0.868,,0.132,0
이영지,loyalty,4,en.wikipedia.org,en,wiki,ko,ko,1.0,,0.0,0
이영지,loyalty,5,en.wikipedia.org,en,wiki,ko,ko,0.632,,0.368,0
이영지,loyalty,6,www.nocutnews.co.kr,ko,tld,ko,ko,0.689,,0.311,1
이영지,loyalty,7,www.nocutnews.co.kr,ko,tld,ko,ko,1.0,,0.0,1
이영지,loyalty,8,www.threads.com,en,override,ko,ko,1.0,,0.0,0
이영지,loyalty,9,news.tf.co.kr,ko,tld,ko,ko,0.947,,0.053,1
이영지,loyalty,10,nextshark.com,en,default,ko,ko,1.0,,0.0,0
이영지,loyalty,11,www.newsis.com,ko,override,ko,ko,1.0,,0.0,1
이영지,loyalty,12,www.newsis.com,ko,override,ko,ko,1.0,,0.0,1
이영지,loyalty,13,thereal.troomix.com,en,default,ko,ko,0.929,,0.071,0
이영지,loyalty,14,www.econovill.com,en,default,ko,ko,1.0,,0.0,0
이영지,loyalty,15,www.harpersbazaar.co.kr,ko,tld,ko,ko,1.0,,0.0,1
이영지,loyalty,16,news.mt.co.kr,ko,override,ko,ko,0.934,,0.066,1
이영지,loyalty,17,www.starnewskorea.com,en,override,ko,ko,0.978,,0.022,0
이영지,loyalty,18,www.onionproduction.com,en,default,ko,ko,0.667,,0.333,0
이영지,loyalty,19,en.wikipedia.org,en,wiki,ko,ko,1.0,,0.0,0
이영지,loyalty,20,en.wikipedia.org,en,wiki,ko,ko,1.0,,0.0,0
이영지,loyalty,21,www.newsis.com,ko,override,ko,ko,1.0,,0.0,1
이영지,loyalty,22,news.tf.co.kr,ko,tld,ko,ko,1.0,,0.0,1
이영지,loyalty,23,star.ettoday.net,zh,override,ko,ko,0.8,,0.2,0
이영지,loyalty,24,www.storm.mg,zh,override,ko,ko,0.683,,0.244,0
이영지,loyalty,25,wantrich.chinatimes.com,zh,override,ko,ko,0.733,,0.0,0
이영지,loyalty,26,www.idntimes.com,id,override,ko,ko,1.0,,0.0,0
이영지,loyalty,27,www.nautiljon.com,en,default,ko,ko,0.727,,0.273,0
