fandom,bullet_type,idx,n_numeric,n_bonus_kw,bonus_kw_hit,evidence_score,years_in_text
이영지,loyalty,0,1,0,,1.5,2026
이영지,loyalty,1,0,0,,1.0,
이영지,loyalty,2,0,1,팬카페,1.3,
이영지,loyalty,3,3,0,,2.5,2024
이영지,loyalty,4,2,1,기부,2.3,2026
이영지,loyalty,5,0,0,,1.0,2023|2024
이영지,loyalty,6,1,1,최초,1.8,
이영지,loyalty,7,1,0,,1.5,2023
이영지,loyalty,8,1,0,,1.5,2026
이영지,loyalty,9,4,1,돌파,3.3,2022
이영지,loyalty,10,1,0,,1.5,
이영지,loyalty,11,1,0,,1.5,
이영지,loyalty,12,2,1,기부,2.3,
이영지,loyalty,13,0,0,,1.0,2026
이영지,loyalty,14,0,0,,1.0,
이영지,loyalty,15,0,0,,1.0,
이영지,loyalty,16,2,2,역사|최초,2.6,2022
이영지,loyalty,17,8,1,기부,5.3,2026
이영지,loyalty,18,0,0,,1.0,2025
이영지,loyalty,19,1,1,기부,1.8,2025
이영지,loyalty,20,1,1,기부,1.8,2026
이영지,loyalty,21,4,1,1위,3.3,
이영지,loyalty,22,1,1,돌파,1.8,
이영지,loyalty,23,0,0,,1.0,
이영지,loyalty,24,0,0,,1.0,
이영지,loyalty,25,0,0,,1.0,
이영지,loyalty,26,1,0,,1.5,2026
이영지,loyalty,27,1,0,,1.5,2025
이영지,loyalty,28,0,0,,1.0,
이영지,loyalty,29,0,0,,1.0,
이영지,loyalty,30,0,0,,1.0,
이영지,loyalty,31,0,0,,1.0,2024|2025
이영지,loyalty,32,1,0,,1.5,2023
이영지,loyalty,33,2,0,,2.0,2026
이영지,loyalty,34,0,1,기부,1.3,
이영지,loyalty,35,4,1,기부,3.3,2026
이영지,loyalty,36,2,1,기부,2.3,2026
이영지,loyalty,37,1,0,,1.5,2026
이영지,loyalty,38,1,2,매진|세대,2.1,2023
이영지,spillover,0,1,1,앰버서더,1.8,2025
이영지,spillover,1,0,2,앰버서더|브랜드,1.6,
이영지,spillover,2,0,2,앰버서더|브랜드,1.6,
이영지,spillover,3,0,0,,1.0,
이영지,spillover,4,2,4,앰버서더|모델|브랜드|소비,3.2,2025
이영지,spillover,5,0,0,,1.0,
이영지,spillover,6,1,2,앰버서더|브랜드,2.1,2023
이영지,spillover,7,1,0,,1.5,
이영지,spillover,8,4,0,,3.0,2024
이영지,spillover,9,1,0,,1.5,
이영지,spillover,10,1,0,,1.5,
이영지,spillover,11,2,2,앰버서더|브랜드,2.6,2025
이영지,spillover,12,0,2,앰버서더|브랜드,1.6,
이영지,spillover,13,0,2,앰버서더|브랜드,1.6,
이영지,spillover,14,2,0,,2.0,2024
이영지,spillover,15,0,1,투어,1.3,
이영지,spillover,16,0,1,앰버서더,1.3,2025
이영지,spillover,17,0,1,모델,1.3,
이영지,spillover,18,0,1,모델,1.3,
이영지,spillover,19,0,1,모델,1.3,
이영지,spillover,20,0,1,모델,1.3,
이영지,spillover,21,2,1,수익,2.3,
이영지,spillover,22,1,0,,1.5,
이영지,spillover,23,1,1,투어,1.8,2024
이영지,spillover,24,0,1,투어,1.3,
이영지,spillover,25,0,1,방문,1.3,
이영지,spillover,26,0,0,,1.0,
이영지,spillover,27,0,0,,1.0,
이영지,spillover,28,0,0,,1.0,
이영지,spillover,29,2,1,모델,2.3,2025
이영지,spillover,30,0,2,모델|브랜드,1.6,
이영지,spillover,31,0,3,앰버서더|브랜드|소비,1.9,
이영지,spillover,32,4,0,,3.0,2024
이영지,spillover,33,0,0,,1.0,2026
