snapshot,fandom,n_loyalty,n_spillover,activity,loyalty_raw,spillover_raw,loyalty_score,spillover_score,loyalty_density,spillover_density,loyalty_exposure_resid,spillover_exposure_resid,mean_evidence_loyalty,mean_evidence_spillover
live_10020,BTS,74,153,227,118.5,263.8,0.972,1.0,0.42,0.578,0.582,0.62,1.601,1.724
live_10020,TWICE,71,120,191,116.2,224.9,0.947,0.821,0.446,0.71,0.603,0.749,1.637,1.874
live_10020,임영웅,59,72,131,116.5,158.6,0.95,0.517,0.692,1.0,0.802,1.0,1.975,2.203
live_10020,BLACKPINK,60,135,195,91.4,209.8,0.674,0.752,0.363,0.428,0.507,0.481,1.523,1.554
live_10020,NCT,67,97,164,105.8,154.4,0.832,0.498,0.404,0.461,0.558,0.531,1.579,1.592
live_10020,Stray Kids,58,105,163,94.4,174.8,0.707,0.591,0.439,0.525,0.58,0.59,1.628,1.665
live_10020,SEVENTEEN,71,86,157,110.1,132.4,0.88,0.397,0.383,0.415,0.542,0.49,1.551,1.54
live_10020,god,51,48,99,121.0,83.2,1.0,0.171,0.982,0.586,1.0,0.685,2.373,1.733
live_10020,aespa,55,103,158,82.4,168.9,0.574,0.564,0.345,0.503,0.48,0.57,1.498,1.64
live_10020,지드래곤 (G-Dragon),47,86,133,84.4,163.0,0.596,0.537,0.562,0.729,0.674,0.781,1.796,1.895
live_10020,CORTIS,50,85,135,81.1,145.3,0.56,0.456,0.435,0.565,0.563,0.637,1.622,1.709
live_10020,아이유,42,68,110,83.9,137.8,0.591,0.421,0.709,0.845,0.787,0.886,1.998,2.026
live_10020,EXO,47,74,121,81.2,130.6,0.561,0.388,0.512,0.614,0.63,0.689,1.728,1.765
live_10020,NewJeans,44,110,154,65.2,165.2,0.385,0.547,0.333,0.382,0.449,0.443,1.482,1.502
live_10020,싸이,30,92,122,62.4,167.2,0.354,0.556,0.769,0.66,0.804,0.719,2.08,1.817
live_10020,ATEEZ,42,71,113,76.8,132.3,0.513,0.396,0.586,0.701,0.685,0.767,1.829,1.863
live_10020,RIIZE,45,76,121,83.9,110.8,0.591,0.298,0.612,0.343,0.714,0.42,1.864,1.458
live_10020,워너원,48,75,123,73.1,131.5,0.472,0.393,0.363,0.604,0.488,0.679,1.523,1.753
live_10020,소녀시대,33,89,122,60.0,162.8,0.327,0.536,0.578,0.671,0.658,0.73,1.818,1.829
live_10020,HOT,37,60,97,80.3,113.6,0.551,0.31,0.835,0.727,0.871,0.797,2.17,1.893
live_10020,BABYMONSTER,55,77,132,82.4,106.1,0.574,0.276,0.345,0.272,0.48,0.341,1.498,1.378
live_10020,(여자)아이들,43,75,118,71.2,129.8,0.451,0.385,0.46,0.584,0.574,0.661,1.656,1.731
live_10020,박서진,33,66,99,79.1,110.6,0.538,0.297,1.0,0.535,0.975,0.622,2.397,1.676
live_10020,LE SSERAFIM,44,99,143,62.7,148.3,0.357,0.47,0.292,0.378,0.404,0.445,1.425,1.498
live_10020,GOT7,38,69,107,73.5,122.1,0.476,0.349,0.663,0.618,0.741,0.696,1.934,1.77
live_10020,레드벨벳,53,65,118,81.1,103.6,0.56,0.264,0.368,0.463,0.502,0.553,1.53,1.594
live_10020,DAY6,54,47,101,86.7,84.0,0.622,0.174,0.423,0.633,0.558,0.729,1.606,1.787
live_10020,영탁,39,65,104,73.8,106.9,0.48,0.28,0.632,0.508,0.718,0.597,1.892,1.645
live_10020,몬스타엑스,41,55,96,81.4,85.9,0.563,0.183,0.7,0.435,0.778,0.533,1.985,1.562
live_10020,이찬원,37,69,106,68.3,116.2,0.419,0.322,0.598,0.542,0.685,0.627,1.846,1.684
live_10020,정동원,48,59,107,75.7,89.7,0.501,0.201,0.402,0.398,0.528,0.492,1.577,1.52
live_10020,IKON,54,42,96,82.8,71.3,0.579,0.116,0.371,0.554,0.505,0.663,1.533,1.698
live_10020,아이오아이,45,50,95,78.8,78.4,0.535,0.149,0.529,0.44,0.642,0.543,1.751,1.568
live_10020,이영지,39,68,107,67.6,104.5,0.411,0.269,0.516,0.413,0.618,0.5,1.733,1.537
live_10020,박효신,37,54,91,74.7,86.4,0.49,0.185,0.724,0.468,0.788,0.567,2.019,1.6
live_10020,아일릿,31,76,107,60.2,119.4,0.33,0.337,0.668,0.443,0.728,0.525,1.942,1.571
