fandom,category,n_loyalty,n_spillover,activity,loyalty_raw,spillover_raw,loyalty_score,spillover_score,Lang,Mkt,Src,Time,Ent,coverage_index,factor_diversity,dominant_factor,quadrant
god,원로그룹,51,48,99,121.0,83.2,1.0,0.1708,0.31,0.6667,0.6667,0.6667,0.8333,0.5763,0.5331,현장경제형(콘서트·투어·매진),내부결속형
BTS,K-pop 보이그룹,74,153,227,118.5,263.8,0.9724,1.0,0.6375,1.0,0.6667,0.9167,1.0,0.8121,0.843,현장경제형(콘서트·투어·매진),핵심전략형
임영웅,트로트,59,72,131,116.5,158.6,0.9504,0.517,0.3108,0.8333,1.0,0.6667,0.8333,0.6849,0.8829,현장경제형(콘서트·투어·매진),핵심전략형
TWICE,K-pop 걸그룹,71,120,191,116.2,224.9,0.9471,0.8214,0.6657,1.0,1.0,1.0,0.8333,0.883,0.8715,현장경제형(콘서트·투어·매진),핵심전략형
SEVENTEEN,K-pop 보이그룹,71,86,157,110.1,132.4,0.8798,0.3967,0.5729,1.0,1.0,1.0,0.8333,0.8552,0.85,현장경제형(콘서트·투어·매진),핵심전략형
NCT,K-pop 보이그룹,67,97,164,105.8,154.4,0.8324,0.4977,0.6848,1.0,1.0,0.9167,0.8333,0.8763,0.8052,현장경제형(콘서트·투어·매진),핵심전략형
Stray Kids,K-pop 보이그룹,58,105,163,94.4,174.8,0.7067,0.5914,0.6577,1.0,1.0,0.75,0.6667,0.8265,0.9057,현장경제형(콘서트·투어·매진),핵심전략형
BLACKPINK,K-pop 걸그룹,60,135,195,91.4,209.8,0.6736,0.7521,0.7518,1.0,1.0,0.9167,0.8333,0.8964,0.9085,현장경제형(콘서트·투어·매진),핵심전략형
DAY6,K-pop 보이그룹 /록,54,47,101,86.7,84.0,0.6218,0.1745,0.645,1.0,1.0,0.8333,0.8333,0.8518,0.6033,현장경제형(콘서트·투어·매진),내부결속형
지드래곤 (G-Dragon),힙합,47,86,133,84.4,163.0,0.5965,0.5372,0.6183,1.0,1.0,0.6667,0.6667,0.8021,0.6677,현장경제형(콘서트·투어·매진),핵심전략형
RIIZE,K-pop 보이그룹,45,76,121,83.9,110.8,0.591,0.2975,0.6287,1.0,0.6667,0.4167,1.0,0.7344,0.8906,현장경제형(콘서트·투어·매진),핵심전략형
아이유,솔로,42,68,110,83.9,137.8,0.591,0.4215,0.6009,1.0,1.0,1.0,1.0,0.8803,0.8832,현장경제형(콘서트·투어·매진),핵심전략형
IKON,K-pop 보이그룹,54,42,96,82.8,71.3,0.5788,0.1162,0.6807,1.0,0.6667,0.75,0.8333,0.7834,0.6812,현장경제형(콘서트·투어·매진),내부결속형
BABYMONSTER,K-pop 걸그룹,55,77,132,82.4,106.1,0.5744,0.2759,0.6501,1.0,1.0,0.3333,0.6667,0.7617,0.8324,현장경제형(콘서트·투어·매진),핵심전략형
aespa,K-pop 걸그룹,55,103,158,82.4,168.9,0.5744,0.5643,0.6032,1.0,1.0,0.5833,0.8333,0.8018,0.9016,현장경제형(콘서트·투어·매진),핵심전략형
몬스타엑스,K-pop 보이그룹,41,55,96,81.4,85.9,0.5634,0.1832,0.697,1.0,1.0,1.0,0.8333,0.8924,0.6894,현장경제형(콘서트·투어·매진),내부결속형
EXO,K-pop 보이그룹,47,74,121,81.2,130.6,0.5612,0.3884,0.6306,1.0,1.0,1.0,1.0,0.8892,0.8661,현장경제형(콘서트·투어·매진),핵심전략형
CORTIS,K-pop 보이그룹,50,85,135,81.1,145.3,0.5601,0.4559,0.6533,1.0,1.0,0.5833,1.0,0.8335,0.7498,현장경제형(콘서트·투어·매진),핵심전략형
레드벨벳,K-pop 걸그룹,53,65,118,81.1,103.6,0.5601,0.2645,0.7043,1.0,0.6667,1.0,0.8333,0.828,0.7443,현장경제형(콘서트·투어·매진),내부결속형
HOT,원로그룹,37,60,97,80.3,113.6,0.5513,0.3104,0.274,0.5,0.6667,0.5833,0.5,0.478,0.6832,현장경제형(콘서트·투어·매진),핵심전략형
