fandom,year,loyalty_density,loyalty_lo,loyalty_hi,spillover_density,spillover_lo,spillover_hi
BTS,2017,1.9333,1.0,2.8,,,
BTS,2018,,,,1.4429,1.0714,2.0429
BTS,2019,1.95,1.25,2.8531,2.3,1.8167,2.8167
BTS,2020,2.02,1.36,2.84,2.0182,1.645,2.4639
BTS,2021,,,,1.8167,1.6833,1.9333
BTS,2022,,,,1.6833,1.2167,2.0837
BTS,2023,,,,2.1,1.7667,2.3833
BTS,2024,,,,1.8667,1.4829,2.2167
BTS,2025,2.125,1.325,2.8512,1.8375,1.45,2.2625
BTS,2026,1.76,1.3198,2.28,1.7641,1.5076,2.0256
TWICE,2016,,,,1.525,1.2,1.8
TWICE,2017,,,,2.45,1.85,3.1337
TWICE,2018,,,,2.4,1.75,3.05
TWICE,2019,,,,2.1667,1.5,3.0
TWICE,2021,,,,2.15,1.25,3.375
TWICE,2022,,,,3.38,1.6,5.16
TWICE,2023,1.7571,1.4714,2.0286,2.1571,1.7857,2.5
TWICE,2024,1.1667,1.0,1.5,2.1727,1.6545,2.7455
TWICE,2025,1.7214,1.3643,2.0857,1.62,1.375,1.895
TWICE,2026,2.6,1.5,3.8,1.9933,1.5798,2.4668
임영웅,2020,,,,1.7143,1.4143,1.9857
임영웅,2022,,,,2.6333,1.8,4.0
임영웅,2024,,,,2.39,1.75,3.2105
임영웅,2025,1.875,1.6,2.1875,2.8714,1.5857,4.4146
임영웅,2026,2.4333,1.9238,2.9382,2.3625,1.7938,2.8939
BLACKPINK,2022,2.14,1.1,3.18,1.95,1.5997,2.275
BLACKPINK,2023,1.25,1.0,1.5,1.5182,1.1818,1.8455
BLACKPINK,2024,1.5333,1.0,2.3,3.0333,2.0,4.8
BLACKPINK,2025,1.72,1.1,2.54,1.825,1.5417,2.0833
BLACKPINK,2026,2.0,1.525,2.4833,1.5765,1.3764,1.8176
NCT,2020,1.8625,1.7,2.0125,,,
NCT,2021,1.95,1.25,2.6,1.7,1.5,1.8
NCT,2022,,,,2.0571,1.4,2.7007
NCT,2023,1.6667,1.0,2.0,1.8714,1.3857,2.4429
NCT,2024,1.75,1.375,2.1628,1.6818,1.4455,1.8818
NCT,2025,1.69,1.15,2.4007,1.9077,1.4231,2.4769
NCT,2026,1.9,1.4553,2.3333,1.6833,1.4276,1.9446
Stray Kids,2023,2.3667,1.5,3.6,1.9,1.575,2.325
Stray Kids,2024,1.6571,1.3571,1.9571,1.7333,1.5,1.9735
Stray Kids,2025,1.84,1.4,2.3202,1.7409,1.4818,2.0183
Stray Kids,2026,1.6125,1.125,2.4,2.0842,1.7736,2.4211
SEVENTEEN,2019,1.9667,1.0,2.6,,,
SEVENTEEN,2022,,,,1.6333,1.0,2.1
SEVENTEEN,2023,1.3692,1.0231,1.7154,1.7667,1.0,3.3
SEVENTEEN,2024,1.6778,1.1778,2.2672,1.5783,1.4087,1.7609
SEVENTEEN,2025,1.7333,1.2222,2.3889,1.5222,1.2222,1.8111
SEVENTEEN,2026,1.3286,1.0714,1.6432,1.8538,1.5077,2.2538
god,2022,2.6,2.44,2.76,,,
god,2023,2.3429,2.0571,2.6286,2.05,1.65,2.55
god,2024,,,,2.5333,1.0,4.6
god,2025,2.6071,1.8571,3.5789,1.7,1.5,1.9
god,2026,2.1125,1.8,2.4875,1.525,1.0,2.05
