fandom,n_valid_years,first_year,last_year,peak_year_volume,rho_volume,rho_loyalty_density,p_loyalty_density,rho_spillover_density,p_spillover_density
BTS,10,2017,2026,2026,0.3283,0.0,1.0,-0.0333,0.9322
TWICE,10,2016,2026,2025,0.7841,0.4,0.6,-0.2,0.5796
레드벨벳,8,2017,2026,2025,0.6347,-0.7,0.1881,-0.3964,0.3786
오마이걸,8,2017,2026,2026,0.5183,-0.8,0.2,0.7827,0.0657
GOT7,7,2015,2025,2025,0.3784,-0.4,0.6,-0.4857,0.3287
NCT,7,2020,2026,2026,0.8469,-0.1429,0.7872,-0.3143,0.5441
Zion.T,7,2015,2025,2015,-0.5379,,,0.3143,0.5441
(여자)아이들,6,2019,2026,2025,0.3143,,,-0.4857,0.3287
BTOB,6,2015,2026,2026,0.116,,,0.2,0.7471
EXO,6,2018,2026,2026,0.0883,-0.8,0.2,-0.2,0.704
SEVENTEEN,6,2019,2026,2024,0.8117,-0.6,0.2848,0.1,0.8729
STAYC,6,2020,2026,2025,0.6088,,,0.5002,0.3123
aespa,6,2021,2026,2026,0.8286,,,-0.2571,0.6228
김호중,6,2020,2026,2024,-0.3479,-0.6,0.2848,-0.7,0.1881
영탁,6,2020,2026,2024,0.7247,0.1,0.8729,0.4286,0.3965
지코,6,2016,2026,2026,0.5508,,,0.0857,0.8717
청하,6,2019,2026,2020,-0.4286,,,-0.9,0.0374
츄,6,2021,2026,2025,0.6179,,,-0.0857,0.8717
10CM,5,2016,2026,2025,0.8721,-0.2,0.8,,
ATEEZ,5,2022,2026,2025,0.9,,,0.4,0.6
BLACKPINK,5,2022,2026,2026,0.7,0.0,1.0,-0.2,0.7471
Crush,5,2016,2026,2026,0.6669,-0.4,0.6,0.6,0.4
ITZY,5,2022,2026,2024,0.2108,,,0.3,0.6238
LE SSERAFIM,5,2022,2026,2026,0.9,,,0.7,0.1881
NewJeans,5,2022,2026,2024,0.2,-0.4,0.5046,-0.8,0.1041
god,5,2022,2026,2025,0.7182,-0.4,0.6,-0.8,0.2
권은비,5,2022,2026,2025,0.6,0.0,1.0,-0.6,0.4
마마무,5,2016,2026,2026,0.1539,-0.3162,0.6838,-0.8,0.1041
볼빨간사춘기,5,2017,2026,2026,0.8208,,,-0.8,0.2
송가인,5,2019,2026,2025,0.5643,,,-0.1,0.8729
싸이,5,2017,2026,2025,0.5798,,,0.1,0.8729
에픽하이,5,2019,2026,2025,0.7182,0.4,0.6,,
엔믹스,5,2022,2026,2025,0.8721,,,0.1,0.8729
여자친구,5,2015,2025,2025,0.9,,,0.7,0.1881
이영지,5,2022,2026,2026,0.9,0.0,1.0,0.2,0.8
이효리,5,2020,2026,2025,0.9747,,,-0.3078,0.6144
임영웅,5,2020,2026,2026,0.9,,,0.3,0.6238
잔나비,5,2019,2026,2026,0.9,,,-0.8,0.1041
정동원,5,2020,2026,2026,0.0513,,,0.7,0.1881
BABYMONSTER,4,2023,2026,2025,0.6325,0.4,0.6,-0.4,0.6
HOT,4,2018,2026,2026,0.8,,,0.0,1.0
IVE,4,2023,2026,2026,0.8,0.8,0.2,0.2,0.8
QWER,4,2023,2026,2026,1.0,,,0.8,0.2
RIIZE,4,2023,2026,2026,0.8,-0.2,0.8,0.2,0.8
Stray Kids,4,2023,2026,2025,0.8,-0.8,0.2,0.4,0.6
거미,4,2016,2026,2019,-0.8,,,0.4,0.6
나훈아,4,2017,2025,2024,0.9487,0.8,0.2,,
로이킴,4,2018,2026,2026,0.8,,,-0.4,0.6
박서진,4,2023,2026,2025,0.8,,,,
박재범,4,2022,2026,2026,0.9487,,,-0.8,0.2
빈지노,4,2015,2024,2024,0.8,,,-0.8,0.2
샤이니,4,2021,2026,2026,0.4,,,,
아이유,4,2023,2026,2024,0.4,,,-0.8,0.2
악동뮤지션,4,2019,2026,2026,0.8,,,,
워너원,4,2017,2026,2018,-0.6,,,,
이찬원,4,2022,2026,2026,1.0,,,0.4,0.6
지드래곤 (G-Dragon),4,2016,2026,2025,0.7379,,,0.2,0.8
최예나,4,2022,2026,2026,0.9487,-0.4,0.6,-0.4,0.6
프로미스나인,4,2022,2026,2025,0.3162,,,-0.4,0.6
CNBLUE,3,2024,2026,2026,,,,,
DAY6,3,2024,2026,2025,,,,,
IKON,3,2015,2026,2026,,,,,
김동률,3,2018,2026,2025,,,,,
김재중,3,2023,2026,2025,,,,,
다비치,3,2016,2026,2026,,,,,
다이나믹듀오,3,2023,2026,2025,,,,,
동방신기,3,2018,2026,2025,,,,,
리센느(RESCENE),3,2024,2026,2026,,,,,
린,3,2024,2026,2026,,,,,
몬스타엑스,3,2019,2026,2025,,,,,
박효신,3,2019,2026,2026,,,,,
비비,3,2024,2026,2025,,,,,
빅마마,3,2021,2023,2021,,,,,
빅뱅,3,2016,2026,2026,,,,,
성시경,3,2023,2026,2026,,,,,
