fandom,year,n_docs,F1,F2,F3,F4,F5,top2,persona,valid_cell
(여자)아이들,2018,,0.0112,0.1367,0.5381,0.1518,0.1621,F3+F5,글로벌투어형,0
(여자)아이들,2019,,0.1417,0.0737,0.5917,0.148,0.0449,F3+F4,현장상업형,1
(여자)아이들,2020,,0.0971,0.0082,0.3093,0.1218,0.4636,F3+F5,글로벌투어형,0
(여자)아이들,2021,,0.0064,0.0715,0.8056,0.0064,0.1101,F3+F5,글로벌투어형,0
(여자)아이들,2022,,0.1016,0.015,0.4977,0.162,0.2237,F3+F5,글로벌투어형,1
(여자)아이들,2023,,0.0582,0.0097,0.3642,0.2998,0.2681,F3+F4,현장상업형,1
(여자)아이들,2024,,0.0697,0.0382,0.477,0.317,0.0981,F3+F4,현장상업형,1
(여자)아이들,2025,,0.0547,0.0478,0.7337,0.0919,0.0718,F3+F4,현장상업형,1
(여자)아이들,2026,,0.0237,0.0645,0.3921,0.4278,0.092,F3+F4,현장상업형,1
10CM,2016,,0.0472,0.0124,0.142,0.2465,0.5519,F4+F5,산업확장형,1
10CM,2017,,0.0096,0.0096,0.7324,0.0096,0.2388,F3+F5,글로벌투어형,0
10CM,2019,,0.003,0.6361,0.1935,0.003,0.1644,F2+F3,원정소비형,0
10CM,2020,,0.2765,0.1456,0.448,0.0558,0.0741,F1+F3,집단동원형,1
10CM,2021,,0.1952,0.7579,0.0313,0.0078,0.0078,F1+F2,핵심소비형,0
10CM,2022,,0.0089,0.9375,0.0357,0.0089,0.0089,F2+F3,원정소비형,0
10CM,2023,,0.0074,0.0074,0.8306,0.1473,0.0074,F3+F4,현장상업형,0
10CM,2024,,0.0235,0.0163,0.8981,0.0234,0.0387,F3+F5,글로벌투어형,1
10CM,2025,,0.0597,0.0544,0.5591,0.1887,0.1381,F3+F4,현장상업형,1
10CM,2026,,0.0365,0.0147,0.8297,0.0428,0.0763,F3+F5,글로벌투어형,1
A-pink,2015,,0.2183,0.0099,0.1647,0.2247,0.3824,F4+F5,산업확장형,0
A-pink,2016,,0.0666,0.1963,0.5681,0.1561,0.013,F2+F3,원정소비형,0
A-pink,2017,,0.1489,0.0365,0.4185,0.01,0.3861,F3+F5,글로벌투어형,0
A-pink,2018,,0.169,0.0946,0.5919,0.0476,0.0969,F1+F3,집단동원형,1
A-pink,2019,,0.0054,0.4301,0.0217,0.0054,0.5372,F2+F5,글로벌소비형,0
A-pink,2020,,0.0139,0.0139,0.0556,0.0139,0.9027,F3+F5,글로벌투어형,0
A-pink,2021,,0.0063,0.0063,0.975,0.0063,0.0063,F3+F4,현장상업형,0
A-pink,2022,,0.0146,0.0146,0.475,0.4812,0.0146,F3+F4,현장상업형,0
A-pink,2023,,0.1269,0.0074,0.5703,0.0074,0.2881,F3+F5,글로벌투어형,0
A-pink,2024,,0.0074,0.0074,0.8168,0.068,0.1004,F3+F5,글로벌투어형,0
A-pink,2025,,0.1691,0.0403,0.7694,0.0106,0.0106,F1+F3,집단동원형,0
A-pink,2026,,0.0208,0.0658,0.7232,0.1163,0.0739,F3+F4,현장상업형,1
ATEEZ,2019,,0.006,0.006,0.2428,0.7393,0.006,F3+F4,현장상업형,0
