fandom,year,n_loyalty,n_spillover,n_total,loyalty_sum,spillover_sum,loyalty_density,spillover_density,year_share,late_round_share,valid_cell
(여자)아이들,2018,0,3,3,0.0,4.8,,1.6,0.01422,0.0,0
(여자)아이들,2019,2,5,7,3.3,9.1,,1.82,0.0303,0.0,1
(여자)아이들,2020,3,0,3,7.7,0.0,2.5667,,0.01103,0.0,0
(여자)아이들,2021,0,4,4,0.0,4.8,,1.2,0.0186,0.5,0
(여자)아이들,2022,6,9,15,10.9,27.3,1.8167,3.0333,0.04274,0.0667,1
(여자)아이들,2023,2,4,6,7.1,6.8,,1.7,0.01232,0.1667,1
(여자)아이들,2024,2,9,11,3.3,15.4,,1.7111,0.01497,0.1818,1
(여자)아이들,2025,6,11,17,8.6,22.8,1.4333,2.0727,0.01351,0.3529,1
(여자)아이들,2026,5,5,10,8.3,7.4,1.66,1.48,0.00657,0.5,1
10CM,2016,1,5,6,2.3,9.5,,1.9,0.03125,0.0,1
10CM,2017,0,1,1,0.0,1.0,,,0.00629,1.0,0
10CM,2019,0,1,1,0.0,1.0,,,0.00433,0.0,0
10CM,2020,6,1,7,9.7,1.8,1.6167,,0.02574,0.0,1
10CM,2021,0,1,1,0.0,1.0,,,0.00465,0.0,0
10CM,2022,1,0,1,1.0,0.0,,,0.00285,0.0,0
10CM,2023,0,1,1,0.0,1.5,,,0.00205,1.0,0
10CM,2024,5,2,7,8.4,2.8,1.68,,0.00952,0.5714,1
10CM,2025,3,11,14,6.8,18.9,2.2667,1.7182,0.01113,0.0714,1
10CM,2026,5,8,13,7.3,12.1,1.46,1.5125,0.00854,0.4615,1
A-pink,2015,2,2,4,4.9,5.3,,,0.03226,0.25,0
A-pink,2016,2,2,4,3.5,3.3,,,0.02083,0.25,0
A-pink,2017,3,0,3,4.3,0.0,1.4333,,0.01887,0.0,0
A-pink,2018,3,5,8,6.1,7.9,2.0333,1.58,0.03791,0.125,1
A-pink,2019,1,0,1,1.0,0.0,,,0.00433,0.0,0
A-pink,2020,0,1,1,0.0,2.0,,,0.00368,0.0,0
A-pink,2021,0,1,1,0.0,2.0,,,0.00465,1.0,0
A-pink,2022,1,1,2,1.5,2.1,,,0.0057,0.0,0
A-pink,2023,0,2,2,0.0,3.0,,,0.00411,0.0,0
A-pink,2024,0,4,4,0.0,9.6,,2.4,0.00544,0.25,0
A-pink,2025,0,2,2,0.0,3.5,,,0.00159,0.0,0
A-pink,2026,3,12,15,4.8,23.9,1.6,1.9917,0.00985,0.3333,1
ATEEZ,2019,0,1,1,0.0,3.0,,,0.00433,0.0,0
ATEEZ,2020,3,1,4,6.1,1.0,2.0333,,0.01471,0.0,0
ATEEZ,2021,2,2,4,5.3,3.0,,,0.0186,0.25,0
ATEEZ,2022,3,2,5,6.4,4.0,2.1333,,0.01425,0.4,1
ATEEZ,2023,2,4,6,3.0,8.3,,2.075,0.01232,0.1667,1
ATEEZ,2024,2,5,7,3.5,10.6,,2.12,0.00952,0.0,1
ATEEZ,2025,10,22,32,24.0,42.2,2.4,1.9182,0.02544,0.2812,1
ATEEZ,2026,12,16,28,19.7,37.5,1.6417,2.3438,0.01838,0.1786,1
BABYMONSTER,2023,4,3,7,4.0,4.0,1.0,1.3333,0.01437,0.1429,1
