fandom,n_years,first_year,first_persona,last_year,last_persona,changed,n_switches,path,official_persona_all_years
레드벨벳,8,2017,현장상업형,2026,글로벌투어형,1,4,2017:현장상업형 → 2018:현장상업형 → 2021:현장상업형 → 2022:글로벌투어형 → 2023:원정소비형 → 2024:원정소비형 → 2025:현장상업형 → 2026:글로벌투어형,원정소비형
GOT7,7,2015,글로벌결속형,2025,현장상업형,1,6,2015:글로벌결속형 → 2018:집단동원형 → 2019:글로벌투어형 → 2020:산업확장형 → 2021:현장상업형 → 2022:글로벌투어형 → 2025:현장상업형,글로벌투어형
NCT,7,2020,글로벌결속형,2026,현장상업형,1,4,2020:글로벌결속형 → 2021:산업확장형 → 2022:현장상업형 → 2023:현장상업형 → 2024:글로벌투어형 → 2025:글로벌투어형 → 2026:현장상업형,글로벌투어형
Zion.T,7,2015,글로벌투어형,2025,원정소비형,1,6,2015:글로벌투어형 → 2016:브랜드동반형 → 2017:원정소비형 → 2019:현장상업형 → 2021:원정소비형 → 2024:집단동원형 → 2025:원정소비형,글로벌투어형
BTOB,6,2015,집단동원형,2026,원정소비형,1,4,2015:집단동원형 → 2016:글로벌투어형 → 2020:원정소비형 → 2022:글로벌투어형 → 2025:원정소비형 → 2026:원정소비형,글로벌투어형
EXO,6,2018,브랜드동반형,2026,현장상업형,1,3,2018:브랜드동반형 → 2020:집단동원형 → 2023:원정소비형 → 2024:현장상업형 → 2025:현장상업형 → 2026:현장상업형,글로벌투어형
SEVENTEEN,6,2019,현장상업형,2026,글로벌투어형,1,4,2019:현장상업형 → 2022:집단동원형 → 2023:집단동원형 → 2024:현장상업형 → 2025:원정소비형 → 2026:글로벌투어형,글로벌투어형
김호중,6,2020,글로벌투어형,2026,현장상업형,1,5,2020:글로벌투어형 → 2022:현장상업형 → 2023:원정소비형 → 2024:현장상업형 → 2025:집단동원형 → 2026:현장상업형,집단동원형
영탁,6,2020,현장상업형,2026,글로벌투어형,1,3,2020:현장상업형 → 2022:원정소비형 → 2023:현장상업형 → 2024:현장상업형 → 2025:현장상업형 → 2026:글로벌투어형,원정소비형
청하,6,2019,현장상업형,2026,글로벌투어형,1,1,2019:현장상업형 → 2020:현장상업형 → 2023:현장상업형 → 2024:현장상업형 → 2025:글로벌투어형 → 2026:글로벌투어형,글로벌투어형
츄,6,2021,현장상업형,2026,글로벌투어형,1,1,2021:현장상업형 → 2022:현장상업형 → 2023:현장상업형 → 2024:현장상업형 → 2025:현장상업형 → 2026:글로벌투어형,현장상업형
