fandom,category,bullet_type,text_years,n_text_years,url_date,url_year,relative_expr,event_year,year_source,text_url_gap
이영지,힙합,loyalty,2026,1,,,,2026,text,
이영지,힙합,loyalty,,0,,,,,none,
이영지,힙합,loyalty,,0,,,,,none,
이영지,힙합,loyalty,2024,1,,,,2024,text,
이영지,힙합,loyalty,2026,1,,,,2026,text,
이영지,힙합,loyalty,2023|2024,2,,,,2024,text,
이영지,힙합,loyalty,,0,,,,,none,
이영지,힙합,loyalty,2023,1,,,,2023,text,
이영지,힙합,loyalty,2026,1,,,,2026,text,
이영지,힙합,loyalty,2000|2022,2,,,,2022,text,
이영지,힙합,loyalty,,0,,,,,none,
이영지,힙합,loyalty,,0,2026-02-09,2026,,2026,url,
이영지,힙합,loyalty,,0,2026-02-09,2026,,2026,url,
이영지,힙합,loyalty,2026,1,,,,2026,text,
이영지,힙합,loyalty,,0,,,,,none,
이영지,힙합,loyalty,,0,,,,,none,
이영지,힙합,loyalty,2022,1,,,,2022,text,
이영지,힙합,loyalty,2026,1,2026-02-09,2026,,2026,text,0
이영지,힙합,loyalty,2025,1,,,,2025,text,
이영지,힙합,loyalty,2025,1,,,,2025,text,
이영지,힙합,loyalty,2026,1,,,,2026,text,
이영지,힙합,loyalty,,0,2024-06-27,2024,,2024,url,
이영지,힙합,loyalty,,0,,,,,none,
이영지,힙합,loyalty,,0,,,,,none,
이영지,힙합,loyalty,,0,,,,,none,
이영지,힙합,loyalty,,0,,,,,none,
이영지,힙합,loyalty,2026,1,,,,2026,text,
이영지,힙합,loyalty,2025,1,,,,2025,text,
이영지,힙합,loyalty,,0,,,,,none,
이영지,힙합,loyalty,,0,,,,,none,
이영지,힙합,loyalty,,0,,,,,none,
이영지,힙합,loyalty,2024|2025,2,,,,2025,text,
이영지,힙합,loyalty,2023,1,2023-12-13,2023,,2023,text,0
이영지,힙합,loyalty,2026,1,,,,2026,text,
이영지,힙합,loyalty,,0,,,,,none,
이영지,힙합,loyalty,2026,1,2026-02-09,2026,,2026,text,0
이영지,힙합,loyalty,2026,1,2026-02-09,2026,,2026,text,0
이영지,힙합,loyalty,2026,1,,,,2026,text,
이영지,힙합,loyalty,2023,1,,,,2023,text,
이영지,힙합,spillover,2025,1,,,,2025,text,
이영지,힙합,spillover,,0,,,,,none,
이영지,힙합,spillover,,0,,,,,none,
이영지,힙합,spillover,,0,,,,,none,
