year,n_sentences,n_fandoms_any,n_fandoms_valid,r_density,p_density,rho_density,r_sum,mean_loyalty_density,mean_spillover_density
2015,124,44,3,,,,,,
2016,192,49,2,,,,,,
2017,159,52,2,,,,,,
2018,211,56,7,,,,,,
2019,231,56,9,,,,,,
2020,272,69,7,,,,,,
2021,215,69,4,,,,,,
2022,351,77,11,,,,,,
2023,487,82,23,0.3107,0.149,0.3179,0.2515,1.7718,1.6652
2024,735,97,28,0.0181,0.9273,0.0834,0.6245,1.8284,1.8219
2025,1258,100,64,0.2763,0.0271,0.2893,0.4469,1.8632,1.7815
2026,1523,96,71,0.275,0.0203,0.2383,0.4697,1.8277,1.7564
